Symbol,Signal_Label,Signal_Date,Age_Days,Score,RFF_Score,Weinstein_Stage,Mansfield_RS,RSI14,Rel_Vol,Entry,SL,T1,RR_T1,SL_pct,T1_pct,Details
SIEMENS,REV-EARLY,2026-04-15,0,13,2,2,1.552,69.3,4.78,3576.1,2877.86,5321.7,2.5,19.53,48.81,"EARLY VCP breakout 0d ago, near golden cross [Also in Screener.in screens — intersection]"
THERMAX,REV-EARLY,2026-04-09,5,12,2,2,3.378,79,2.17,4085,3106.71,6530.73,2.5,23.95,59.87,"EARLY VCP breakout 3d ago, near golden cross [Also in Screener.in screens — intersection]"
POLYCAB,REV-EARLY,2026-04-08,5,12,4,2,0.588,62.8,1.04,7791,6635.64,10679.4,2.5,14.83,37.07,"EARLY VCP breakout 4d ago, near golden cross [RFF via yfinance (4/6)]"
POWERINDIA,REV-EARLY,2026-04-10,5,11,2,2,3.414,69.7,1.01,28435,23787.07,40054.84,2.5,16.35,40.86,"EARLY VCP breakout 2d ago, near golden cross [Also in Screener.in screens — intersection]"
ABB,REV-EARLY,2026-04-10,5,11,2,2,2.51,67,1.03,6873,5869,9383,2.5,14.61,36.52,"EARLY VCP breakout 2d ago, near golden cross [Also in Screener.in screens — intersection]"
CUMMINSIND,REV-EARLY,2026-04-10,5,11,2,2,1.424,63.2,0.98,5003.4,4421.99,6456.91,2.5,11.62,29.05,"EARLY VCP breakout 2d ago, near golden cross [Also in Screener.in screens — intersection]"
WAAREEENER,REV-EARLY,2026-04-13,2,11,2,3,1.604,68.2,0.88,3426.1,2956.89,4599.13,2.5,13.7,34.24,"EARLY VCP breakout 1d ago, near golden cross [Also in Screener.in screens — intersection]"
KIRLOSENG,REV-EARLY,2026-04-15,0,11,2,2,3.048,69.1,2.76,1597,1278.99,2392.03,2.5,19.91,49.78,"EARLY VCP breakout 0d ago, near golden cross [RFF via yfinance (2/6)]"
ATHERENERG,REV-EARLY,2026-04-09,5,11,1,2,2.538,62,3.26,871.05,729.5,1224.94,2.5,16.25,40.63,"EARLY VCP breakout 3d ago, near golden cross [RFF via yfinance (1/6)]"
NAVA,REV-EARLY,2026-04-09,5,11,2,3,1.249,69.7,1.8,623.25,524.37,870.46,2.5,15.87,39.66,"EARLY VCP breakout 3d ago, near golden cross [Also in Screener.in screens — intersection]"
SONACOMS,REV-EARLY,2026-04-10,5,11,2,2,1.955,69.4,1.84,585.7,469.71,875.68,2.5,19.8,49.51,"EARLY VCP breakout 2d ago, near golden cross [Also in Screener.in screens — intersection]"
ANGELONE,REV-EARLY,2026-04-09,5,11,2,2,2.148,79.3,2.2,297.76,223.42,483.61,2.5,24.97,62.42,"EARLY VCP breakout 3d ago, near golden cross [RFF via yfinance (2/6)]"
NETWEB,REV-EARLY,2026-04-15,0,10,1,2,0.906,63.3,1.55,3563.7,3012.15,4942.57,2.5,15.48,38.69,"EARLY VCP breakout 0d ago, near golden cross [RFF via yfinance (1/6)]"
BSE,REV-EARLY,2026-04-08,5,10,2,2,2.376,72.9,0.86,3390.7,2650.18,5242.01,2.5,21.84,54.6,"EARLY VCP breakout 4d ago, near golden cross [RFF via yfinance (2/6)]"
ADANIENSOL,REV-EARLY,2026-04-08,5,10,2,2,2.076,68,1.06,1171.15,892.57,1867.6,2.5,23.79,59.47,"EARLY VCP breakout 4d ago, near golden cross [RFF via yfinance (2/6)]"
SARDAEN,REV-EARLY,2026-04-13,2,10,2,3,1.527,74.5,1.08,583.35,491.02,814.17,2.5,15.83,39.57,"EARLY VCP breakout 1d ago, near golden cross [Also in Screener.in screens — intersection]"
HONASA,REV-EARLY,2026-04-09,5,10,2,2,2.048,81.1,0.69,342.4,285.26,485.24,2.5,16.69,41.72,"EARLY VCP breakout 3d ago, near golden cross [RFF via yfinance (2/6)]"
BELRISE,REV-EARLY,2026-04-09,5,10,2,2,2.045,67.1,0.61,207.62,182.7,269.92,2.5,12,30.01,"EARLY VCP breakout 3d ago, near golden cross [RFF via yfinance (2/6)]"
ADANIPORTS,REV-EARLY,2026-04-08,5,9,2,2,0.593,66,1.46,1511.8,1296.43,2050.21,2.5,14.25,35.61,"EARLY VCP breakout 4d ago, near golden cross [RFF via yfinance (2/6)]"
AUBANK,REV-EARLY,2026-04-08,5,8,1,2,0.533,61.5,0.52,981.1,824.76,1371.95,2.5,15.94,39.84,"EARLY VCP breakout 4d ago, near golden cross [RFF via yfinance (1/6)]"
GICRE,REV-EARLY,2026-04-10,5,8,1,2,0.771,64.7,1.99,399.15,348.36,526.13,2.5,12.72,31.81,"EARLY VCP breakout 2d ago, near golden cross [RFF via yfinance (1/6)]"
HDFCAMC,REV-EARLY,2026-04-15,0,8,1,3,0.451,62,1.78,2663.7,2184.34,3862.11,2.5,18,44.99,"EARLY VCP breakout 0d ago, near golden cross [RFF via yfinance (1/6)]"
ZENTEC,REV-RS,2026-04-09,5,12,2,3,1.228,60.5,0.8,1517.5,1252.02,2181.19,2.5,17.49,43.74,"RS breakout 3d ago, holding above SMA50 [RFF via yfinance (2/6)]"
WELCORP,REV-RS,2026-04-15,0,12,2,2,2.886,84.5,2.61,1052.65,796.62,1692.72,2.5,24.32,60.81,"RS breakout 0d ago, holding above SMA50 [Also in Screener.in screens — intersection]"
NAM-INDIA,REV-RS,2026-04-10,5,12,2,2,1.046,62.3,2.09,951.55,787.18,1362.48,2.5,17.27,43.18,"RS breakout 2d ago, holding above SMA50 [Also in Screener.in screens — intersection]"
GALLANTT,REV-RS,2026-04-15,0,12,2,3,4.132,86.5,10.92,790.15,510.12,1490.22,2.5,35.44,88.6,"RS breakout 0d ago, holding above SMA50 [Also in Screener.in screens — intersection]"
GPIL,REV-RS,2026-04-15,0,12,2,2,1.898,73.3,2.97,303.35,265.2,398.73,2.5,12.58,31.44,"RS breakout 0d ago, holding above SMA50 [Also in Screener.in screens — intersection]"
ANANDRATHI,REV-RS,2026-04-15,0,11,2,2,2.113,89.1,1.8,3654.5,2930.65,5464.13,2.5,19.81,49.52,"RS breakout 0d ago, holding above SMA50 [Also in Screener.in screens — intersection]"
KAJARIACER,REV-RS,2026-04-09,5,11,2,3,1.588,74.5,1.37,1160.1,901.54,1806.51,2.5,22.29,55.72,"RS breakout 3d ago, holding above SMA50 [Also in Screener.in screens — intersection]"
TATAPOWER,REV-RS,2026-04-15,0,11,2,2,1.208,61.9,2.47,421.85,365.38,563.03,2.5,13.39,33.47,"RS breakout 0d ago, holding above SMA50 [RFF via yfinance (2/6)]"
ADANIPOWER,REV-RS,2026-04-13,2,11,2,2,2.506,84.5,1.61,183.43,147.72,272.71,2.5,19.47,48.68,"RS breakout 1d ago, holding above SMA50 [Also in Screener.in screens — intersection]"
NIACL,REV-RS,2026-04-13,2,11,1,3,1.324,75.1,7.99,172.29,114.74,316.15,2.5,33.4,83.5,"RS breakout 1d ago, holding above SMA50 [RFF via yfinance (1/6)]"
BOSCHLTD,REV-RS,2026-04-09,5,11,2,3,0.625,74,2.6,37080,28346.65,58913.38,2.5,23.55,58.88,"RS breakout 3d ago, holding above SMA50 [Also in Screener.in screens — intersection]"
PHOENIXLTD,REV-RS,2026-04-10,5,10,2,2,0.593,71.9,0.46,1782.1,1453.41,2603.81,2.5,18.44,46.11,"RS breakout 2d ago, holding above SMA50 [RFF via yfinance (2/6)]"
HINDALCO,REV-RS,2026-04-15,0,10,2,2,1.583,78.3,1.57,1011.45,869.19,1367.1,2.5,14.07,35.16,"RS breakout 0d ago, holding above SMA50 [RFF via yfinance (2/6)]"
CARBORUNIV,REV-RS,2026-04-10,5,10,2,3,0.826,75,1.12,888.15,737.01,1265.99,2.5,17.02,42.54,"RS breakout 2d ago, holding above SMA50 [Also in Screener.in screens — intersection]"
HSCL,REV-RS,2026-04-15,0,10,2,2,0.794,67.2,1.54,490.45,419.15,668.7,2.5,14.54,36.34,"RS breakout 0d ago, holding above SMA50 [Also in Screener.in screens — intersection]"
BHEL,REV-RS,2026-04-13,2,10,2,2,1.126,66.1,0.9,292.5,236.8,431.76,2.5,19.04,47.61,"RS breakout 1d ago, holding above SMA50 [RFF via yfinance (2/6)]"
BAYERCROP,REV-RS,2026-04-13,2,10,1,3,1.07,62.4,1.12,4989.5,4368.98,6540.8,2.5,12.44,31.09,"RS breakout 1d ago, holding above SMA50 [RFF via yfinance (1/6)]"
BAJAJ-AUTO,REV-RS,2026-04-15,0,9,2,2,0.835,68.7,1.63,9865,8569.64,13103.39,2.5,13.13,32.83,"RS breakout 0d ago, holding above SMA50 [RFF via yfinance (2/6)]"
TITAN,REV-RS,2026-04-08,5,9,1,2,1.365,65.2,0.87,4522.2,3888.78,6105.74,2.5,14.01,35.02,"RS breakout 4d ago, holding above SMA50 [RFF via yfinance (1/6)]"
ADANIGREEN,REV-RS,2026-04-10,5,9,1,1,1.527,77.7,0.71,1096.05,792.55,1854.81,2.5,27.69,69.23,"RS breakout 2d ago, holding above SMA50 [RFF via yfinance (1/6)]"
DELHIVERY,REV-RS,2026-04-09,5,9,2,3,1.011,65.6,1.77,459.8,408.16,588.9,2.5,11.23,28.08,"RS breakout 3d ago, holding above SMA50 [RFF via yfinance (2/6)]"
ALKEM,REV-RS,2026-04-15,0,9,2,2,0.279,62.7,1.5,5575.5,5043.26,6906.1,2.5,9.55,23.87,"RS breakout 0d ago, holding above SMA50 [RFF via yfinance (2/6)]"
