Symbol,Catalyst,Score,Catalyst_Score,Alpha,Stage,JdK_RS_Ratio,RS Ratio,JdK_RS_Momentum,RS Mom,RRG_Quadrant,RRG,RRG_Trajectory,RRG Traj,RRG_Next,RRG Nxt,RRG_Arrow,Arrow,RRG_Score,RRG_Tradeable,Rel_Vol,RSI,VCP_Valid,VCP_Score,Pivot_Price,Broke_Pivot,Days_Since_Pivot,Entry,SL_pct,T1_pct,Conviction,Combined_Score
SOLARINDS,,45,45,60,2,111.03,112.26,100.44,104.04,LEADING,LEADING,LEADING (stable),LEADING (stable),LEADING,LEADING,↗,FLAT,5,TRUE,1,82.4,FALSE,50,16263,TRUE,8,18266,4.41,11.03,8.5,65
GESHIP,,35,35,80,2,105.27,119.51,99.59,99.66,WEAKENING,WEAKENING,WEAKENING -> LEADING,LEADING-->WEAKENING,LEADING,WEAKENING,↗,SOUTH WEST,5,TRUE,4.14,67,FALSE,50,1588.3,TRUE,11,1739,6.68,16.7,8.5,60
NAVINFLUOR,,35,35,80,2,102.17,108.25,100.1,98.27,LEADING,WEAKENING,LEADING (stable),WEAKENING -> LEADING,LEADING,LEADING,↗,NORTH EAST,5,TRUE,0.26,68,FALSE,50,6217.5,TRUE,55,7145.5,4.04,10.1,8.5,60
BSE,,30,30,70,2,104.19,118.82,99.89,105.54,WEAKENING,LEADING,WEAKENING -> LAGGING,LEADING (stable),LAGGING,LEADING,←,NORTH EAST,5,FALSE,1.02,82.5,FALSE,50,2890.2,TRUE,55,4225,4.31,10.78,8.5,57.5
MCX,,30,30,70,2,105.42,120.6,100.24,101.67,LEADING,LEADING,LEADING (stable),LEADING (stable),LEADING,LEADING,→,NORTH EAST,5,TRUE,0.48,80,FALSE,25,2671.8,TRUE,63,3394.8,4.58,11.44,8.5,57.5
VIJAYA,,32,32,70,2,108.71,108.25,100.71,105.79,LEADING,LEADING,LEADING (stable),LEADING (stable),LEADING,LEADING,→,NORTH EAST,5,TRUE,0.23,70.7,FALSE,40,1342.6,FALSE,8,1290,6.66,16.64,8,56
WOCKPHARMA,,25,25,70,2,106.31,105.06,101.19,103.48,LEADING,LEADING,LEADING (stable),LEADING (stable),LEADING,LEADING,↗,NORTH EAST,5,TRUE,0.45,69,FALSE,40,1716.9,FALSE,13,1624.4,7.56,18.9,8.5,55
NEULANDLAB,,23,23,80,2,100.42,103.03,99.53,108.89,WEAKENING,LEADING,WEAKENING -> LAGGING,LEADING (stable),LAGGING,LEADING,↙,NORTH EAST,5,FALSE,0.51,70,FALSE,40,17666,FALSE,11,16680,6.84,17.09,8.5,54
NAM-INDIA,,30,30,70,2,102.29,110.6,100.57,103.98,LEADING,LEADING,LEADING (stable),LEADING (stable),LEADING,LEADING,↑,NORTH EAST,5,TRUE,0.45,59.4,FALSE,40,1107.4,FALSE,12,1079.4,4.73,11.82,7.5,52.5
NESTLEIND,,30,30,50,2,101.12,106.75,100.31,102.46,LEADING,LEADING,LEADING -> WEAKENING,LEADING (stable),WEAKENING,LEADING,↙,NORTH EAST,5,TRUE,0.38,44.6,FALSE,30,1325.24,TRUE,109,1451.7,2.68,6.69,7.5,52.5
