Symbol,Catalyst,Score,Alpha,Stage,Mansfield_RS_x100,RS_Momentum_4W,RRG_Quadrant,Rel_Vol,RSI,Entry,SL_pct,T1_pct
OFSS,None,60,80,3,20.53,21.11,LEADING,2.31,91.2,9396.0,5.0,12.49
GPIL,None,50,90,3,13.21,-4.66,WEAKENING,1.26,66.3,297.15,5.37,13.42
HEG,None,45,60,3,20.66,3.44,LEADING,0.3,83.3,674.2,6.16,15.4
GVT&D,None,45,60,3,38.8,9.44,LEADING,0.42,87.8,4582.6,5.31,13.27
NESTLEIND,None,45,70,3,14.59,9.67,LEADING,0.55,88.2,1425.9,3.64,9.1
DATAPATTNS,None,45,60,3,41.42,18.64,LEADING,0.73,83.6,4041.0,7.51,18.79
ABB,None,45,70,3,31.27,7.18,LEADING,0.33,84.2,7441.0,4.97,12.44
KEI,None,42,70,3,13.38,6.72,LEADING,0.43,82.3,4993.7,5.61,14.03
APARINDS,None,42,70,3,25.39,-4.96,WEAKENING,0.4,76.1,11671.0,6.51,16.28
SOLARINDS,None,40,80,3,14.9,11.85,LEADING,0.27,76.2,15223.0,4.76,11.91
PREMIERENE,None,40,70,3,18.17,5.86,LEADING,0.52,74.4,1017.55,4.97,12.43
GRSE,None,38,70,3,18.4,26.49,LEADING,0.61,85.9,2830.0,6.43,16.08
POLYCAB,None,32,80,3,8.63,4.76,LEADING,0.23,75.4,8075.0,4.56,11.41
JBCHEPHARM,None,32,80,3,7.63,-15.08,WEAKENING,0.59,68.9,2046.0,3.26,8.15
VBL,None,32,70,3,9.56,15.61,LEADING,0.73,86.0,499.35,4.79,11.97
VIJAYA,None,27,80,3,9.88,12.74,LEADING,1.03,94.9,1095.45,4.96,12.4
ENRIN,None,5,70,3,0.0,0.0,n/a,0.32,92.7,3246.5,5.09,12.71
