Symbol,As_Of,Catalyst,Score,Catalyst_Score,Alpha,Stage,JdK_RS_Ratio,JdK_RS_Momentum,RRG_Quadrant,RRG_Trajectory,RRG_Next,RRG_Arrow,RRG_Score,RRG_Tradeable,ML_Prob,Rel_Vol,RSI,VCP_Valid,VCP_Score,Pivot_Price,Broke_Pivot,Days_Since_Pivot,Entry,SL_pct,T1_pct,T2_pct,T1_R,T2_R,Regime,Counter_Trend,Suggested_Size,Swing_Pct_Current,Swing_Pct_Prev,IC_Ratio,Leg_Vel_Pct,Prev_Leg_Vel_Pct,Vel_Accel,EMA20_Dist_ATR,Active_Dir,Conviction,Combined_Score,Stale_Data
PHOENIXLTD,2026-06-30,POS-BO,67,67,90,2,104.43,100.41,LEADING,LEADING (stable),LEADING,→,2,True,55.8,1.67,79.8,False,40,1809.6,True,37.0,2018.5,10.98,54.92,109.85,5.0,10.0,BEAR,True,7%,9.69,3.85,2.52,2.42,1.28,UP,2.83,UP,,67.0,False
WELCORP,2026-06-30,POS-BO,67,67,50,2,113.53,100.02,LEADING,LEADING -> WEAKENING,WEAKENING,↙,2,False,62.7,0.78,67.2,False,50,1413.6,True,28.0,1477.6,13.08,65.42,130.84,5.0,10.0,BEAR,True,2%,7.85,4.01,1.96,0.79,4.01,DOWN,1.26,UP,,67.0,False
IKS,2026-06-30,SWG-BO,67,67,90,3,105.2,100.74,LEADING,LEADING -> WEAKENING,WEAKENING,↙,2,False,52.2,4.85,67.8,False,40,1706.0,True,28.0,1800.2,4.61,13.84,23.06,3.0,5.0,BEAR,True,7%,-3.34,7.46,-0.45,-0.84,1.49,DOWN,2.05,DOWN,6.5,66.0,False
RADICO,2026-06-30,POS-BO,57,57,50,2,108.97,100.42,LEADING,LEADING -> WEAKENING,WEAKENING,↙,2,False,69.2,0.54,84.5,False,40,3599.9,True,43.0,3952.6,9.34,46.71,93.42,5.0,10.0,BEAR,True,2%,-3.7,11.06,-0.33,-0.62,1.11,DOWN,2.74,DOWN,7.5,66.0,False
HONASA,2026-06-30,None,37,37,30,2,114.71,100.35,LEADING,LEADING (stable),LEADING,→,2,True,73.0,0.62,76.6,False,50,419.95,True,35.0,466.5,5.48,16.43,27.39,3.0,5.0,BEAR,False,5%,17.15,10.08,1.7,1.91,2.52,DOWN,2.76,UP,9.0,63.5,False
VIJAYA,2026-07-01,None,47,47,80,2,111.97,100.98,LEADING,LEADING -> WEAKENING,WEAKENING,↙,2,False,56.3,1.06,65.7,False,50,1367.8,True,7.0,1397.8,6.5,19.51,32.52,3.0,5.0,BEAR,False,15%,1.22,10.53,0.12,0.61,3.51,DOWN,1.26,DOWN,8.0,63.5,False
WOCKPHARMA,2026-06-30,None,35,35,40,2,117.35,101.48,LEADING,LEADING -> WEAKENING,WEAKENING,↙,2,False,63.5,0.23,66.1,False,60,2022.8,False,14.0,1962.7,7.03,21.1,35.17,3.0,5.0,BEAR,False,5%,2.81,11.05,0.25,1.4,1.84,DOWN,0.38,UP,8.5,60.0,False
OLECTRA,2026-06-30,None,27,27,80,1,110.61,100.29,LEADING,LEADING -> WEAKENING,WEAKENING,↘,2,False,53.8,1.19,77.1,False,50,1321.3,True,27.0,1512.4,6.11,18.33,30.56,3.0,5.0,BEAR,False,15%,4.27,7.07,0.6,1.42,2.36,DOWN,1.74,UP,9.0,58.5,False
NEULANDLAB,2026-06-30,None,32,32,50,2,108.01,100.46,LEADING,LEADING -> WEAKENING,WEAKENING,↙,2,False,67.6,0.7,77.7,False,40,17666.0,True,54.0,18786.0,4.78,14.33,23.88,3.0,5.0,BEAR,False,5%,-0.3,13.1,-0.02,-0.07,2.18,DOWN,2.04,DOWN,8.5,58.5,False
ACUTAAS,2026-07-01,None,30,30,30,2,115.64,99.49,WEAKENING,WEAKENING (stable),WEAKENING,→,0,False,73.0,0.8,79.3,False,40,3328.3,True,27.0,3691.8,5.63,16.89,28.15,3.0,5.0,BEAR,False,5%,24.71,9.79,2.53,2.25,9.79,DOWN,2.91,UP,8.5,57.5,False
