Symbol,As_Of,Catalyst,Score,Catalyst_Score,Alpha,Stage,JdK_RS_Ratio,JdK_RS_Momentum,RRG_Quadrant,RRG_Trajectory,RRG_Next,RRG_Arrow,RRG_Score,RRG_Tradeable,ML_Prob,Rel_Vol,RSI,VCP_Valid,VCP_Score,Pivot_Price,Broke_Pivot,Days_Since_Pivot,Entry,SL_pct,T1_pct,T2_pct,T1_R,T2_R,Regime,Counter_Trend,Suggested_Size,Swing_Pct_Current,Swing_Pct_Prev,IC_Ratio,Leg_Vel_Pct,Prev_Leg_Vel_Pct,Vel_Accel,EMA20_Dist_ATR,Active_Dir,Conviction,Combined_Score,Stale_Data
MCX,2026-01-14,POS-BO,100,92,90,2,113.87,102.32,LEADING,LEADING (stable),LEADING,→,2,True,51.9,5.83,69.7,True,90,2305.0,True,7,2417.0,11.95,35.85,59.75,3.0,5.0,BULL,False,15%,11.18,7.54,1.48,3.73,7.54,DOWN,2.93,UP,8.5,92.5,False
NATIONALUM,2026-01-14,POS-BO,100,92,90,2,121.72,104.74,LEADING,LEADING (stable),LEADING,↗,2,True,51.4,1.81,79.4,True,90,352.6,True,7,373.55,12.65,37.95,63.24,3.0,5.0,BULL,False,15%,13.59,8.74,1.55,4.53,4.37,FLAT,4.09,UP,8.5,92.5,False
VEDL,2026-01-14,POS-BO,97,97,80,2,111.99,104.01,LEADING,LEADING (stable),LEADING,↗,2,True,56.0,3.69,77.9,False,50,201.48,True,43,252.88,9.94,29.83,49.72,3.0,5.0,BULL,False,15%,13.57,5.87,2.31,3.39,5.87,DOWN,4.14,UP,8.5,91.0,False
UNIONBANK,2026-01-14,POS-BO,87,87,90,2,105.27,102.46,LEADING,LEADING -> WEAKENING,WEAKENING,↘,2,False,57.5,6.49,84.1,False,40,156.29,True,63,179.27,10.41,31.23,52.05,3.0,5.0,BULL,False,15%,11.87,4.4,2.7,2.97,2.2,UP,4.06,UP,,87.0,False
INDUSINDBK,2026-01-14,POS-BO,82,82,100,2,104.05,104.77,LEADING,LEADING (stable),LEADING,↗,2,True,46.7,2.95,75.9,False,40,870.1,True,40,944.5,9.85,29.55,49.25,3.0,5.0,BULL,False,15%,7.81,5.55,1.41,1.95,5.55,DOWN,2.62,UP,,82.0,False
PNB,2026-01-14,POS-BO,80,80,100,2,105.07,99.72,WEAKENING,WEAKENING -> LAGGING,LAGGING,↙,0,False,51.4,2.26,75.6,False,40,125.35,True,43,128.68,8.21,24.64,41.07,3.0,5.0,BULL,False,15%,6.25,5.89,1.06,3.13,1.18,UP,2.03,UP,,80.0,False
TATASTEEL,2026-01-14,POS-BO,80,80,100,2,101.37,98.0,WEAKENING,WEAKENING -> LAGGING,LAGGING,↙,0,False,48.7,2.19,75.2,False,40,186.2,True,8,189.25,8.72,26.17,43.62,3.0,5.0,BULL,False,15%,6.72,5.93,1.13,2.24,1.98,UP,2.49,UP,,80.0,False
EMCURE,2026-01-14,POS-BO,72,72,80,2,100.74,100.33,LEADING,LEADING (stable),LEADING,↗,2,True,55.1,1.13,70.9,False,40,1438.6,True,33,1570.6,13.4,40.19,66.99,3.0,5.0,BULL,False,15%,6.98,6.83,1.02,3.49,2.28,UP,1.86,UP,7.5,73.5,False
RRKABEL,2026-01-14,SWG-PB,47,47,40,2,105.05,103.51,LEADING,LEADING (stable),LEADING,↗,2,True,56.1,0.29,50.2,False,50,1532.7,False,23,1500.1,2.97,5.94,11.88,2.0,4.0,BULL,False,5%,2.95,7.06,0.42,1.48,3.53,DOWN,0.35,UP,8.5,66.0,False
NYKAA,2026-01-14,SWG-PB,37,37,0,2,106.08,97.7,WEAKENING,WEAKENING -> LAGGING,LAGGING,↙,0,False,65.8,0.57,45.4,False,50,269.55,False,9,254.85,2.46,4.92,9.84,2.0,4.0,BULL,False,5%,7.1,6.62,1.07,1.01,1.66,DOWN,-0.56,DOWN,8.5,61.0,False
CCL,2026-01-14,SWG-PB,37,37,35,2,105.96,101.25,LEADING,LEADING (stable),LEADING,↗,2,True,58.1,0.74,51.3,False,40,1025.3,False,33,959.4,3.2,6.4,12.81,2.0,4.0,BULL,False,5%,6.13,4.31,1.42,2.04,1.44,UP,0.29,UP,8.0,58.5,False
HBLENGINE,2026-01-14,SWG-PB,33,33,0,2,108.63,92.45,WEAKENING,WEAKENING -> LAGGING,LAGGING,↙,0,False,65.8,0.71,49.4,False,35,969.4,False,9,878.25,4.06,8.12,16.23,2.0,4.0,BULL,False,5%,12.14,29.58,0.41,1.73,2.46,DOWN,-0.35,DOWN,,33.0,False
GMDCLTD,2026-01-14,POS-ACCUM,30,30,30,2,106.3,91.38,WEAKENING,WEAKENING -> LAGGING,LAGGING,↙,0,False,63.6,0.6,57.8,False,40,619.45,False,12,572.35,19.1,57.3,95.49,3.0,5.0,BULL,False,5%,7.06,18.31,0.39,3.53,3.66,FLAT,0.11,UP,,30.0,False
TATACOMM,2026-01-14,SWG-PB,25,25,0,1,102.22,98.76,WEAKENING,WEAKENING -> LAGGING,LAGGING,↙,0,False,64.0,0.39,45.3,False,40,1920.9,False,54,1753.6,2.36,4.72,9.44,2.0,4.0,BULL,False,5%,4.32,9.11,0.47,2.16,1.3,UP,-0.75,UP,,25.0,False
COROMANDEL,2026-01-14,SWG-PB,25,25,50,3,98.17,102.37,IMPROVING,IMPROVING -> LEADING,LEADING,↗,0,True,46.3,0.47,41.5,False,50,2408.2,False,22,2320.5,2.96,5.93,11.86,2.0,4.0,BULL,False,5%,3.66,4.13,0.89,1.83,1.38,UP,0.16,UP,,25.0,False
CHALET,2026-01-14,SWG-PB,22,13,45,1,94.28,96.23,LAGGING,LAGGING -> IMPROVING,IMPROVING,↖,0,True,54.8,0.6,53.3,True,90,902.5,False,12,881.85,2.52,5.04,10.08,2.0,4.0,BULL,False,5%,3.63,7.4,0.49,1.81,1.23,UP,0.19,UP,,22.0,False
