Symbol,Catalyst,Signal_Label,Score,Stage,TT_Pass_Count,TT_Pass_All,TT_Failed_Gates,Pct_Above_52w_Low,Pct_Below_52w_High,JdK_RS_Ratio,RRG_Quadrant,VCP_Valid,VCP_Quality_Score,VCP_Contractions,Pivot_Price,Broke_Pivot,Days_Since_Pivot,Entry,SL,SL_pct,T1,T1_pct,R_Multiple,Catalyst_Reason
GESHIP,None,None,20,2,8,True,,86.3,3.2,106.43,WEAKENING,False,50,"[{'high_date': '2025-07-04', 'high': 1004.22, 'low_date': '2025-08-05', 'low': 898.75, 'pullback_pct': 10.5}, {'high_date': '2025-08-19', 'high': 962.63, 'low_date': '2025-08-29', 'low': 908.59, 'pullback_pct': 5.61}, {'high_date': '2025-09-18', 'high': 1038.22, 'low_date': '2025-09-29', 'low': 956.26, 'pullback_pct': 7.89}, {'high_date': '2025-10-31', 'high': 1077.36, 'low_date': '2025-11-06', 'low': 1028.27, 'pullback_pct': 4.56}, {'high_date': '2025-11-12', 'high': 1135.56, 'low_date': '2025-11-25', 'low': 1049.0, 'pullback_pct': 7.62}, {'high_date': '2025-12-01', 'high': 1109.14, 'low_date': '2025-12-08', 'low': 1056.29, 'pullback_pct': 4.76}, {'high_date': '2025-12-31', 'high': 1113.08, 'low_date': '2026-01-20', 'low': 1067.33, 'pullback_pct': 4.11}, {'high_date': '2026-02-11', 'high': 1339.7, 'low_date': '2026-02-20', 'low': 1278.42, 'pullback_pct': 4.57}, {'high_date': '2026-03-06', 'high': 1405.65, 'low_date': '2026-03-09', 'low': 1329.37, 'pullback_pct': 5.43}, {'high_date': '2026-03-12', 'high': 1476.36, 'low_date': '2026-03-16', 'low': 1364.04, 'pullback_pct': 7.61}, {'high_date': '2026-03-19', 'high': 1431.47, 'low_date': '2026-03-23', 'low': 1350.73, 'pullback_pct': 5.64}, {'high_date': '2026-04-06', 'high': 1453.02, 'low_date': '2026-04-13', 'low': 1326.2, 'pullback_pct': 8.73}, {'high_date': '2026-05-08', 'high': 1577.47, 'low_date': '2026-05-14', 'low': 1474.78, 'pullback_pct': 6.51}]",1577.47,True,12.0,1649.3,1530.72,7.19,2005.05,21.57,3.0,no valid VCP base
NESTLEIND,None,None,18,2,8,True,,30.4,4.9,109.67,LEADING,False,40,"[{'high_date': '2025-07-23', 'high': 1219.66, 'low_date': '2025-08-14', 'low': 1083.55, 'pullback_pct': 11.16}, {'high_date': '2025-09-11', 'high': 1214.24, 'low_date': '2025-09-29', 'low': 1146.31, 'pullback_pct': 5.59}, {'high_date': '2025-10-17', 'high': 1282.58, 'low_date': '2025-12-10', 'low': 1202.81, 'pullback_pct': 6.22}, {'high_date': '2026-01-30', 'high': 1325.24, 'low_date': '2026-03-23', 'low': 1166.8, 'pullback_pct': 11.96}, {'high_date': '2026-05-06', 'high': 1486.1, 'low_date': '2026-05-20', 'low': 1413.0, 'pullback_pct': 4.92}]",1486.1,False,14.0,1413.0,1373.83,2.77,1530.51,8.32,3.0,no valid VCP base
MARUTI,None,None,18,4,3,False,"T1_above_ma150_200,T4_ma50_above_med,T5_above_ma50,T6_25pct_above_low,T8_rs_rank",8.7,24.6,96.91,IMPROVING,True,90,"[{'high_date': '2026-03-06', 'high': 14159.0, 'low_date': '2026-03-30', 'low': 12306.0, 'pullback_pct': 13.09}, {'high_date': '2026-04-10', 'high': 13709.0, 'low_date': '2026-04-28', 'low': 12892.0, 'pullback_pct': 5.96}, {'high_date': '2026-05-07', 'high': 13770.0, 'low_date': '2026-05-19', 'low': 12956.0, 'pullback_pct': 5.91}]",13770.0,False,13.0,13045.0,12668.4,2.89,14174.8,8.66,3.0,"no pivot catalyst (broke=False, days=13)"
LT,None,None,10,3,4,False,"T1_above_ma150_200,T4_ma50_above_med,T6_25pct_above_low,T8_rs_rank",17.1,11.4,100.42,WEAKENING,False,50,"[{'high_date': '2025-08-13', 'high': 3693.7, 'low_date': '2025-09-09', 'low': 3525.0, 'pullback_pct': 4.57}, {'high_date': '2026-01-02', 'high': 4163.4, 'low_date': '2026-01-23', 'low': 3743.8, 'pullback_pct': 10.08}, {'high_date': '2026-02-23', 'high': 4418.1, 'low_date': '2026-03-04', 'low': 3882.6, 'pullback_pct': 12.12}, {'high_date': '2026-03-05', 'high': 4038.7, 'low_date': '2026-03-13', 'low': 3439.0, 'pullback_pct': 14.85}, {'high_date': '2026-03-18', 'high': 3607.9, 'low_date': '2026-03-23', 'low': 3342.4, 'pullback_pct': 7.36}, {'high_date': '2026-04-16', 'high': 4119.8, 'low_date': '2026-05-12', 'low': 3856.5, 'pullback_pct': 6.39}]",4119.8,False,34.0,3914.8,3796.63,3.02,4269.3,9.06,3.0,no valid VCP base
HINDUNILVR,None,None,10,4,2,False,"T1_above_ma150_200,T2_ma150_above_200,T3_ma200_uptrend,T4_ma50_above_med,T6_25pct_above_low,T8_rs_rank",8.0,17.1,100.81,WEAKENING,False,50,"[{'high_date': '2025-07-15', 'high': 2507.19, 'low_date': '2025-07-25', 'low': 2396.56, 'pullback_pct': 4.41}, {'high_date': '2025-08-26', 'high': 2671.6, 'low_date': '2025-10-13', 'low': 2473.36, 'pullback_pct': 7.42}, {'high_date': '2025-10-17', 'high': 2583.39, 'low_date': '2025-12-12', 'low': 2260.6, 'pullback_pct': 12.49}, {'high_date': '2026-02-11', 'high': 2462.9, 'low_date': '2026-02-19', 'low': 2279.3, 'pullback_pct': 7.45}, {'high_date': '2026-02-26', 'high': 2383.3, 'low_date': '2026-03-23', 'low': 2052.2, 'pullback_pct': 13.89}, {'high_date': '2026-04-22', 'high': 2368.8, 'low_date': '2026-05-20', 'low': 2215.8, 'pullback_pct': 6.46}]",2368.8,False,28.0,2215.8,2179.3,1.65,2325.31,4.94,3.0,no valid VCP base
ITC,None,None,10,4,1,False,"T1_above_ma150_200,T2_ma150_above_200,T3_ma200_uptrend,T4_ma50_above_med,T6_25pct_above_low,T7_within_25pct_high,T8_rs_rank",6.8,27.8,98.83,IMPROVING,False,50,"[{'high_date': '2025-09-04', 'high': 407.36, 'low_date': '2025-10-14', 'low': 388.65, 'pullback_pct': 4.59}, {'high_date': '2025-10-29', 'high': 412.95, 'low_date': '2026-02-02', 'low': 308.24, 'pullback_pct': 25.36}, {'high_date': '2026-02-18', 'high': 332.45, 'low_date': '2026-03-30', 'low': 287.7, 'pullback_pct': 13.46}, {'high_date': '2026-04-29', 'high': 316.25, 'low_date': '2026-05-12', 'low': 300.7, 'pullback_pct': 4.92}]",316.25,False,21.0,307.4,300.54,2.23,327.99,6.7,3.0,no valid VCP base
ASIANPAINT,None,None,10,2,6,False,"T4_ma50_above_med,T6_25pct_above_low",22.9,12.2,106.34,LEADING,False,50,"[{'high_date': '2025-12-08', 'high': 2928.3, 'low_date': '2025-12-26', 'low': 2746.5, 'pullback_pct': 6.21}, {'high_date': '2026-01-12', 'high': 2896.4, 'low_date': '2026-03-23', 'low': 2121.3, 'pullback_pct': 26.76}, {'high_date': '2026-03-25', 'high': 2270.2, 'low_date': '2026-03-30', 'low': 2165.2, 'pullback_pct': 4.63}, {'high_date': '2026-04-22', 'high': 2562.9, 'low_date': '2026-05-05', 'low': 2430.0, 'pullback_pct': 5.19}]",2562.9,True,28.0,2607.6,2514.9,3.55,2885.7,10.66,3.0,no valid VCP base
POWERGRID,None,None,10,2,5,False,"T5_above_ma50,T6_25pct_above_low,T8_rs_rank",19.6,6.4,100.65,WEAKENING,False,50,"[{'high_date': '2025-06-30', 'high': 290.41, 'low_date': '2025-08-28', 'low': 266.91, 'pullback_pct': 8.09}, {'high_date': '2025-09-24', 'high': 285.25, 'low_date': '2025-09-30', 'low': 272.55, 'pullback_pct': 4.45}, {'high_date': '2025-10-29', 'high': 287.24, 'low_date': '2025-11-06', 'low': 262.78, 'pullback_pct': 8.52}, {'high_date': '2025-11-21', 'high': 274.52, 'low_date': '2025-12-18', 'low': 255.09, 'pullback_pct': 7.08}, {'high_date': '2026-01-05', 'high': 268.63, 'low_date': '2026-01-20', 'low': 251.23, 'pullback_pct': 6.48}, {'high_date': '2026-02-25', 'high': 307.25, 'low_date': '2026-04-02', 'low': 289.95, 'pullback_pct': 5.63}, {'high_date': '2026-04-27', 'high': 320.9, 'low_date': '2026-05-18', 'low': 296.55, 'pullback_pct': 7.59}]",320.9,False,23.0,300.5,295.23,1.75,316.32,5.26,3.0,no valid VCP base
RELIANCE,None,None,8,4,2,False,"T1_above_ma150_200,T3_ma200_uptrend,T4_ma50_above_med,T5_above_ma50,T6_25pct_above_low,T8_rs_rank",3.3,15.4,97.58,IMPROVING,False,40,"[{'high_date': '2026-01-05', 'high': 1578.1, 'low_date': '2026-01-27', 'low': 1380.5, 'pullback_pct': 12.52}, {'high_date': '2026-02-11', 'high': 1468.7, 'low_date': '2026-03-04', 'low': 1345.0, 'pullback_pct': 8.42}, {'high_date': '2026-03-09', 'high': 1424.0, 'low_date': '2026-04-07', 'low': 1304.6, 'pullback_pct': 8.38}, {'high_date': '2026-05-05', 'high': 1463.6, 'low_date': '2026-05-19', 'low': 1322.7, 'pullback_pct': 9.63}]",1463.6,False,15.0,1347.3,1346.51,0.06,1349.66,0.18,3.0,no valid VCP base
HDFCBANK,None,None,8,4,1,False,"T1_above_ma150_200,T2_ma150_above_200,T3_ma200_uptrend,T4_ma50_above_med,T5_above_ma50,T6_25pct_above_low,T8_rs_rank",4.0,24.9,93.82,LAGGING,False,40,"[{'high_date': '2026-03-18', 'high': 843.05, 'low_date': '2026-03-23', 'low': 744.15, 'pullback_pct': 11.73}, {'high_date': '2026-03-25', 'high': 782.3, 'low_date': '2026-03-30', 'low': 731.55, 'pullback_pct': 6.49}, {'high_date': '2026-04-08', 'high': 816.1, 'low_date': '2026-05-13', 'low': 749.6, 'pullback_pct': 8.15}]",816.1,False,42.0,760.6,750.81,1.29,789.96,3.86,3.0,no valid VCP base
