Symbol,Index,Index_Close,ETF_Close,Ratio,Idx_Sup,Idx_Res,Sup_ETF,Res_ETF,N_Levels
ALPHA,NIFTY ALPHA 50,55090.4,53.72,0.00097512,54941.4,55731.12,53.57,54.34,26
ALPHAETF,NIFTY200 ALPHA 30,26462.95,26.33,0.00099498,26058.68,26525.58,25.93,26.39,9
AUTOBEES,NIFTY AUTO,27159.15,282.71,0.01040938,26933.8,27656.78,280.36,287.89,27
BANKNIFTY1,BANKNIFTY,56358.7,58.54,0.0010387,56097.9,57049.5,58.27,59.26,15
BFSI,FINNIFTY,25318.35,26.58,0.00104983,25180.3,25496.78,26.44,26.77,34
COMMOIETF,NIFTY COMMODITIES,9501.55,97.5,0.01026148,9371.3,9527.15,96.16,97.76,29
CONSUMBEES,NIFTY CONSUMPTION,11428.0,128.32,0.01122856,11289.28,11465.1,126.76,128.74,25
CPSEETF,NIFTYCPSE,6327.6,92.58,0.01463114,6325.32,6387.6,92.55,93.46,24
ENERGY,NIFTY ENERGY,37381.75,38.14,0.00102028,37306.5,38134.8,38.06,38.91,28
EVINDIA,NIFTY EV,3152.55,32.0,0.01015051,3152.02,3206.75,31.99,32.55,7
FINIETF,NIFTY FINSEREXBNK,31223.7,32.28,0.00103383,31038.05,31424.52,32.09,32.49,10
FMCGIETF,NIFTY FMCG,45572.7,49.28,0.00108135,45237.95,46331.2,48.92,50.1,26
GROWWCAPM,Nifty Capital Mkt,5326.35,11.24,0.00211026,5317.02,5589.92,11.22,11.8,16
HDFCSML250,NIFTY SMALLCAP 250,18009.25,184.55,0.01024751,17852.5,18043.72,182.94,184.9,29
HEALTHIETF,NIFTY HEALTHCARE,16529.15,170.91,0.01033991,15037.68,16548.55,155.49,171.11,20
INFRAIETF,NIFTYINFRA,9071.3,92.96,0.0102477,9007.4,9110.0,92.31,93.36,27
ITBEES,NIFTYIT,28854.55,31.94,0.00110693,28519.85,29029.05,31.57,32.13,31
LOWVOL1,NIFTY100 LOW VOLATILITY 30,19359.85,20.37,0.00105218,19010.72,19458.65,20.0,20.47,26
MAKEINDIA,NIFTY INDIA MFG,15826.65,162.62,0.01027507,15763.8,16137.4,161.97,165.81,26
METALIETF,NIFTY METAL,12858.45,13.08,0.00101723,12509.75,12873.35,12.73,13.1,26
MIDCAP,NIFTY MIDCAP 150,22568.85,18.29,0.00081041,22512.62,22650.05,18.24,18.36,25
MIDCAPETF,NIFTY MIDCAP 150,22568.85,23.37,0.0010355,22512.62,22650.05,23.31,23.45,25
MIDSMALL,NIFTY MIDSMALLCAP 400,20924.9,51.4,0.0024564,20900.9,21177.6,51.34,52.02,24
MOCAPITAL,Nifty Capital Mkt,5326.35,53.58,0.01005942,5317.02,5589.92,53.49,56.23,16
MODEFENCE,NIFTY IND DEFENCE,9271.9,103.28,0.01113903,9158.52,9287.08,102.02,103.45,18
MOM100,NIFTY MIDCAP 150,22568.85,66.95,0.00296648,22512.62,22650.05,66.78,67.19,25
MONIFTY500,NIFTY 500,22654.65,23.45,0.00103511,22445.68,22670.98,23.23,23.47,24
MOREALTY,NIFTY REALTY,834.25,85.27,0.10221156,812.15,840.0,83.01,85.86,24
NEXT50IETF,NIFTYNXT50,72025.4,76.39,0.0010606,71722.15,72605.5,76.07,77.01,29
NIFTYBEES,NIFTY,23346.4,266.53,0.01141632,23306.53,23548.97,266.07,268.84,16
NV20IETF,NIFTY50 VALUE 20,11450.55,13.2,0.00115278,11426.2,11698.42,13.17,13.49,27
OILIETF,NIFTY OIL AND GAS,10857.35,11.14,0.00102603,10707.88,10887.1,10.99,11.17,31
PHARMABEES,NIFTY PHARMA,26579.25,27.5,0.00103464,26022.75,26781.25,26.92,27.71,22
PSUBNKBEES,NIFTY PSU BANK,8262.8,92.65,0.01121291,8237.02,8356.08,92.36,93.7,25
PVTBANIETF,NIFTY PVT BANK,27169.2,27.7,0.00101954,27014.6,27261.15,27.54,27.79,35
SMALLCAP,NIFTYSML250MQ 100,48995.75,49.09,0.00100192,46954.52,,47.04,,7
SML100CASE,NIFTY SMALLCAP 100,19535.7,11.32,0.00057945,19383.4,19611.72,11.23,11.36,30
TNIDETF,NIFTY IND DIGITAL,8512.75,88.34,0.01037738,8178.15,8518.9,84.87,88.4,25
TOP100CASE,NIFTY 100,24377.75,10.3,0.00042252,24065.82,24444.95,10.17,10.33,23
