Symbol,Name,Asset_Class,Sub_Category,Underlying,Issuer,Liquidity_Tier,Structure_Source,Liquidity_Score,Trend_Score,RS_Score,Rotation_Score,Total_Score,Grade,Stage,RRG_Quadrant,Rotation_Vector,LTP,SMA50,SMA200,MA200_Slope_pct,Above_SMA200,Mansfield_RS,RS_Momentum_4W,Vol_60D_Lakhs,Turnover_60D_Cr,Dist_52WH_pct,Signal
MAFANG,Mirae Asset NYSE FANG+ ETF,INTERNATIONAL,INTERNATIONAL.NYSE FANG+,NYSE FANG+,Mirae,B,etf,6,10,10,10,36,⭐⭐⭐ A+,2,LEADING,LEADING,248.07,207.36,189.42,4.63,True,37.19,23.67,1.69,3.29,0.0,🟢 BUY-LEADER
PHARMABEES,Nippon Pharma ETF (PHARMABEES),SECTOR,SECTOR.NIFTY PHARMA,Nifty Pharma,Nippon,A,index:NIFTY PHARMA,10,10,7,5,32,⭐⭐⭐ A+,2,WEAKENING,LEADING,27.5,27.12,24565.93,2.5,True,12.7,2.48,42.25,11.62,-2.23,🟠 HOLD-WATCH
MASPTOP50,Mirae Asset S&P 500 Top 50 ETF,INTERNATIONAL,INTERNATIONAL.S&P 500 TOP 50,S&P 500 Top 50,Mirae,D,etf,2,10,10,10,32,⭐⭐⭐ A+,2,LEADING,LEADING,124.48,83.45,78.77,4.06,True,64.87,58.69,0.99,0.8,0.0,⚠ ILLIQUID
ALPHA,Kotak Nifty Alpha 50 ETF,SMART_BETA,SMART_BETA.NIFTY ALPHA 50,NIFTY ALPHA 50,Kotak,B,index:NIFTY ALPHA 50,6,9,8,8,31,⭐⭐ A,2,LEADING,STABLE,53.72,53.21,52411.4,1.75,True,8.12,0.79,8.36,4.41,-4.54,🟢 BUY-LEADER
MOMENTUM50,Motilal Oswal Nifty 500 Momentum 50 ETF,SMART_BETA,SMART_BETA.NIFTY 500 MOMENTUM 50,Nifty 500 Momentum 50,Motilal,C,etf (index NIFTY500MOMENTM50 unavailable),6,10,6,8,30,⭐⭐ A,2,LEADING,STABLE,53.97,53.68,52.0,0.91,True,4.46,2.41,4.48,2.41,-2.69,🟢 BUY-LEADER
MONQ50,Motilal Oswal Nasdaq Quality 50 ETF,INTERNATIONAL,INTERNATIONAL.NASDAQ QUALITY 50,Nasdaq Quality 50,Motilal,D,etf,0,10,10,10,30,⭐⭐ A,2,LEADING,LEADING,396.3,163.1,141.95,11.86,True,215.79,191.25,0.31,0.44,0.0,⚠ ILLIQUID
HDFCSML250,HDFC Nifty Small Cap 250 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY SMALLCAP 250,NIFTY Smallcap 250,HDFC,A,index:NIFTY SMALLCAP 250,10,9,7,4,30,⭐⭐ A,2,WEAKENING,STABLE,184.55,183.57,17038.89,1.97,True,8.92,1.06,13.4,24.52,-2.8,🟠 HOLD-WATCH
MON100,Motilal Oswal Nasdaq 100 ETF,INTERNATIONAL,INTERNATIONAL.NASDAQ 100,Nasdaq 100,Motilal,A,etf,10,10,6,4,30,⭐⭐ A,2,WEAKENING,FADING,330.33,328.13,302.04,4.44,True,18.02,-0.95,3.75,12.27,-4.17,🟠 HOLD-WATCH
SMALLCAP,Mirae Ast Nifty Smallcap 250 MQ 100 ETF,SMART_BETA,SMART_BETA.NIFTY SMALLCAP250 MOMENTUM QUALITY 100,Nifty Smallcap250 Momentum Quality 100,Mirae,B,index:NIFTYSML250MQ 100,8,9,7,4,28,⭐⭐ A,2,WEAKENING,STABLE,49.09,48.18,45041.16,2.1,True,9.96,1.44,16.12,7.8,-2.76,🟠 HOLD-WATCH
MOREALTY,Motilal Oswal Nifty Realty ETF,SECTOR,SECTOR.NIFTY REALTY,Nifty Realty,Motilal,B,index:NIFTY REALTY,8,8,4,7,27,⭐⭐ A,2,LEADING,FADING,85.27,89.64,814.21,1.08,True,2.46,-3.69,6.75,6.18,-13.87,🟢 BUY-LEADER
GOLDIETF,ICICI Pru Gold ETF,COMMODITY,COMMODITY.GOLD,Gold,ICICI,A,etf,10,8,3,5,26,⭐⭐ A,2,IMPROVING,DECAY,131.16,127.62,128.5,-0.11,True,4.22,-1.45,48.36,60.88,-14.46,🟡 ACCUMULATE
LIQUID1,LIQUID1,DEBT,DEBT.LIQUID,Overnight / Liquid,Nippon,A,etf,10,9,5,2,26,⭐⭐ A,2,LAGGING,BREAKOUT,1123.38,1118.13,1108.35,0.37,True,2.67,2.68,7.75,86.7,0.0,⚪ NEUTRAL
MODEFENCE,Motilal Oswal Nifty India Defence ETF,SECTOR,SECTOR.NIFTY INDIA DEFENCE,Nifty India Defence,Motilal,A,index:NIFTY IND DEFENCE,10,8,5,3,26,⭐⭐ A,2,WEAKENING,DECAY,103.28,104.96,9028.05,2.53,True,8.68,-5.08,12.59,13.3,-7.27,🟠 HOLD-WATCH
AUTOBEES,Nippon Auto ETF (AUTOBEES),SECTOR,SECTOR.NIFTY AUTO,Nifty Auto,Nippon,B,index:NIFTY AUTO,8,7,4,7,26,⭐⭐ A,2,LEADING,DECAY,282.71,291.54,26828.62,0.15,True,1.73,-4.82,1.92,5.53,-8.39,🟢 BUY-LEADER
MOCAPITAL,Motilal Oswal Nifty Capital Market ETF,SECTOR,SECTOR.NIFTY CAPITAL MARKETS,Nifty Capital Markets,Motilal,B,index:Nifty Capital Mkt,6,8,7,4,25,⭐ B,2,WEAKENING,LEADING,53.58,53.87,5187.99,1.93,True,6.13,0.41,8.83,4.7,-7.08,🟠 HOLD-WATCH
SML100CASE,Zerodha Nifty Smallcap 100 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY SMALLCAP 100,NIFTY Smallcap 100,Zerodha,D,index:NIFTY SMALLCAP 100,4,9,7,5,25,⭐ B,2,WEAKENING,STABLE,11.32,11.18,18273.12,2.23,True,10.41,1.23,11.75,1.32,-2.97,⚠ ILLIQUID
HEALTHIETF,ICICI Pru Nifty Healthcare ETF,SECTOR,SECTOR.NIFTY HEALTHCARE,Nifty Healthcare,ICICI,D,index:NIFTY HEALTHCARE,4,9,7,4,24,⭐ B,2,WEAKENING,LEADING,170.91,169.71,15598.05,2.0,True,9.83,2.71,1.06,1.77,-2.43,⚠ ILLIQUID
METALIETF,ICICI Pru Nifty Metal ETF,SECTOR,SECTOR.NIFTY METAL,Nifty Metal,ICICI,A,index:NIFTY METAL,8,8,5,3,24,⭐ B,2,WEAKENING,DECAY,13.08,13.03,12661.22,1.46,True,6.64,-0.57,69.35,9.16,-6.27,🟠 HOLD-WATCH
TNIDETF,Tata Nifty India Digital ETF,THEMATIC,THEMATIC.NIFTY INDIA DIGITAL,Nifty India Digital,Tata,D,index:NIFTY IND DIGITAL,2,7,6,8,23,⭐ B,2,LEADING,STABLE,88.34,88.72,8028.5,0.08,True,3.1,1.69,0.82,0.73,-12.33,⚠ ILLIQUID
NEXT50IETF,ICICI Pru Nifty Next 50 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY NEXT 50,Nifty Next 50,ICICI,B,index:NIFTYNXT50,8,9,3,3,23,⭐ B,2,WEAKENING,DECAY,76.39,77.17,70297.44,0.79,True,3.41,-1.4,6.67,5.14,-4.85,🟠 HOLD-WATCH
MIDCAPETF,Mirae Asset Nifty Midcap 150 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY MIDCAP 150,Nifty Midcap 150,Mirae,B,index:NIFTY MIDCAP 150,8,9,3,3,23,⭐ B,2,WEAKENING,FADING,23.37,23.67,22264.46,0.8,True,3.26,-0.72,23.23,5.39,-4.12,🟠 HOLD-WATCH
FINIETF,ICICI Pru Nifty Fin Svc Ex-Bank ETF,SECTOR,SECTOR.NIFTY FINANCIAL SERVICES EX BANK,Nifty Financial Services Ex Bank,ICICI,C,index:NIFTY FINSEREXBNK,4,7,4,7,22,⭐ B,2,LEADING,DECAY,32.28,32.88,31140.8,0.25,True,1.17,-0.79,3.1,1.01,-5.98,⚠ ILLIQUID
MIDSMALL,Mirae Asset Nifty MS400 MQ 100 ETF,SMART_BETA,SMART_BETA.NIFTY MIDSMALLCAP 400,Nifty MidSmallCap 400,Mirae,D,index:NIFTY MIDSMALLCAP 400,4,9,5,3,21,⭐ B,2,WEAKENING,DECAY,51.4,51.54,20349.11,1.2,True,5.16,-0.12,2.63,1.36,-3.53,⚠ ILLIQUID
ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF,SMART_BETA,SMART_BETA.NIFTY 200 ALPHA 30,Nifty 200 Alpha 30,Mirae,D,index:NIFTY200 ALPHA 30,4,8,5,4,21,⭐ B,2,WEAKENING,STABLE,26.33,26.43,25547.71,0.91,True,4.0,0.85,4.15,1.09,-5.08,⚠ ILLIQUID
GROWWCAPM,Groww Nifty Capital Markets ETF,SECTOR,SECTOR.NIFTY CAPITAL MARKET,Nifty Capital Market,Groww,D,index:Nifty Capital Mkt,2,8,7,4,21,⭐ B,2,WEAKENING,LEADING,11.24,11.31,5187.99,1.93,True,6.13,0.41,4.64,0.52,-7.08,⚠ ILLIQUID
