Symbol,Sub_Category,Underlying,Measured_On,LTP,Ret_4W_pct,Ret_12W_pct,Excess_4W_pct,Excess_12W_pct,Rank_4W,Rank_12W,Composite_Score,Rank_Composite,Quartile,Tilt
MODEFENCE,SECTOR.NIFTY INDIA DEFENCE,Nifty India Defence,index:NIFTY IND DEFENCE,9894.0,2.41,8.36,6.65,8.58,1,3,15.8,1,TOP,🟢 OVERWEIGHT
PHARMABEES,SECTOR.NIFTY PHARMA,Nifty Pharma,index:NIFTY PHARMA,26685.85,-0.29,10.46,2.92,10.05,4,2,15.2,2,TOP,🟢 OVERWEIGHT
MOREALTY,SECTOR.NIFTY REALTY,Nifty Realty,index:NIFTY REALTY,871.75,-2.03,6.56,2.76,10.56,7,1,14.6,3,TOP,🟢 OVERWEIGHT
HEALTHIETF,SECTOR.NIFTY HEALTHCARE,Nifty Healthcare,index:NIFTY HEALTHCARE,16580.25,-0.31,7.43,1.95,6.4,8,4,12.4,4,TOP,🟢 OVERWEIGHT
METALIETF,SECTOR.NIFTY METAL,Nifty Metal,index:NIFTY METAL,13391.1,1.67,3.96,2.85,-0.39,5,10,10.0,5,2,🟡 NEUTRAL+
GROWWCAPM,SECTOR.NIFTY CAPITAL MARKET,Nifty Capital Market,index:Nifty Capital Mkt,5362.35,0.43,-2.97,4.18,-2.43,2,13,9.4,6,2,🟡 NEUTRAL+
MOCAPITAL,SECTOR.NIFTY CAPITAL MARKETS,Nifty Capital Markets,index:Nifty Capital Mkt,5362.35,0.43,-2.97,4.18,-2.43,2,13,9.4,6,2,🟡 NEUTRAL+
CHEMICAL,SECTOR.NIFTY CHEMICALS,Nifty Chemicals,etf,30.25,-0.95,1.99,0.67,1.23,10,8,9.2,8,2,🟡 NEUTRAL+
ITBEES,SECTOR.NIFTY IT,Nifty IT,index:NIFTYIT,28913.95,-7.72,1.21,-3.67,5.53,16,5,8.6,9,3,🟠 NEUTRAL−
AUTOBEES,SECTOR.NIFTY AUTO,Nifty Auto,index:NIFTY AUTO,27654.4,-5.82,2.84,-3.29,2.02,15,6,8.4,10,3,🟠 NEUTRAL−
PVTBANIETF,SECTOR.NIFTY PRIVATE BANK,Nifty Private Bank,index:NIFTY PVT BANK,27474.7,0.34,-1.21,2.77,-2.15,6,12,8.4,10,3,🟠 NEUTRAL−
EVINDIA,SECTOR.NIFTY EV AND NEW AGE AUTO,Nifty EV and New Age Auto,index:NIFTY EV,3198.8,-5.67,2.53,-2.68,1.99,14,7,8.2,12,3,🟠 NEUTRAL−
BANKNIFTY1,SECTOR.NIFTY BANK,Nifty Bank,index:BANKNIFTY,56295.55,-2.75,-1.75,1.26,-1.67,9,11,7.8,13,BOTTOM,🔴 UNDERWEIGHT
FINIETF,SECTOR.NIFTY FINANCIAL SERVICES EX BANK,Nifty Financial Services Ex Bank,index:NIFTY FINSEREXBNK,31582.85,-3.79,0.06,-0.63,0.87,13,9,7.4,14,BOTTOM,🔴 UNDERWEIGHT
PSUBNKBEES,SECTOR.NIFTY PSU BANK,Nifty PSU Bank,index:NIFTY PSU BANK,8412.35,-2.64,-1.97,-0.21,-2.91,11,15,4.6,15,BOTTOM,🔴 UNDERWEIGHT
BFSI,SECTOR.FINNIFTY,Finnifty,index:FINNIFTY,25695.55,-2.79,-2.2,-0.36,-3.14,12,16,3.6,16,BOTTOM,🔴 UNDERWEIGHT
FMCGIETF,SECTOR.NIFTY FMCG,Nifty FMCG,index:NIFTY FMCG,45307.45,-6.45,-8.73,-3.8,-7.65,17,17,1.0,17,BOTTOM,🔴 UNDERWEIGHT
