Symbol,name,asset_class,sub_category,underlying,liquidity_tier,turnover_cr,aum_cr,ter_pct,selected_from,reason
NIFTYBEES,Nippon Nifty 50 ETF (NIFTYBEES),BROAD_EQUITY,BROAD_EQUITY.NIFTY 50,Nifty 50,A,163.65,66925.3,0.03,3,cheapest of the amply liquid
HDFCSML250,HDFC Nifty Small Cap 250 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY SMALLCAP 250,NIFTY Smallcap 250,A,27.4,2612.6,0.25,3,cheapest of the amply liquid
NEXT50IETF,ICICI Pru Nifty Next 50 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY NEXT 50,Nifty Next 50,B,7.99,2726.2,0.09,3,cheapest of the amply liquid
MIDCAPETF,Mirae Asset Nifty Midcap 150 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY MIDCAP 150,Nifty Midcap 150,B,5.99,1857.5,0.05,3,cheapest of the amply liquid
MONIFTY500,Motilal Oswal Nifty 500 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY 500,Nifty 500,C,3.46,299.4,0.51,1,most liquid (none ample)
MOM100,Motilal Oswal Nifty Midcap 100 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY MIDCAP 100,NIFTY Midcap 100,C,2.8,915.6,0.29,1,most liquid (none ample)
SML100CASE,Zerodha Nifty Smallcap 100 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY SMALLCAP 100,NIFTY Smallcap 100,D,1.75,97.2,0.18,1,most liquid (none ample)
TOP100CASE,Zerodha Nifty 100 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY 100,Nifty 100,D,0.85,164.5,0.22,2,most liquid (none ample)
MIDCAP,Kotak Nifty Midcap 50 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY MID CAP 50,Nifty Mid Cap 50,D,0.72,211.7,0.25,1,most liquid (none ample)
SILVERIETF,ICICI Pru Silver ETF,COMMODITY,COMMODITY.SILVER,Silver,A,86.67,15126.5,0.34,3,cheapest of the amply liquid
GOLDIETF,ICICI Pru Gold ETF,COMMODITY,COMMODITY.GOLD,Gold,A,79.7,28916.1,0.42,3,cheapest of the amply liquid
