Symbol,Asset_Class,Sub_Category,Stage,RRG_Quadrant,Rotation_Vector,Liquidity_Score,Trend_Score,RS_Score,Rotation_Score,Total_Score,Grade,Mansfield_RS,RS_Momentum_4W,Turnover_60D_Cr,MA200_Slope_pct,Dist_52WH_pct,LTP,Signal
AUTOBEES,SECTOR,SECTOR.AUTO,2,LEADING,STABLE,8,10,9,8,35,⭐⭐⭐ A+,6.42,3.5,5.83,0.8,-1.77,302.0,🟢 BUY-LEADER
AUTOIETF,SECTOR,SECTOR.AUTO,2,LEADING,STABLE,4,10,9,8,31,⭐⭐ A,6.11,3.08,1.78,0.79,-1.82,30.16,⚠ ILLIQUID
GOLDBEES,COMMODITY,COMMODITY.GOLD,2,LAGGING,BREAKOUT,10,9,8,3,30,⭐⭐ A,8.46,8.57,259.46,0.71,-9.17,133.1,⚪ NEUTRAL
GOLDIETF,COMMODITY,COMMODITY.GOLD,2,LAGGING,BREAKOUT,10,9,8,3,30,⭐⭐ A,8.35,8.37,59.9,0.71,-10.19,137.71,⚪ NEUTRAL
GOLDETF,COMMODITY,COMMODITY.GOLD,2,LAGGING,BREAKOUT,10,9,8,3,30,⭐⭐ A,8.43,8.49,13.28,0.75,-8.92,156.32,⚪ NEUTRAL
GOLD1,COMMODITY,COMMODITY.GOLD,2,LAGGING,LEADING,10,9,8,3,30,⭐⭐ A,8.73,8.7,22.38,0.74,-8.27,134.5,⚪ NEUTRAL
SMALLCAP,BROAD_EQUITY,BROAD.SMALLCAP,2,WEAKENING,STABLE,8,10,7,4,29,⭐⭐ A,8.45,2.06,7.87,1.61,-0.02,48.81,🟠 HOLD-WATCH
MAFANG,INTERNATIONAL,INTL.US_TECH,2,WEAKENING,STABLE,6,10,8,5,29,⭐⭐ A,13.6,3.82,2.94,2.56,-2.63,205.87,🟠 HOLD-WATCH
MON100,INTERNATIONAL,INTL.US_NASDAQ,2,WEAKENING,FADING,10,9,6,4,29,⭐⭐ A,17.55,-3.38,12.21,4.09,-4.25,327.98,🟠 HOLD-WATCH
PHARMABEES,SECTOR,SECTOR.PHARMA,2,WEAKENING,DECAY,10,10,5,3,28,⭐⭐ A,9.56,-2.32,13.39,2.32,-1.56,27.06,🟠 HOLD-WATCH
EVINDIA,THEMATIC,THEME.EV,2,LEADING,STABLE,2,10,8,8,28,⭐⭐ A,7.16,2.67,0.81,1.25,-1.87,33.6,⚠ ILLIQUID
METAL,SECTOR,SECTOR.METAL,2,WEAKENING,LEADING,6,10,8,4,28,⭐⭐ A,9.38,3.45,3.27,1.79,-2.39,13.5,🟠 HOLD-WATCH
MID150BEES,BROAD_EQUITY,BROAD.MIDCAP,2,WEAKENING,DECAY,10,10,3,3,26,⭐⭐ A,3.8,-0.41,15.08,0.92,-0.68,241.88,🟠 HOLD-WATCH
