Symbol,Underlying,Asset_Class,Issuer,AUM_Cr,TER_Pct,Turnover_60D_Cr,Premium_Pct,CAGR_1Y,CAGR_3Y,CAGR_5Y,History_Yrs,Track_Diff_3Y,Track_Diff_1Y
NIF100IETF,Nifty 100,BROAD_EQUITY,ICICI,,,0.22,0.26,-0.11,10.49,9.28,5.0,,
NIFTYBEES,Nifty 50,BROAD_EQUITY,Nippon,,,160.94,-0.23,-2.06,9.06,8.99,5.0,,
MULTICAP,Nifty 500,BROAD_EQUITY,Nippon,,,0.27,-0.23,4.28,,,2.0,,
MID150BEES,Nifty Midcap 150,BROAD_EQUITY,Nippon,,,15.08,-0.08,9.44,17.78,18.36,5.0,0.0,-0.35
MIDCAPETF,Nifty Midcap 150,BROAD_EQUITY,ICICI,,,4.88,0.1,9.79,17.25,,3.0,-0.53,0.0
JUNIORBEES,Nifty Next 50,BROAD_EQUITY,Nippon,,,26.1,-0.03,10.01,19.69,14.05,5.0,0.0,0.0
NEXT50IETF,Nifty Next 50,BROAD_EQUITY,ICICI,,,5.78,-0.09,9.76,19.57,14.04,5.0,-0.12,-0.25
SMALLCAP,Nifty Smallcap250,BROAD_EQUITY,ICICI,,,7.87,-0.13,7.23,,,2.5,,
GOLDIETF,Gold (INR),COMMODITY,ICICI,,,59.9,1.22,59.88,38.88,26.75,5.0,0.0,-0.33
GOLDBEES,Gold (INR),COMMODITY,Nippon,,,259.46,1.32,59.66,38.68,26.55,5.0,-0.2,-0.55
GOLDETF,Gold (INR),COMMODITY,Kotak,,,13.28,1.23,59.77,38.54,,3.0,-0.34,-0.44
GOLD1,Gold (INR),COMMODITY,HDFC,,,22.38,1.4,60.21,,,2.4,,0.0
AXISGOLD,Gold (INR),COMMODITY,Axis,,,,,,,,0.1,,
SILVERIETF,Silver (INR),COMMODITY,ICICI,,,71.04,-0.34,108.04,47.73,,4.6,0.0,0.0
SILVERBEES,Silver (INR),COMMODITY,Nippon,,,504.67,-0.27,107.44,47.34,,4.5,-0.39,-0.6
GILT5YBEES,5Y G-Sec,DEBT,Nippon,,,1.45,0.04,6.11,7.85,6.38,5.0,,
LIQUIDBEES,Overnight,DEBT,Nippon,,,289.21,0.0,0.0,0.0,0.0,5.0,,0.0
