Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,Market Capitalization,YOY Quarterly sales growth,YOY Quarterly profit growth
Atul,500027,ATUL,INE100A01010,Chemicals & Petrochemicals,Specialty Chemicals,6221.50,810.94,1022.77,64.29,0.03,2.15,9.30,18324.30,25.03,91.99
Aurobindo Pharma,524804,AUROPHARMA,INE406A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,1698.90,3710.80,5526.37,15.25,0.21,1.77,6.61,98098.82,16.30,28.11
Bharti Airtel,532454,BHARTIARTL,INE397D01024,Telecom - Services,Telecom - Cellular & Fixed line services,1814.70,36412.60,122229.60,3.37,1.31,0.44,6.42,1135048.98,18.35,40.84
Carborundum Uni.,513375,CARBORUNIV,INE120A01034,Industrial Products,Abrasives & Bearings,1094.10,187.75,367.36,22.34,0.11,2.67,4.67,20853.65,17.03,23.44
CCL Products,519600,CCL,INE421D01022,Agricultural Food & other Products,Tea & Coffee,1104.70,432.54,858.29,5.00,0.56,1.49,9.08,14755.40,13.72,61.33
Cupid,530843,CUPID,INE509F01029,Personal Products,Personal Care,279.70,137.41,46.12,56.59,0.13,4.65,23.69,37548.68,142.49,194.01
Deepak Nitrite,506401,DEEPAKNTR,INE288B01029,Chemicals & Petrochemicals,Specialty Chemicals,1641.90,783.41,538.95,18.81,0.28,2.25,6.74,22377.40,36.39,207.50
ERIS Lifescience,540596,ERIS,INE406M01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,1335.00,665.72,537.99,4.54,0.60,0.74,9.52,18495.29,12.97,20.68
Garware Tech.,509557,GARFIBRES,INE276A01018,Textiles & Apparels,Other Textile Products,814.60,210.14,162.07,22.80,0.03,2.09,11.50,7955.40,31.35,21.68
Guj. Themis Bio.,506879,GUJTHEM,INE942C01045,Pharmaceuticals & Biotechnology,Pharmaceuticals,430.75,48.68,48.78,14.86,0.56,1.12,11.60,5608.14,22.08,22.19
HCL Technologies,532281,HCLTECH,INE860A01027,IT - Software,Computers - Software & Consulting,1229.80,17434.00,19975.00,33.23,0.07,2.00,15.71,331648.86,13.94,20.32
Hindalco Inds.,500440,HINDALCO,INE038A01020,Non - Ferrous Metals,Aluminium,1026.90,16400.00,10250.00,9.53,0.73,1.14,5.54,230277.02,32.06,116.70
Hindustan Foods,519126,HNDFDS,INE254N01026,Diversified FMCG,Diversified FMCG,615.25,158.30,100.02,3.54,0.93,1.41,5.32,7445.57,17.90,32.75
IOL Chemicals,524164,IOLCP,INE485C01029,Pharmaceuticals & Biotechnology,Pharmaceuticals,209.29,168.24,214.42,17.97,0.08,1.77,5.90,6147.02,37.08,89.87
Man Infra,533169,MANINFRA,INE949H01023,Realty,"Residential, Commercial Projects",128.72,215.42,-49.70,24.30,0.03,5.06,7.85,5196.00,19.36,28.92
Paradeep Phosph.,543530,PARADEEP,INE088F01024,Fertilizers & Agrochemicals,Fertilizers,157.92,1072.14,-1011.87,3.61,1.02,1.15,6.36,16414.70,35.99,18.79
Ramkrishna Forg.,532527,RKFORGE,INE399G01023,Auto Components,Auto Components & Equipments,720.70,106.89,839.76,1.65,0.74,1.15,1.16,13143.05,19.84,297.63
Rategain Travel,543417,RATEGAIN,INE0CLI01024,IT - Software,Computers - Software & Consulting,841.40,242.36,233.71,8.24,0.47,1.38,8.23,9988.41,187.63,102.24
Star Health Insu,543412,STARHEALTH,INE575P01011,Insurance,General Insurance,571.95,844.19,1873.46,,0.06,0.22,2.48,33672.22,13.15,25.46
Stylam Industrie,526951,STYLAMIND,INE239C01020,Consumer Durables,Plywood Boards/ Laminates,3382.30,169.37,177.08,64.70,0.04,3.47,16.56,5732.86,15.37,70.38
Welspun Living,514162,WELSPUNLIV,INE192B01031,Textiles & Apparels,Other Textile Products,210.28,286.20,1174.98,3.63,0.47,1.32,2.20,19887.30,23.66,83.59
