Symbol,BuyPrice,StopLoss,Target,LTP,ATR14,Weinstein_Stage,Mansfield_RS,R_Multiple,Exit_Flag,Exit_Reasons,Recommendations,Recommendations_Str
COALINDIA,431.3671,391.5,500.4,432.0,8.86,4,-3.586,0.02,ACTION,🔴 STAGE 4 BREAKDOWN: trend broken — exit candidate | 🟠 RS FADE: Mansfield RS = -3.59 (negative vs CNX500),"[{'action': 'EXIT_FULL', 'qty_pct': 100, 'new_sl': None, 'trail_method': None, 'reason': 'Stage 4 breakdown -- trend broken; exit fully. [regime=4/10]'}]",[EXIT_FULL] qty=100% sl=None — Stage 4 breakdown -- trend broken; exit fully. [regime=4/10]
SAILIFE,1049.15,1420.5,1442.2,1591.1,61.3,2,30.83,54195.0,ACTION,🟢 TARGET HIT (LTP=1591.10 ≥ T1=1442.20) — consider booking / trailing,"[{'action': 'TRIM_AND_TRAIL', 'qty_pct': 50, 'new_sl': 1513.09, 'trail_method': 'Chandelier (22-bar high - 3xATR)', 'reason': 'At 54195.0R (threshold 3.0R) -- book half, trail the rest with Chandelier. [regime=4/10]'}]","[TRIM_AND_TRAIL] qty=50% sl=1513.09 — At 54195.0R (threshold 3.0R) -- book half, trail the rest with Chandelier. [regime=4/10]"
ANANDRATHI,1787.7797,1989.5,2205.5,2200.8,43.33,2,15.36,41302.03,ACTION,"✅ All clear | 📌 At 41302.0R (threshold 3.0R) -- book half, trail the rest with Chandelier. [regime=4/10]","[{'action': 'TRIM_AND_TRAIL', 'qty_pct': 50, 'new_sl': 2125.01, 'trail_method': 'Chandelier (22-bar high - 3xATR)', 'reason': 'At 41302.0R (threshold 3.0R) -- book half, trail the rest with Chandelier. [regime=4/10]'}]","[TRIM_AND_TRAIL] qty=50% sl=2125.01 — At 41302.0R (threshold 3.0R) -- book half, trail the rest with Chandelier. [regime=4/10]"
NESTLEIND,1438.3652,1325.5,0.0,1386.2,27.32,3,-1.523,-0.46,ACTION,🟠 STAGE 3 TOPPING: distribution risk — review / trim | 🟠 RS FADE: Mansfield RS = -1.52 (negative vs CNX500),"[{'action': 'TRIM_DEFENSIVE', 'qty_pct': 25, 'new_sl': 1438.37, 'trail_method': 'Static SL at entry', 'reason': 'Stage 3 topping -- trim 25% and tighten to entry. [regime=4/10]'}]",[TRIM_DEFENSIVE] qty=25% sl=1438.37 — Stage 3 topping -- trim 25% and tighten to entry. [regime=4/10]
NAM-INDIA,1068.1042,1082.5,0.0,1185.0,32.72,2,8.435,11689.58,ACTION,"✅ All clear | 📌 At 11689.6R (threshold 3.0R) -- book half, trail the rest with Chandelier. [regime=4/10]","[{'action': 'TRIM_AND_TRAIL', 'qty_pct': 50, 'new_sl': 1171.35, 'trail_method': 'Chandelier (22-bar high - 3xATR)', 'reason': 'At 11689.6R (threshold 3.0R) -- book half, trail the rest with Chandelier. [regime=4/10]'}]","[TRIM_AND_TRAIL] qty=50% sl=1171.35 — At 11689.6R (threshold 3.0R) -- book half, trail the rest with Chandelier. [regime=4/10]"
NETWEB,4471.6123,4488.5,6445.5,5017.0,214.32,2,15.009,54538.77,ACTION,"✅ All clear | 📌 At 54538.8R (threshold 3.0R) -- book half, trail the rest with Chandelier. [regime=4/10]","[{'action': 'TRIM_AND_TRAIL', 'qty_pct': 50, 'new_sl': 5170.04, 'trail_method': 'Chandelier (22-bar high - 3xATR)', 'reason': 'At 54538.8R (threshold 3.0R) -- book half, trail the rest with Chandelier. [regime=4/10]'}]","[TRIM_AND_TRAIL] qty=50% sl=5170.04 — At 54538.8R (threshold 3.0R) -- book half, trail the rest with Chandelier. [regime=4/10]"
CAPLIPOINT,2531.5273,2366.5,2716.2,2792.0,104.33,2,24.773,1.58,ACTION,🟢 TARGET HIT (LTP=2792.00 ≥ T1=2716.20) — consider booking / trailing,"[{'action': 'MOVE_TO_BREAKEVEN', 'qty_pct': 0, 'new_sl': 2531.53, 'trail_method': 'Breakeven', 'reason': 'At 1.6R (threshold 1.0R) -- risk-free trade; move SL to breakeven. [regime=4/10]'}]",[MOVE_TO_BREAKEVEN] qty=0% sl=2531.53 — At 1.6R (threshold 1.0R) -- risk-free trade; move SL to breakeven. [regime=4/10]
VIJAYA,1418.2908,1275.5,0.0,1498.8,45.66,2,18.361,0.56,OK,✅ All clear,[],
LAURUSLABS,1613.2267,1722.5,0.0,1945.0,47.56,2,34.559,33177.33,ACTION,"✅ All clear | 📌 At 33177.3R (threshold 3.0R) -- book half, trail the rest with Chandelier. [regime=4/10]","[{'action': 'TRIM_AND_TRAIL', 'qty_pct': 50, 'new_sl': 1812.32, 'trail_method': 'Chandelier (22-bar high - 3xATR)', 'reason': 'At 33177.3R (threshold 3.0R) -- book half, trail the rest with Chandelier. [regime=4/10]'}]","[TRIM_AND_TRAIL] qty=50% sl=1812.32 — At 33177.3R (threshold 3.0R) -- book half, trail the rest with Chandelier. [regime=4/10]"
APOLLOHOSP,8876.228,8275.5,0.0,8900.0,144.05,2,6.229,0.04,OK,✅ All clear,[],
