Symbol,Name,Combined_Score,Conviction,Tech_Score,Stage,Mansfield_RS,Daily_RSI,Daily_ADX,EMA_Stack,Above_200DMA,Dist_52WH_pct,Vol_RelAvg,ROE %,ROCE %,Debt to equity,Promoter holding %,Div Yld %,Qtr Profit Var %,Qtr Sales Var %,Mar Cap Rs.Cr.,CMP Rs.,P/E,Volume,Hybrid_Catalyst,%Chg,Minervini_Score,Piotroski_Score,Overall_Rating,Overall_Grade,Delivery_Pct,Futures_OI_Chg_Pct
SPLPETRO,Supreme Petroch.,90.0,10.0,80,2,16.070960133644483,75.72745700116126,20.39752078323169,True,True,4.79,2.9,14.1,18.8,0.05,64.24,1.29,193.5,23.7,15309.0,813.55,31.2,196496,NONE,-1.79,4.0,6.0,77.3,B GOOD,48.4,
CHENNPETRO,C P C L,87.5,9.0,85,2,15.180458896805549,62.64472381840301,28.31471355224405,True,True,0.0,0.68,32.4,35.4,0.18,67.29,3.86,2671.95,84.77,23901.18,1604.4,5.78,8400385,NONE,10.06,5.0,6.0,78.3,B GOOD,12.32,
NAVINFLUOR,Navin Fluo.Intl.,85.0,8.5,85,2,10.629414291491468,63.86404608356586,31.840453220864664,True,True,0.0,0.91,15.3,20.8,0.32,27.08,0.17,107.67,44.07,45041.97,8775.5,78.8,294169,NONE,0.51,6.0,4.0,74.9,B GOOD,44.5,
GVT&D,GE Vernova T&D,85.0,10.0,70,2,9.095536744154153,64.7195685740239,15.899407169470933,True,True,14.16,4.16,57.4,77.4,0.01,51.0,0.21,24.7,38.0,119602.0,4673.0,88.6,1094528,SWG-GAP,-1.62,5.0,5.0,74.6,B GOOD,33.99,-2.7
JSWDULUX,JSW Dulux,85.0,10.0,70,2,4.34898556409169,58.92789096097446,30.20532282694365,False,True,12.64,2.06,19.3,23.0,0.03,61.2,1.57,,,14480.0,3179.2,37.8,37589,NONE,0.15,3.0,4.0,67.4,C FAIR,74.57,
IPCALAB,Ipca Labs.,82.5,9.0,75,2,8.989949436087997,64.68150176026953,32.69648680587017,True,True,1.03,0.22,15.3,19.7,0.1,44.72,0.31,72.33,20.76,49802.17,1963.6,39.3,126119,NONE,-0.18,5.0,6.0,75.3,B GOOD,62.48,
KAJARIACER,Kajaria Ceramics,82.5,9.5,70,2,3.693581032624582,56.300857524821154,12.854207641954403,True,True,0.9,1.08,17.2,23.1,0.07,47.69,1.13,52.43,20.43,19475.5,1239.2,36.9,80907,NONE,-0.88,4.0,6.0,72.8,B GOOD,60.95,
NYKAA,FSN E-Commerce,80.0,8.5,75,2,5.124745870926373,57.44558184264023,25.729513609877024,True,True,2.45,0.88,5.17,6.78,0.86,52.07,0.0,243.1,29.1,98245.31,343.0,1141.0,4010750,NONE,0.59,3.0,3.0,62.2,C FAIR,54.64,-2.19
CASTROLIND,Castrol India,78.5,10.0,57,2,2.879118804088443,58.016479809628365,23.67650120738775,False,True,7.58,0.77,45.9,60.3,0.03,51.0,4.63,42.1,25.0,18726.0,189.16,17.4,2950116,NONE,-0.16,4.0,5.0,68.2,C FAIR,73.56,
ABSLAMC,Aditya AMC,77.5,10.0,55,2,-1.064424770690231,56.86492159077825,13.920042270951363,True,True,11.26,1.23,25.6,32.7,0.02,74.72,2.39,11.3,10.6,30912.0,1066.5,30.2,233592,NONE,2.77,4.0,,56.5,C FAIR,47.67,
CRISIL,CRISIL,76.0,9.0,62,2,9.30447732859796,61.67114897226914,33.699937226885766,False,True,6.52,0.51,29.5,31.9,0.1,66.64,0.53,26.16,27.56,34301.65,4690.6,60.1,17017,NONE,-1.34,4.0,,55.6,C FAIR,58.39,
KPRMILL,K P R Mill Ltd,73.5,7.0,77,2,2.7788233107746363,50.84132363935586,25.488527566236478,True,True,6.85,1.1,15.71,19.58,0.1,67.52,0.44,21.5,9.6,38982.2,1140.3,59.9,239559,SWG-PB,0.47,4.0,4.0,63.0,C FAIR,55.23,
SARDAEN,Sarda Energy,63.0,8.8,38,1,4.047470166111511,57.4288238888598,16.377376682876818,False,True,16.98,0.49,14.6,17.7,0.36,73.16,0.37,5.4,-1.5,19235.0,545.85,21.8,5268817,NONE,5.0,3.0,5.0,56.4,C FAIR,19.11,
ADANIPOWER,Adani Power,63.0,7.8,48,2,-0.680432359706773,50.26771846570707,13.854818763798118,True,True,16.27,0.88,22.0,19.1,0.84,74.96,0.0,44.4,34.0,414826.0,214.9,34.6,33227588,SWG-PB,3.12,3.0,4.0,54.2,D WEAK,37.62,-2.56
JSL,Jindal Stain.,60.0,10.0,20,3,3.56780314351115,58.45105398281977,15.65623089063132,False,False,14.66,0.87,15.1,18.0,0.38,62.04,0.51,7.6,10.5,64599.0,783.3,24.1,6366585,NONE,6.03,2.0,5.0,52.1,D WEAK,37.29,
