Symbol,Name,Asset_Class,Sub_Category,Underlying,Issuer,Liquidity_Tier,Structure_Source,Liquidity_Score,Trend_Score,RS_Score,Rotation_Score,Total_Score,Grade,Stage,RRG_Quadrant,Rotation_Vector,LTP,SMA50,SMA200,MA200_Slope_pct,Above_SMA200,Mansfield_RS,RS_Momentum_4W,Vol_60D_Lakhs,Turnover_60D_Cr,Dist_52WH_pct,Signal,Premium_Pct
MOREALTY,Motilal Oswal Nifty Realty ETF,SECTOR,SECTOR.NIFTY REALTY,Nifty Realty,Motilal,B,index:NIFTY REALTY,8,8,8,8,32,⭐⭐⭐ A+,2,LEADING,LEADING,89.89,90.13,812.93,1.74,True,7.22,2.41,6.95,6.37,-7.91,🟢 BUY-LEADER,0.29
MODEFENCE,Motilal Oswal Nifty India Defence ETF,SECTOR,SECTOR.NIFTY INDIA DEFENCE,Nifty India Defence,Motilal,A,index:NIFTY IND DEFENCE,10,10,7,5,32,⭐⭐⭐ A+,2,WEAKENING,LEADING,107.24,104.87,8931.23,3.09,True,12.69,1.96,12.82,13.43,0.0,🟠 HOLD-WATCH,2.57
PHARMABEES,Nippon Pharma ETF (PHARMABEES),SECTOR,SECTOR.NIFTY PHARMA,Nifty Pharma,Nippon,A,index:NIFTY PHARMA,10,10,7,5,32,⭐⭐⭐ A+,2,WEAKENING,LEADING,27.4,26.95,24283.79,2.59,True,11.45,1.53,46.52,12.66,-1.1,🟠 HOLD-WATCH,0.98
SMALLCAP,Mirae Ast Nifty Smallcap 250 MQ 100 ETF,SMART_BETA,SMART_BETA.NIFTY SMALLCAP250 MOMENTUM QUALITY 100,Nifty Smallcap250 Momentum Quality 100,Mirae,B,index:NIFTYSML250MQ 100,8,10,8,5,31,⭐⭐ A,2,WEAKENING,LEADING,49.27,47.83,44604.13,2.16,True,10.56,3.88,16.3,7.7,0.0,🟠 HOLD-WATCH,0.44
HDFCSML250,HDFC Nifty Small Cap 250 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY SMALLCAP 250,NIFTY Smallcap 250,HDFC,A,index:NIFTY SMALLCAP 250,10,10,7,4,31,⭐⭐ A,2,WEAKENING,LEADING,186.73,182.94,16892.16,2.14,True,9.88,2.66,14.28,25.67,0.0,🟠 HOLD-WATCH,-0.11
MOCAPITAL,Motilal Oswal Nifty Capital Market ETF,SECTOR,SECTOR.NIFTY CAPITAL MARKETS,Nifty Capital Markets,Motilal,B,index:Nifty Capital Mkt,6,10,8,4,28,⭐⭐ A,2,WEAKENING,LEADING,54.82,54.09,5148.6,2.11,True,8.15,4.12,8.91,4.86,-4.25,🟠 HOLD-WATCH,-0.43
ALPHA,Kotak Nifty Alpha 50 ETF,SMART_BETA,SMART_BETA.NIFTY ALPHA 50,NIFTY ALPHA 50,Kotak,B,index:NIFTY ALPHA 50,6,10,7,4,27,⭐⭐ A,2,WEAKENING,STABLE,53.97,52.81,52075.2,2.08,True,8.62,1.59,8.96,4.81,-1.85,🟠 HOLD-WATCH,0.19
AUTOBEES,Nippon Auto ETF (AUTOBEES),SECTOR,SECTOR.NIFTY AUTO,Nifty Auto,Nippon,B,index:NIFTY AUTO,8,8,4,7,27,⭐⭐ A,2,LEADING,DECAY,286.85,290.6,26882.54,0.84,True,1.62,-5.17,2.24,6.37,-6.31,🟢 BUY-LEADER,0.44
MIDCAPETF,Mirae Asset Nifty Midcap 150 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY MIDCAP 150,Nifty Midcap 150,Mirae,B,index:NIFTY MIDCAP 150,8,9,5,4,26,⭐⭐ A,2,WEAKENING,LEADING,23.61,23.68,22210.65,1.13,True,3.47,0.07,22.35,5.26,-1.89,🟠 HOLD-WATCH,0.23
GOLDIETF,ICICI Pru Gold ETF,COMMODITY,COMMODITY.GOLD,Gold,ICICI,A,etf,10,8,5,2,25,⭐ B,2,LAGGING,STABLE,130.01,126.38,128.57,0.49,True,2.69,0.89,49.8,61.45,-15.21,⚪ NEUTRAL,0.65
MOMENTUM50,Motilal Oswal Nifty 500 Momentum 50 ETF,SMART_BETA,SMART_BETA.NIFTY 500 MOMENTUM 50,Nifty 500 Momentum 50,Motilal,C,index:NIFTY500MOMENTM50,6,10,5,4,25,⭐ B,2,WEAKENING,STABLE,54.33,53.47,52390.7,1.08,True,3.91,2.09,4.71,2.5,-1.21,🟠 HOLD-WATCH,1.44
MOM100,Motilal Oswal Nifty Midcap 100 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY MIDCAP 100,NIFTY Midcap 100,Motilal,C,index:NIFTY MIDCAP 150,6,9,5,4,24,⭐ B,2,WEAKENING,LEADING,67.83,68.03,22210.65,1.13,True,3.47,0.07,3.03,2.05,-1.89,🟠 HOLD-WATCH,0.31
METALIETF,ICICI Pru Nifty Metal ETF,SECTOR,SECTOR.NIFTY METAL,Nifty Metal,ICICI,A,index:NIFTY METAL,8,10,5,1,24,⭐ B,2,LAGGING,DECAY,13.24,12.95,12594.73,1.74,True,7.6,-0.42,75.62,9.64,-4.09,⚪ NEUTRAL,0.18
NEXT50IETF,ICICI Pru Nifty Next 50 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY NEXT 50,Nifty Next 50,ICICI,B,index:NIFTYNXT50,8,9,3,3,23,⭐ B,2,WEAKENING,DECAY,76.79,77.14,70132.53,1.19,True,3.5,-1.23,7.13,5.49,-2.42,🟠 HOLD-WATCH,0.44
MOM30IETF,ICICI Pru Nifty 200 Momentum 30 ETF,SMART_BETA,SMART_BETA.NIFTY 200 MOMENTUM 30,Nifty 200 Momentum 30,ICICI,C,index:NIFTY200MOMENTM30,6,9,2,2,19,C,2,LAGGING,CHURNING,31.23,31.27,30365.1,0.3,True,-0.32,0.62,6.6,2.06,-3.87,⚪ NEUTRAL,1.22
PVTBANIETF,ICICI Pru Nifty Private Bank ETF,SECTOR,SECTOR.NIFTY PRIVATE BANK,Nifty Private Bank,ICICI,A,index:NIFTY PVT BANK,8,2,6,2,18,C,3,LAGGING,BREAKOUT,28.02,28.0,27128.71,-0.42,True,0.14,3.34,32.14,9.0,-5.87,⚪ NEUTRAL,-0.66
ITBEES,Nippon Nifty IT ETF (ITBEES),SECTOR,SECTOR.NIFTY IT,Nifty IT,Nippon,A,index:NIFTYIT,10,2,0,5,17,C,3,IMPROVING,LAGGING,33.33,33.09,29688.06,-3.07,True,-7.06,-1.33,134.46,44.57,-24.32,⚪ NEUTRAL,-0.1
BANKNIFTY1,Kotak Nifty Bank ETF,SECTOR,SECTOR.NIFTY BANK,Nifty Bank,Kotak,B,index:BANKNIFTY,6,2,2,6,16,C,3,IMPROVING,IGNITE,59.32,59.76,56497.65,-0.41,True,-1.01,1.42,4.16,2.48,-7.75,⚪ NEUTRAL,-0.4
