Symbol,Pyr_Class,Qty,Avg,R_Mult,Add_SL,Pyr_Trigger,Corr_Max,Corr_With,Stage,Mansfield_RS,Daily_RSI,Daily_ADX,Above_200DMA,Dist_52WH_pct,Vol_RelAvg,EMA_Stack,OB_Top,OB_Bottom,FVG_Top,FVG_Bottom,Pivot_Support,At_Support,Tech_Score,Combined_Score
COALINDIA,EXIT,526.0,431.3671,-0.28,391.5,Closed below 30-WMA ₹439 — Stage-4 trigger,0.3,PHARMABEES,1,1.4778680818448686,59.06918821293373,27.12764966833343,False,12.75,0.53,False,407.2,399.4,416.8,407.2,397.5,True,40,40.0
SAILIFE,TRIM,18.0,1049.15,,1432.92,"Target ₹1,442 reached — book partial · trail → ₹1,433 (Chandelier)",0.42,PHARMABEES,2,21.74314468214249,77.95048283318792,39.911189637973415,True,0.0,1.75,True,1496.5,1453.2,1642.0,1599.8,1216.3,False,85,85.0
ANANDRATHI,HOLD,54.0,1787.7797,,2008.39,"Leader (LEADING, Score 42) but below the 20-EMA — not a pullback, a breakdown — wait for the pullback to add",0.24,NAM-INDIA,2,6.700901352390609,53.68137251262114,39.07454796634504,True,2.18,1.22,True,2195.0,2169.2,2182.0,2181.0,2145.1,True,80,80.0
NESTLEIND,EXIT,69.0,1438.3652,-0.55,1434.58,"At SL: 1.0× ATR from stop, P&L -2.6% — exit",0.28,TVSMOTOR,2,-3.2632999273362606,36.09923878867788,15.170467324664559,True,9.06,0.85,True,1428.5,1381.5,1386.0,1294.3,1380.6,True,42,42.0
NAM-INDIA,REDUCE,93.0,1068.1042,,1094.5,"Score 22 — setup/RS decay; demote, tighten stop",0.43,TVSMOTOR,2,1.4742752939826964,50.375574938255156,14.45226711720283,True,4.96,0.46,True,1177.4,1159.6,1142.0,1119.0,1155.1,True,65,65.0
NETWEB,HOLD,12.0,4471.6123,,4570.5,Score 33 · WEAKENING ↙ · WEAKENING -> LAGGING,0.42,SYRMA,2,8.537326059122986,44.60872213908599,29.723369067212353,True,12.6,0.8,True,4907.9,4753.0,4783.0,4780.0,4153.0,True,65,65.0
CAPLIPOINT,TRIM,66.0,2531.5273,0.82,2650.26,"Target ₹2,716 reached — book partial · trail → ₹2,650 (Chandelier)",0.52,PHARMABEES,2,8.295572933512307,62.588077357317765,24.288354447976786,True,2.63,0.5,True,2588.9,2492.2,2759.6,2735.8,2459.8,True,70,70.0
VIJAYA,HOLD,98.0,1418.2908,0.54,1275.5,Score 54 · WEAKENING ↙ · WEAKENING -> LAGGING,0.29,LAURUSLABS,2,7.726774687145399,56.76411068983909,32.600004078012,True,1.54,3.92,True,1479.9,1440.0,1487.5,1479.9,1440.0,True,85,85.0
LAURUSLABS,ADD,58.0,1613.2267,,1716.6,"Score 49 · LEADING ↘ · pullback to EMA20 · RAISE stop → ₹1,717 (Chandelier, from ₹1,670) · None",0.66,PHARMABEES,2,14.29456199611423,66.90177538565788,30.690958816428193,True,0.0,0.6,True,1836.4,1790.3,1857.4,1810.8,1769.4,False,85,85.0
APOLLOHOSP,HOLD,11.0,8876.228,-0.06,8605.48,Score 37 · WEAKENING ↙ · WEAKENING -> LAGGING,0.43,PHARMABEES,2,1.3257411570170685,52.881811331218934,16.18321458522019,True,2.35,0.84,True,8559.0,8457.0,8745.0,8740.0,8591.5,True,65,65.0
