Symbol,Name,Combined_Score,Conviction,Tech_Score,Stage,Mansfield_RS,Daily_RSI,Daily_ADX,EMA_Stack,Above_200DMA,Dist_52WH_pct,Vol_RelAvg,ROE %,ROCE %,Debt to equity,Promoter holding %,Div Yld %,Qtr Profit Var %,Qtr Sales Var %,Mar Cap Rs.Cr.,CMP Rs.,P/E,Volume,Hybrid_Catalyst,%Chg,Minervini_Score,Piotroski_Score,Overall_Rating,Overall_Grade,Delivery_Pct,Futures_OI_Chg_Pct
APARINDS,Apar Inds.,95.0,9.5,95,2,20.78326834773605,64.99962906342705,33.96623964504802,True,True,0.0,2.12,21.2,32.9,0.18,55.42,0.32,77.8,29.13,78962.85,18858.0,66.2,271798,POS-BO,5.94,6.0,3.0,78.7,B GOOD,43.91,
IPCALAB,Ipca Labs.,92.5,9.0,95,2,10.37932420914256,66.9649227497292,28.41566540330938,True,True,0.0,1.98,15.3,19.7,0.1,44.72,0.3,72.33,20.76,50984.4,2009.6,40.3,527501,NONE,1.99,5.0,6.0,81.3,A STRONG,68.56,
ACE,Action Const.Eq.,92.5,9.0,95,2,14.97893377364825,69.41050942049083,28.366864668074292,True,True,0.0,2.59,23.6,32.4,0.0,65.42,0.16,22.28,20.49,14637.71,1229.2,32.7,881443,NONE,1.96,4.0,4.0,74.4,B GOOD,36.38,
SONACOMS,Sona BLW Precis.,90.0,9.5,85,2,7.303098102590244,56.44096048562999,28.36712591529621,True,True,1.94,2.56,11.7,15.1,0.06,28.01,0.42,73.37,50.82,50429.58,808.0,64.9,4201864,NONE,3.87,4.0,4.0,72.9,B GOOD,51.44,3.12
REDINGTON,Redington,90.0,9.5,85,2,22.697058903441025,68.04168439896084,46.51831720967872,False,True,0.06,1.52,25.0,26.4,0.28,26.0,1.5,76.55,34.57,31259.25,399.85,22.9,10809796,POS-ACCUM,-0.06,4.0,4.0,72.9,B GOOD,36.87,
VIJAYA,Vijaya Diagnost.,87.5,8.0,95,2,11.712895212146556,63.89590536219613,27.981980593724515,True,True,0.0,1.88,19.5,21.5,0.44,52.51,0.13,37.6,22.83,16056.31,1558.9,83.2,278137,NONE,3.51,5.0,4.0,73.9,B GOOD,38.56,
DIVISLAB,Divi's Lab.,87.5,8.5,90,2,14.697935311966104,63.015896436043015,56.193494711802686,True,True,2.09,1.34,16.8,22.4,0.0,51.88,0.32,65.5,27.8,248876.79,9375.0,83.1,691534,NONE,0.56,4.0,4.0,71.4,B GOOD,71.25,-0.36
SPLPETRO,Supreme Petroch.,87.5,8.5,90,2,20.691077142390423,71.51930182462516,30.5940779595273,True,True,0.0,3.17,14.1,18.8,0.05,64.24,1.21,192.05,22.08,16278.74,865.7,33.2,1234723,POS-BO,7.27,4.0,6.0,75.8,B GOOD,25.56,
ENGINERSIN,Engineers India,86.0,9.0,82,2,10.620301353674112,55.495613826280184,32.42641303524577,True,True,5.53,0.3,23.37,30.4,0.01,51.32,1.88,142.2,-5.8,14970.0,266.35,22.1,1732303,NONE,0.99,4.0,4.0,70.5,B GOOD,49.68,
SYRMA,Syrma SGS Tech.,82.5,8.0,85,2,21.28382033957239,70.13767698278784,20.760781495325986,True,True,0.0,4.28,12.6,15.0,0.14,42.28,0.09,101.19,68.29,33338.46,1728.9,99.1,10474149,POS-BO,6.87,5.0,3.0,68.7,C FAIR,13.62,
LGEINDIA,LG Electronics,82.5,8.0,85,2,7.925704960722357,61.380031720470136,28.077712087830342,True,True,1.9,2.63,24.7,32.3,0.06,85.0,0.0,27.2,15.49,115180.89,1696.9,63.1,1337344,NONE,2.66,3.0,4.0,65.9,C FAIR,73.34,
JSWDULUX,JSW Dulux,82.5,10.0,65,2,6.168973938882938,57.73115869075977,26.41442453909852,False,True,10.88,1.0,19.3,23.0,0.03,61.2,1.57,48.9,-3.0,14522.0,3188.8,37.9,21480,NONE,3.73,3.0,4.0,65.9,C FAIR,54.67,
ANTHEM,Anthem Bioscienc,80.0,6.5,95,2,10.89268818336353,56.65897184360712,38.124766274661056,True,True,3.06,4.86,22.28,30.37,0.02,71.42,0.22,-12.8,-22.6,52305.97,928.5,81.4,5490000,NONE,0.12,3.0,5.0,66.6,C FAIR,69.5,
CONCORDBIO,Concord Biotech,76.5,9.8,55,2,8.155866207807838,54.98791639512426,16.219474606608436,False,True,11.31,1.37,12.6,17.4,0.0,44.08,0.51,31.1,26.2,15634.0,1494.4,55.0,170417,NONE,2.28,2.0,4.0,59.8,C FAIR,34.04,
PETRONET,Petronet LNG,73.5,10.0,47,3,5.459083529663733,57.010642569483565,23.121745807007276,False,True,9.52,1.99,18.4,23.2,0.11,50.0,3.42,35.1,-53.2,43890.0,292.6,10.6,3218273,NONE,3.23,3.0,6.0,64.9,C FAIR,80.82,0.16
JSL,Jindal Stain.,70.0,10.0,40,3,5.540313943650332,55.78890690128753,18.80198155656726,False,True,12.78,2.59,15.1,18.0,0.38,62.04,0.53,7.6,10.5,61910.0,750.95,23.1,2671236,NONE,3.66,2.0,5.0,58.1,C FAIR,59.53,
