Symbol,Overall_Rating,Overall_Grade,Minervini_Score,Piotroski_Score,ROE,P/E,D/E,M: Rev YoY > 20%,M: NI YoY > 25%,M: Accel EPS,M: ROE > 15%,M: Gross Margin > 15%,M: D/E < 1.5,M: Current Ratio > 1.0,M: FCF Positive,P: F1 ROA Positive,P: F2 OCF Positive,P: F3 ROA Improving,P: F4 Accrual Ratio < 0,P: F5 Leverage Decreasing,P: F6 Liquidity Improving,P: F7 No Dilution,P: F8 Gross Margin Increasing,P: F9 Asset Turnover Increasing
SOLARINDS.NS,78.6,B GOOD,6,7,25.6%,93.5,0.28,1,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
ACUTAAS.NS,77.9,B GOOD,7,6,27.0%,99.0,0.01,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
VIJAYA.NS,76.6,B GOOD,7,7,18.1%,82.6,0.44,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
OFSS.NS,75.3,B GOOD,8,6,33.7%,38.6,0.00,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
NYKAA.NS,74.1,B GOOD,6,7,13.3%,452.2,0.82,1,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
RADICO.NS,73.3,B GOOD,6,8,15.6%,90.9,0.24,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
GLENMARK.NS,69.9,C FAIR,5,8,13.0%,47.3,0.06,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
APOLLOHOSP.NS,69.6,C FAIR,6,7,19.5%,65.3,0.85,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
RAINBOW.NS,68.5,C FAIR,8,4,16.7%,53.6,0.54,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
IKS.NS,68.1,C FAIR,6,5,25.8%,44.1,0.27,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
EMCURE.NS,66.1,C FAIR,7,5,18.6%,37.1,0.31,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
CEATLTD.NS,65.1,C FAIR,6,7,13.8%,22.4,0.65,1,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
ABSLAMC.NS,61.1,C FAIR,5,5,24.1%,34.1,0.02,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
UNITDSPR.NS,59.2,C FAIR,7,5,19.1%,57.7,0.05,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
ACE.NS,56.7,C FAIR,5,6,20.6%,28.0,0.00,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
SAREGAMA.NS,55.5,C FAIR,4,4,12.2%,44.5,0.04,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
HSCL.NS,54.3,D WEAK,5,3,15.8%,43.3,0.16,0,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENDURANCE.NS,53.9,D WEAK,6,4,13.9%,39.7,0.19,1,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
LALPATHLAB.NS,52.1,D WEAK,5,5,19.9%,56.1,0.08,0,0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
HAL.NS,49.2,D WEAK,6,5,22.2%,32.2,0.00,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
LODHA.NS,48.2,D WEAK,4,6,14.6%,34.8,0.42,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
NESTLEIND.NS,48.0,D WEAK,3,0,N/A,80.2,N/A,1,1,1.0,,,,,,,,,,,,,,
CIPLA.NS,43.7,D WEAK,4,3,11.2%,30.0,0.02,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
