Strategy,Symbol,Conviction,%Chg,Volume
Stage 2 Hunter,GVT&D,9.5,5.4,1247092
Strong Leaders,GVT&D,9.5,5.4,1247092
Stage 2 Hunter,VIJAYA,9.0,4.49,327949
Strong Leaders,VIJAYA,9.0,4.49,327949
Strong Leaders,REDINGTON,9.5,3.24,22331777
Strong Leaders,NAVINFLUOR,8.5,2.6,219971
Strong Leaders,KPIL,7.5,2.25,380962
Stage 2 Hunter,RADICO,8.5,2.15,746962
Strong Leaders,RADICO,8.5,2.15,746962
Stage 2 Hunter,NAM-INDIA,8.5,1.67,1616527
Strong Leaders,NAM-INDIA,8.5,1.67,1616527
Early Birds,RAINBOW,8.0,1.43,216444
Strong Leaders,RAINBOW,8.0,1.43,216444
Stage 2 Hunter,RRKABEL,8.5,1.08,732638
Stage 2 Pullback,NEULANDLAB,9.5,0.73,26662
Stage 2 Pullback,BSE,9.5,0.14,2001904
Stage 2 Pullback,ZYDUSLIFE,6.5,-0.34,887232
Stage 2 Hunter,NETWEB,9.5,-0.37,2415443
Strong Leaders,KPRMILL,5.0,-2.25,1246017
Stage 2 Hunter,HSCL,6.5,-2.79,13846530
