Symbol,Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,Market Capitalization,YOY Quarterly sales growth,YOY Quarterly profit growth,Return on equity,Return on capital employed
ATUL,Atul,500027,ATUL,INE100A01010,Chemicals & Petrochemicals,Specialty Chemicals,6170.5,810.94,1022.77,64.29,0.03,2.15,9.3,18167.03,25.03,91.99,,
AUROPHARMA,Aurobindo Pharma,524804,AUROPHARMA,INE406A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,1734.0,3710.8,5526.37,15.25,0.21,1.77,6.61,99770.53,16.3,28.11,,
BHARTIARTL,Bharti Airtel,532454,BHARTIARTL,INE397D01024,Telecom - Services,Telecom - Cellular & Fixed line services,1893.3,36412.6,122229.6,3.37,1.31,0.44,6.42,1181724.9,18.35,40.84,,
CARBORUNIV,Carborundum Uni.,513375,CARBORUNIV,INE120A01034,Industrial Products,Abrasives & Bearings,1124.4,187.75,367.36,22.34,0.11,2.67,4.67,21420.42,17.03,23.44,,
CCL,CCL Products,519600,CCL,INE421D01022,Agricultural Food & other Products,Tea & Coffee,1065.6,432.54,858.29,5.0,0.56,1.49,9.08,14228.74,13.72,61.33,,
CUPID,Cupid,530843,CUPID,INE509F01029,Personal Products,Personal Care,265.0,137.41,46.12,56.59,0.13,4.65,23.69,35633.51,142.49,194.01,,
DEEPAKNTR,Deepak Nitrite,506401,DEEPAKNTR,INE288B01029,Chemicals & Petrochemicals,Specialty Chemicals,1586.3,783.41,538.95,18.81,0.28,2.25,6.74,21636.03,36.39,207.5,,
ERIS,ERIS Lifescience,540596,ERIS,INE406M01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,1321.3,665.72,537.99,4.54,0.6,0.74,9.52,18311.01,12.97,20.68,,
GARFIBRES,Garware Tech.,509557,GARFIBRES,INE276A01018,Textiles & Apparels,Other Textile Products,819.0,210.14,162.07,22.8,0.03,2.09,11.5,7997.4,31.35,21.68,,
HCLTECH,HCL Technologies,532281,HCLTECH,INE860A01027,IT - Software,Computers - Software & Consulting,1249.3,17434.0,19975.0,33.23,0.07,2.0,15.71,339018.18,13.94,20.32,,
HINDALCO,Hindalco Inds.,500440,HINDALCO,INE038A01020,Non - Ferrous Metals,Aluminium,986.5,16400.0,10250.0,9.53,0.73,1.14,5.54,221688.9,32.06,116.7,,
HNDFDS,Hindustan Foods,519126,HNDFDS,INE254N01026,Diversified FMCG,Diversified FMCG,625.7,158.3,100.02,3.54,0.93,1.41,5.32,7581.15,17.9,32.75,,
IOLCP,IOL Chemicals,524164,IOLCP,INE485C01029,Pharmaceuticals & Biotechnology,Pharmaceuticals,203.15,168.24,214.42,17.97,0.08,1.77,5.9,5963.01,37.08,89.87,,
MANINFRA,Man Infra,533169,MANINFRA,INE949H01023,Realty,"Residential, Commercial Projects",125.64,215.42,-49.7,24.3,0.03,5.06,7.85,5071.67,19.36,28.92,,
PARADEEP,Paradeep Phosph.,543530,PARADEEP,INE088F01024,Fertilizers & Agrochemicals,Fertilizers,155.62,1072.14,-1011.87,3.61,1.02,1.15,6.36,16161.45,35.99,18.79,,
RKFORGE,Ramkrishna Forg.,532527,RKFORGE,INE399G01023,Auto Components,Auto Components & Equipments,724.1,106.89,839.76,1.65,0.74,1.15,1.16,13190.93,19.84,297.63,,
RATEGAIN,Rategain Travel,543417,RATEGAIN,INE0CLI01024,IT - Software,Computers - Software & Consulting,858.4,242.36,233.71,8.24,0.47,1.38,8.23,10174.86,187.63,102.24,,
STARHEALTH,Star Health Insu,543412,STARHEALTH,INE575P01011,Insurance,General Insurance,547.05,844.19,1873.46,,0.06,0.22,2.48,32200.66,13.15,25.46,,
STYLAMIND,Stylam Industrie,526951,STYLAMIND,INE239C01020,Consumer Durables,Plywood Boards/ Laminates,3295.5,169.37,177.08,64.7,0.04,3.47,16.56,5585.23,15.37,70.38,,
WELSPUNLIV,Welspun Living,514162,WELSPUNLIV,INE192B01031,Textiles & Apparels,Other Textile Products,214.66,286.2,1174.98,3.63,0.47,1.32,2.2,20280.06,23.66,83.59,,
ACE,Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,1229.2,436.87,417.25,32.23,0.0,0.87,13.87,14637.71,20.49,22.28,,
ACUTAAS,Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,3440.3,387.35,292.17,141.2,0.02,3.82,20.17,28166.12,59.08,67.67,,
ADANIPOWER,Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,206.6,14532.55,20513.65,6.19,0.84,1.34,10.15,398421.79,33.97,41.98,,
CPPLUS,Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,3355.1,477.29,13.47,27.64,0.14,1.53,10.26,39690.98,89.51,332.48,,
AVL,Aditya Vision,540205,AVL,INE679V01027,Retailing,Speciality Retail,636.95,138.98,74.95,5.53,0.83,1.9,8.83,8225.45,26.85,39.99,,
APARINDS,Apar Inds.,532259,APARINDS,INE372A01015,Electrical Equipment,Other Electrical Equipment,18858.0,1181.51,967.58,4.4,0.18,1.44,8.03,78962.85,29.13,77.8,,
APOLLOHOSP,Apollo Hospitals,508869,APOLLOHOSP,INE437A01024,Healthcare Services,Hospital,8944.5,2172.0,2855.7,7.27,0.9,0.91,9.01,128608.19,20.56,34.17,,
ASKAUTOLTD,ASK Automotive,544022,ASKAUTOLTD,INE491J01022,Auto Components,Auto Components & Equipments,656.25,316.38,301.19,8.73,0.52,1.04,13.2,12937.48,52.38,28.83,,
ATLANTAELE,Atlanta Electric,544527,ATLANTAELE,INE0Z4F01028,Electrical Equipment,Heavy Electrical Equipment,1666.1,217.47,184.33,6.4,0.05,1.69,17.08,12811.75,47.99,50.42,,
AVALON,Avalon Tech,543896,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,2537.7,133.6,57.19,13.45,0.3,1.91,9.58,16972.72,49.83,145.39,,
BAJAJ-AUTO,Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,11414.0,11552.81,2596.6,12.6,0.58,1.36,16.21,313661.1,65.14,45.93,,
CHENNPETRO,C P C L,500110,CHENNPETRO,INE178A01016,Petroleum Products,Refineries & Marketing,1416.6,4173.98,2944.96,42.47,0.18,1.42,16.54,21094.79,84.77,2671.95,,
CARERATING,CARE Ratings,534804,CARERATING,INE752H01013,Capital Markets,Ratings,1668.6,180.18,147.57,98.54,0.03,5.58,16.85,5025.56,18.92,25.14,,
