"Symbol","Name","Cost","LTP","Close","Investment Value","Current Value","Portfolio Qty","Today's P&L","Today's P&L %","Overall P&L","Overall P&L %"
"SILVERIETF","ICICI Pru Silver ETF","340.15","221.01","200.48","2,50,688.27","1,62,884.37","737","15,130.61","10.24%","-87,803.90","-35.03%"
"ITBEES","Nippon Nifty IT ETF (ITBEES)","41.92","32.76","32.14","1,75,057.92","1,36,805.76","4176","2,589.12","1.93%","-38,252.16","-21.85%"
"HINDCOPPER","Hindustan Copper","564.57","463.55","449.15","2,10,020.50","1,72,440.60","372","5,356.80","3.21%","-37,579.90","-17.89%"
"GOLDIETF","ICICI Pru Gold ETF","142.65","119.57","113.49","2,51,068.00","2,10,443.20","1760","10,700.80","5.36%","-40,624.80","-16.18%"
"HCLTECH","HCL Technologies","1,632.60","1,373.30","1,358.60","1,24,077.60","1,04,370.80","76","1,117.20","1.08%","-19,706.80","-15.88%"
"AIAENG","AIA Engineering","3,973.55","3,378.30","3,315.90","99,338.80","84,457.50","25","1,560.00","1.88%","-14,881.30","-14.98%"
"CUB","City Union Bank","276.86","235.55","234.30","1,92,142.01","1,63,471.70","694","867.50","0.53%","-28,670.31","-14.92%"
"BANKBEES","Nippon Nifty Bank ETF (BANKBEES)","607.53","543.04","531.67","3,49,331.13","3,12,248.00","575","6,537.75","2.14%","-37,083.13","-10.62%"
"BHARTIARTL","Bharti Airtel","2,012.09","1,802.10","1,795.90","1,48,894.40","1,33,355.40","74","458.80","0.35%","-15,539.00","-10.44%"
"LT","Larsen & Toubro","3,913.67","3,516.80","3,342.40","1,56,546.90","1,40,672.00","40","6,976.00","5.22%","-15,874.90","-10.14%"
"HDFCSML250","HDFC Nifty Small Cap 250 ETF","161.49","146.97","143.66","3,32,675.00","3,02,758.20","2060","6,818.60","2.30%","-29,916.80","-8.99%"
"AXISBANK","Axis Bank","1,308.33","1,192.70","1,170.60","1,87,091.10","1,70,556.10","143","3,160.30","1.89%","-16,535.00","-8.84%"
"ICICIBANK","ICICI Bank","1,352.34","1,251.20","1,222.70","1,63,633.10","1,51,395.20","121","3,448.50","2.33%","-12,237.90","-7.48%"
"HDFCNIFTY","HDFC Nifty 50 ETF","272.64","257.32","252.36","3,00,453.45","2,83,566.64","1102","5,465.92","1.97%","-16,886.81","-5.62%"
"FEDERALBNK","Federal Bank","275.75","262.50","254.35","3,19,867.46","3,04,500.00","1160","9,454.00","3.20%","-15,367.46","-4.80%"
"HDFCMID150","HDFC Nifty Midcap 150 ETF","20.82","20.17","19.75","5,03,407.09","4,87,750.94","24182","10,156.44","2.13%","-15,656.15","-3.11%"
"AUTOBEES","Nippon Auto ETF (AUTOBEES)","256.34","252.19","246.25","2,49,159.50","2,45,128.68","972","5,773.68","2.41%","-4,030.82","-1.62%"
"NATIONALUM","NALCO","352.50","354.65","349.75","1,24,783.69","1,25,546.10","354","1,734.60","1.40%","762.41","0.61%"
"COALINDIA","Coal India","431.50","442.10","455.25","67,314.00","68,967.60","156","-2,051.40","-2.89%","1,653.60","2.46%"
"RELIANCE","Reliance Industries","1,358.33","1,411.80","1,407.80","1,98,315.45","2,06,122.80","146","584.00","0.28%","7,807.35","3.94%"
"METALIETF","ICICI Pru Nifty Metal ETF","8.72","11.09","10.88","74,992.00","95,374.00","8600","1,806.00","1.93%","20,382.00","27.18%"
