Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,DMA 200,Down from 52w high
AIA Engineering,532683,AIAENG,INE212H01026,Industrial Products,Castings & Forgings,3973.30,1264.75,591.50,54.92,0.00,7.90,15.51,4133.71,23.30
Ajax Engineering,544356,AJAXENGG,INE274Y01021,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,559.75,227.87,377.29,751.44,0.00,1.62,14.07,565.25,19.75
Asian Paints,500820,ASIANPAINT,INE021A01026,Consumer Durables,Paints,2451.30,4837.09,7088.18,34.95,0.18,1.52,13.91,2581.70,17.90
Bayer Crop Sci.,506285,BAYERCROP,INE462A01022,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,3779.50,732.10,1078.50,48.52,0.03,1.89,12.59,4427.39,29.30
Berger Paints,509480,BERGEPAINT,INE463A01038,Consumer Durables,Paints,458.65,1217.99,1540.04,30.24,0.09,1.74,11.82,502.58,22.86
Bharat Electron,500049,BEL,INE263A01024,Aerospace & Defense,Aerospace & Defense,393.30,6147.74,1541.37,1267.64,0.00,1.98,14.14,408.92,16.93
Bikaji Foods,543653,BIKAJI,INE00E101023,Food Products,Packaged Foods,580.25,270.48,293.63,33.09,0.13,2.46,14.54,649.99,27.46
Blue Star,500067,BLUESTARCO,INE472A01039,Consumer Durables,Household Appliances,1531.80,509.02,153.81,10.32,0.24,1.22,6.64,1674.59,24.65
Campus Activewe.,543523,CAMPUS,INE278Y01022,Consumer Durables,Footwear,212.12,154.03,134.77,9.57,0.26,2.43,10.62,239.71,26.32
Cams Services,543232,CAMS,INE596I01020,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",708.05,453.72,577.73,109.63,0.04,2.64,27.63,756.04,16.20
Chambal Fert.,500085,CHAMBLFERT,INE085A01013,Fertilizers & Agrochemicals,Fertilizers,414.90,1927.98,137.77,122.59,0.10,2.14,14.79,455.37,23.86
Coal India,533278,COALINDIA,INE522F01014,Consumable Fuels,Coal,409.90,31186.22,43214.60,33.80,0.12,1.80,11.46,425.29,16.56
DOMS Industries,544045,DOMS,INE321T01012,Household Products,Stationary,2105.30,225.75,254.34,33.52,0.12,2.17,14.89,2306.92,23.58
Esab India,500133,ESABINDIA,INE284A01012,Industrial Products,Other Industrial Products,5627.50,221.89,180.69,163.38,0.01,1.98,28.60,5791.14,23.17
Fiem Industries,532768,FIEMIND,INE737H01014,Auto Components,Auto Components & Equipments,1937.30,262.95,161.28,101.00,0.05,2.61,16.30,2170.35,27.57
Godawari Power,532734,GPIL,INE177H01039,Industrial Products,Iron & Steel Products,233.47,807.69,1157.40,18.75,0.08,3.00,12.22,253.76,27.04
Gulf Oil Lubric.,538567,GULFOILLUB,INE635Q01029,Petroleum Products,Lubricants,1070.10,381.78,362.52,10.56,0.33,1.84,13.12,1074.38,17.01
Havells India,517354,HAVELLS,INE176B01034,Consumer Durables,Consumer Electronics,1132.40,1631.43,1571.99,62.50,0.03,1.71,11.84,1282.93,29.21
HCL Technologies,532281,HCLTECH,INE860A01027,IT - Software,Computers - Software & Consulting,1249.30,17434.00,19975.00,33.23,0.07,2.00,15.71,1341.33,29.82
Ingersoll-Rand,500210,INGERRAND,INE177A01018,Industrial Products,"Compressors, Pumps & Diesel Engines",4155.70,267.51,273.66,265.59,0.01,1.87,27.31,4190.40,16.13
International Gemological Instit,544311,IGIL,INE0Q9301021,Commercial Services & Supplies,Diversified Commercial Services,330.95,609.68,624.10,82.21,0.10,5.04,42.40,345.44,14.77
KEI Industries,517569,KEI,INE878B01027,Industrial Products,Cables - Electricals,4650.00,996.82,839.95,20.89,0.04,2.96,11.33,4846.94,21.60
KFin Technolog.,543720,KFINTECH,INE138Y01010,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",930.00,341.66,369.60,97.36,0.03,2.43,14.73,949.13,23.60
KSB,500249,KSB,INE999A01023,Industrial Products,"Compressors, Pumps & Diesel Engines",813.10,245.50,92.58,101.80,0.00,2.04,11.32,824.94,20.93
L&T Technology,540115,LTTS,INE010V01017,IT - Services,IT Enabled Services,3347.50,1322.10,1455.10,30.44,0.09,1.84,13.46,3635.23,29.48
Lupin,500257,LUPIN,INE326A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,2083.00,5550.99,7334.50,18.76,0.29,1.62,17.01,2232.38,17.67
Metro Brands,543426,METROBRAND,INE317I01021,Consumer Durables,Footwear,940.85,412.34,473.79,5.68,0.79,1.85,11.25,1029.36,28.51
Mphasis,526299,MPHASIS,INE356A01018,IT - Software,Computers - Software & Consulting,2300.40,1910.41,1253.28,13.42,0.24,1.16,11.67,2429.33,22.76
Natl. Aluminium,532234,NATIONALUM,INE139A01034,Non - Ferrous Metals,Aluminium,350.50,6750.67,6437.97,90.07,0.00,3.51,23.46,351.05,21.26
P & G Health Ltd,500126,PGHL,INE199A01012,Pharmaceuticals & Biotechnology,Pharmaceuticals,5503.50,356.88,337.79,805.16,0.02,2.18,40.15,5790.72,21.10
Page Industries,532827,PAGEIND,INE761H01022,Textiles & Apparels,Garments & Apparels,36400.00,755.84,794.40,22.16,0.18,1.72,28.73,37917.18,17.00
Pfizer,500680,PFIZER,INE182A01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,4002.40,735.15,967.57,136.50,0.02,6.06,15.43,4736.31,28.25
Polycab India,542652,POLYCAB,INE455K01017,Industrial Products,Cables - Electricals,8400.00,2905.40,3810.67,15.24,0.02,1.41,14.91,8433.68,17.07
Power Mech Proj.,539302,POWERMECH,INE211R01019,Construction,Civil Construction,2371.40,420.47,387.45,5.86,0.26,1.71,7.98,2479.06,21.44
Premier Energies,544238,PREMIERENE,INE0BS701011,Electrical Equipment,Other Electrical Equipment,902.00,1673.82,1261.06,14.25,0.86,1.71,16.53,983.06,20.46
Redtape,543957,REDTAPE,INE0LXT01019,Consumer Durables,Footwear,117.35,246.43,174.01,6.07,0.70,1.57,10.65,129.06,28.14
Rites,541556,RITES,INE320J01015,Construction,Civil Construction,207.23,461.33,327.48,193.13,0.00,1.67,7.54,221.59,23.98
Sanofi Consumer,544250,SANOFICONR,INE0UOS01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,4033.40,266.00,174.80,179.60,0.06,2.03,48.08,4513.06,23.25
Sumitomo Chemi.,542920,SUMICHEM,INE258G01013,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,460.85,579.87,443.40,114.07,0.02,2.55,13.26,482.40,23.83
Tenneco Clean,544612,TENNIND,INE19RI01016,Auto Components,Auto Components & Equipments,517.90,601.52,1429.48,24.95,0.04,1.42,23.25,545.93,21.17
Trent,500251,TRENT,INE849A01020,Retailing,Speciality Retail,2824.00,1814.70,2667.62,14.63,0.37,1.06,16.34,2921.81,17.56
Triveni Turbine,533655,TRITURBINE,INE152M01016,Electrical Equipment,Heavy Electrical Equipment,567.80,336.10,110.95,197.38,0.02,1.70,14.73,580.29,27.93
United Spirits,532432,UNITDSPR,INE854D01024,Beverages,Breweries & Distilleries,1371.00,1884.00,1459.00,17.96,0.05,1.81,13.23,1394.99,12.99
