Symbol,Price,%Chg,Volume
DIXON,14100.0,-0.56,126868
PERSISTENT,5560.0,0.36,317760
HEROMOTOCO,5333.5,1.2,366269
NETWEB,5087.5,-1.35,983418
GVT&D,4750.0,8.77,4245686
JSWDULUX,3170.0,-0.53,38732
KIRLOSENG,2272.8,4.51,613969
HYUNDAI,2220.0,0.45,451293
ECLERX,1945.1,2.98,222474
NUVAMA,1837.8,0.29,258827
ZENTEC,1825.0,1.69,667850
POLYMED,1730.1,1.7,141009
AFFLE,1609.4,-0.85,178394
COCHINSHIP,1528.2,1.45,862554
CONCORDBIO,1470.5,1.89,241006
CDSL,1400.0,-1.05,966602
GABRIEL,1389.6,1.91,221008
UNOMINDA,1237.0,-0.38,541204
KPRMILL,1135.0,-1.71,269105
CYIENT,1086.3,-1.73,310288
JUBLPHARMA,997.75,4.99,1483225
ASAHIINDIA,955.6,0.1,106449
CHALET,897.75,-1.21,241379
CLEAN,830.25,-1.68,438702
SPLPETRO,828.4,3.23,1176708
TATATECH,798.5,1.71,1105544
BRIGADE,687.0,1.17,361734
DLF,675.1,0.36,2366630
IIFL,628.0,-3.98,7869924
ANANTRAJ,625.85,-1.94,1245467
HINDZINC,595.5,1.08,6858980
JUBLFOOD,480.4,1.05,1224028
NUVOCO,339.85,-1.52,141492
PCBL,328.8,3.58,8088101
ETERNAL,321.6,0.25,9547614
PFOCUS,313.15,0.45,2701466
PETRONET,285.8,-1.77,1494798
SAPPHIRE,226.61,-0.69,459648
NIACL,205.22,-11.24,50173485
SAIL,186.1,-0.96,18927933
UNIONBANK,183.22,-1.52,5290782
PARADEEP,159.79,1.15,9556937
DEVYANI,137.99,-0.58,1047633
PNB,116.0,0.35,11618626
