Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,DMA 200,DMA 50
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,34095.00,577.70,513.72,21.25,0.10,2.18,17.62,33404.84,33778.76
Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,3440.30,387.35,292.17,141.20,0.02,3.82,20.17,2705.16,3257.79
Aditya Vision,540205,AVL,INE679V01027,Retailing,Speciality Retail,636.95,138.98,74.95,5.53,0.83,1.90,8.83,558.70,609.10
Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,1430.80,603.03,565.41,153.15,0.02,3.68,14.87,1125.57,1307.93
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5466.50,2204.23,1963.03,18.23,0.15,2.40,12.92,5440.19,5378.67
Allied Blenders,544203,ABDL,INE552Z01027,Beverages,Breweries & Distilleries,647.60,209.70,361.96,3.53,0.69,1.35,5.74,569.59,616.34
Anand Rathi Wea.,543415,ANANDRATHI,INE463V01026,Capital Markets,Financial Products Distributor,2229.40,462.42,253.71,40.79,0.08,4.12,34.03,1823.47,2127.05
Anthem Bioscienc,544449,ANTHEM,INE0CZ201020,Pharmaceuticals & Biotechnology,Biotechnology,928.50,575.95,844.49,131.79,0.02,3.49,19.48,781.57,873.59
Apar Inds.,532259,APARINDS,INE372A01015,Electrical Equipment,Other Electrical Equipment,18858.00,1181.51,967.58,4.40,0.18,1.44,8.03,13090.73,16364.34
APL Apollo Tubes,533758,APLAPOLLO,INE702C01027,Industrial Products,Iron & Steel Products,2270.10,1229.04,2103.19,13.21,0.09,1.34,14.70,1939.89,2068.56
ASK Automotive,544022,ASKAUTOLTD,INE491J01022,Auto Components,Auto Components & Equipments,656.25,316.38,301.19,8.73,0.52,1.04,13.20,507.29,587.69
ASM Technologies,526433,,INE867C01010,IT - Software,Computers - Software & Consulting,6854.70,72.01,68.03,11.26,0.42,2.02,15.16,3879.58,5150.94
Avalon Tech,543896,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,2537.70,133.60,57.19,13.45,0.30,1.91,9.58,1518.61,2047.24
Bliss GVS Pharma,506197,BLISSGVS,INE416D01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,681.85,141.74,138.72,29.71,0.02,4.01,9.85,388.16,574.12
Caplin Point Lab,524742,CAPLIPOINT,INE475E01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,2748.60,678.06,523.24,959.58,0.07,5.70,17.52,2233.39,2575.23
Castrol India,500870,CASTROLIND,INE172A01027,Petroleum Products,Lubricants,197.14,1062.35,1090.14,185.79,0.03,1.51,27.26,188.30,187.49
Concord Biotech,543960,CONCORDBIO,INE338H01029,Pharmaceuticals & Biotechnology,Pharmaceuticals,1494.40,281.89,263.78,1899.40,0.00,5.04,11.28,1356.14,1422.88
Dhoot Transmission,544867,DHOOTTRANS,INE01NH01023,Auto Components,Auto Components & Equipments,1590.70,396.84,347.66,6.75,0.38,1.94,12.81,1258.16,1402.67
Divi's Lab.,532488,DIVISLAB,INE361B01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,9375.00,2925.00,2738.00,151.35,0.00,5.43,14.20,7231.80,8508.57
Elantas Beck,500123,ELANTAS,INE280B01018,Chemicals & Petrochemicals,Specialty Chemicals,14228.00,177.57,127.11,395.50,0.00,5.85,13.53,10315.63,11739.10
Emcure Pharma,544210,EMCURE,INE168P01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,2003.80,1018.96,943.55,10.55,0.31,1.43,10.91,1697.28,1890.69
eMudhra,543533,EMUDHRA,INE01QM01018,IT - Services,IT Enabled Services,613.45,117.02,132.85,23.80,0.03,2.48,10.26,527.67,523.13
Engineers India,532178,ENGINERSIN,INE510A01028,Construction,Civil Construction,266.35,784.13,319.02,511.94,0.01,1.27,12.20,229.69,252.49
Finolex Cables,500144,FINCABLES,INE235A01022,Industrial Products,Cables - Electricals,1411.20,800.14,49.08,585.51,0.00,3.95,10.75,1039.24,1218.50
Foseco India,500150,FOSECOIND,INE519A01011,Chemicals & Petrochemicals,Specialty Chemicals,6677.50,101.56,97.62,595.67,0.00,2.90,9.73,5249.37,5796.10
Garware Tech.,509557,GARFIBRES,INE276A01018,Textiles & Apparels,Other Textile Products,819.00,210.14,162.07,22.80,0.03,2.09,11.50,729.76,777.06
Gland Pharma,543245,GLAND,INE068V01023,Pharmaceuticals & Biotechnology,Pharmaceuticals,2961.90,1128.80,1031.39,62.64,0.03,4.68,8.82,2260.41,2736.38
Glenmark Pharma.,532296,GLENMARK,INE935A01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,2447.40,1797.79,3445.03,22.89,0.06,1.77,12.71,2185.12,2351.68
