Symbol,Price,%Chg,Volume
NETWEB,4898.5,-3.72,1696353
GVT&D,4673.0,-1.62,1094528
KIRLOSENG,2219.9,-2.33,438855
HYUNDAI,2182.4,-1.69,587339
ECLERX,1922.6,-1.16,89506
POLYMED,1724.0,-0.35,75116
CONCORDBIO,1464.5,-0.41,140985
AEGISLOG,1343.4,5.94,2121597
NAUKRI,1267.0,-1.94,1281379
UNOMINDA,1229.0,-0.65,375564
KPRMILL,1140.3,0.47,239559
CYIENT,1075.1,-1.03,323893
ABSLAMC,1066.5,2.77,233592
HINDALCO,1026.9,1.77,3255790
JUBLPHARMA,1019.0,2.13,452808
CHALET,889.7,-0.9,87296
SPLPETRO,813.55,-1.79,196496
TATATECH,787.65,-1.36,610440
JSL,783.3,6.03,6366585
BALRAMCHIN,700.05,-1.6,1337773
BRIGADE,662.9,-3.51,347995
ANANTRAJ,613.6,-1.96,2109667
HINDZINC,605.4,1.66,6313228
IIFL,605.15,-3.64,4680660
TEJASNET,575.9,-2.4,2049808
SARDAEN,545.85,5.0,5268817
PCBL,334.95,1.87,6364541
ETERNAL,320.6,-0.31,22599551
PFOCUS,316.3,1.01,761243
SAPPHIRE,227.61,0.44,1393585
ADANIPOWER,214.9,3.12,33227588
NIACL,205.51,0.14,10799389
SAIL,186.4,0.16,13768193
MRPL,184.46,6.65,47490869
UNIONBANK,183.89,0.37,7080822
PARADEEP,157.92,-1.17,1680376
DEVYANI,137.17,-0.59,859550
PNB,115.61,-0.34,11691129
