Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,DMA 200,DMA 50
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,3824.40,477.29,13.47,27.64,0.14,1.53,10.26,2638.12,3491.85
Aeroflex,543972,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,574.15,67.15,65.84,83.07,0.02,2.91,11.20,352.47,470.18
Ajax Engineering,544356,AJAXENGG,INE274Y01021,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,596.20,227.87,377.29,751.44,0.00,4.19,14.07,564.18,570.74
Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,1377.00,603.03,565.41,153.15,0.02,3.68,14.87,1103.90,1278.32
Anand Rathi Wea.,543415,ANANDRATHI,INE463V01026,Capital Markets,Financial Products Distributor,2229.00,462.42,253.71,40.79,0.08,4.12,34.03,1791.57,2097.02
Anthem Bioscienc,544449,ANTHEM,INE0CZ201020,Pharmaceuticals & Biotechnology,Biotechnology,959.00,575.95,844.49,131.79,0.02,3.49,19.48,768.69,850.25
Apar Inds.,532259,APARINDS,INE372A01015,Electrical Equipment,Other Electrical Equipment,17699.00,1181.51,967.58,4.40,0.18,1.44,8.03,12720.73,15917.40
APL Apollo Tubes,533758,APLAPOLLO,INE702C01027,Industrial Products,Iron & Steel Products,2182.55,1229.04,2103.19,13.21,0.09,1.34,14.70,1920.73,2030.07
ASM Technologies,526433,,INE867C01010,IT - Software,Computers - Software & Consulting,6345.20,72.01,68.03,11.26,0.42,2.02,15.16,3644.55,4563.96
Atlanta Electric,544527,ATLANTAELE,INE0Z4F01028,Electrical Equipment,Heavy Electrical Equipment,1921.00,217.47,184.33,6.40,0.05,1.69,17.07,1437.56,1726.66
Avalon Tech,543896,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,2294.25,133.60,57.19,13.45,0.30,2.05,9.81,1455.32,1959.07
Bliss GVS Pharma,506197,BLISSGVS,INE416D01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,721.00,141.74,138.72,29.71,0.02,4.01,9.85,362.47,528.21
Bosch,500530,BOSCHLTD,INE323A01026,Auto Components,Auto Components & Equipments,48812.50,2363.20,2175.30,113.71,0.01,1.63,9.96,39432.19,44583.26
C P C L,500110,CHENNPETRO,INE178A01016,Petroleum Products,Refineries & Marketing,1457.20,4173.98,2944.96,42.47,0.18,1.42,16.54,1084.30,1299.89
