Symbol,Edge_Hint,Signal,Signal_Label,Signal_Date,Score,RFF_Score,RFF_Base,RFF_Bonus,RFF_Total,RFF_Quality,RFF_Checks,Fund_Source,Chartink_Confirmed,RFF_Detail,Weinstein_Stage,Mansfield_RS_x100,RS_Momentum_4W,RRG_Quadrant,RS_Slope_4W,RS_Positive,Stretch_SMA200_pct,Correction_52W_pct,Rel_Vol,RSI14,RSI3,Regime_OK,Mkt_Recovery,Mkt_Corrected,Mkt_Reclaim,Mkt_Corr_Depth_pct,CB_Climax_Date,Entry,SL,T1,T2,RR_T1,T1_pct,SL_pct,Details,Conviction,Combined_Score
HBLENGINE,REV-EARLY,4,REV-EARLY,2026-09-18,15,6,6,2,8,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Deleverage': True}",3,1.103,10.164,LEADING,11.44,True,-0.14,32.26,1.32,74.5,78.1,True,False,False,False,5.4,,760.0,683.81,950.47,1122.0,2.5,25.06,10.02,"EARLY trendline reclaim 0d ago, base compressed [RFF base 6/6, bonus 2/4, total 8/10, quality FULL]",10.0,84.1
JSL,REV-EARLY,4,REV-EARLY,2026-09-18,14,6,6,0,6,FULL,111111,Screener.in,True,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True}",3,3.33,10.294,LEADING,10.31,True,0.76,14.59,3.97,63.1,45.7,True,False,False,False,5.4,,750.95,686.03,879.22,913.24,1.98,17.08,8.64,"EARLY trendline reclaim 0d ago, base compressed [RFF base 6/6, bonus 0/4, total 6/10, quality FULL] [Also in Screener.in screens — intersection]",10.0,81.8
ECLERX,REV-RS,0,None,,12,6,6,4,10,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True, 'Deleverage': True}",3,16.805,6.151,LEADING,8.69,True,6.01,23.3,0.49,44.9,59.3,True,False,False,False,5.4,,1915.6,1746.41,2338.57,2497.5,2.5,22.08,8.83,No higher-low structure (recent 1848.20 <= prior 1858.00) | No higher-low structure (recent 1848.20 <= prior 1858.00) | No climax bar detected,10.0,77.3
LTM,REV-CB,0,None,,12,6,6,3,9,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",3,0.964,-1.638,WEAKENING,-1.86,True,-10.14,33.51,1.08,24.9,27.0,True,False,False,False,5.4,,4275.1,4086.3,4747.1,6429.5,2.5,11.04,4.42,No higher-low structure (recent 4155.00 <= prior 4290.00) | No higher-low structure (recent 4155.00 <= prior 4290.00) | No climax bar detected,10.0,77.3
HEXT,REV-CB,0,None,,12,6,6,3,9,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True, 'Deleverage': True}",3,2.582,-0.317,WEAKENING,1.49,True,-7.19,35.06,0.3,32.7,82.5,True,False,False,False,5.4,,524.55,487.51,617.15,807.75,2.5,17.65,7.06,No higher-low structure (recent 496.00 <= prior 501.00) | No higher-low structure (recent 496.00 <= prior 501.00) | No climax bar detected,10.0,77.3
SPLPETRO,REV-RS,3,REV-RS,2026-09-18,16,6,6,0,6,FULL,111111,Screener.in,True,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True}",2,18.312,24.001,LEADING,27.81,True,26.63,10.3,4.39,78.1,72.5,True,False,False,False,5.4,,865.7,774.57,965.13,1093.53,1.09,11.49,10.53,"RS breakout 0d ago, higher-low intact [RFF base 6/6, bonus 0/4, total 6/10, quality FULL] [Also in Screener.in screens — intersection]",8.0,76.4
TECHNOE,WYC-SOS,6,WYC-SOS,2026-09-18,12,5,5,1,6,FULL,101111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True}",1,-4.379,9.297,IMPROVING,8.28,False,-3.58,28.91,1.6,52.9,78.7,True,False,False,False,5.4,,1030.45,937.84,1261.97,1449.55,2.5,22.47,8.99,"WYC-SOS: SOS bar (spread 1.84×, vol 1.6× avg, closed in upper third of range) [base 16.6% range over 60 bars, prior decline 32.0%] [RFF base 5/6, bonus 1/4, total 6/10, quality FULL]",9.8,76.3
HYUNDAI,REV-RS,0,None,,11,6,6,0,6,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True}",2,12.017,2.104,LEADING,2.56,True,7.64,22.84,0.99,50.6,,True,False,False,False,5.4,,2208.8,2069.14,2557.94,2862.66,2.5,15.81,6.32,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=0) | No climax bar detected,10.0,75.0
CONCORDBIO,REV-RS,0,None,,11,6,6,0,6,FULL,111111,Screener.in,True,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True}",2,18.874,-6.263,WEAKENING,-2.02,True,18.65,11.78,1.08,51.8,43.9,True,False,False,False,5.4,,1494.4,1386.29,1693.86,1764.67,1.84,13.35,7.23,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=0) | No climax bar detected [Also in Screener.in screens — intersection],10.0,75.0
CLEAN,REV-RS,0,None,,11,6,6,1,7,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True}",2,9.163,5.18,LEADING,6.82,True,7.63,28.44,2.1,55.2,59.1,True,False,False,False,5.4,,851.9,793.47,997.98,1190.43,2.5,17.15,6.86,No higher-low structure (recent 806.25 <= prior 811.68) | No higher-low structure (recent 806.25 <= prior 811.68) | No climax bar detected,10.0,75.0
