Symbol,Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,DMA 200,Down from 52w high
3MINDIA,3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,32988.25,577.7,513.72,21.25,0.1,2.18,17.62,33461.39,13.87
ABBOTINDIA,Abbott India,500488,ABBOTINDIA,INE358A01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,25530.0,1614.68,1319.24,87.06,0.04,2.55,24.91,27406.17,19.08
ALKEM,Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5185.35,2204.23,1963.03,18.23,0.15,2.4,12.92,5458.98,12.61
ASIANPAINT,Asian Paints,500820,ASIANPAINT,INE021A01026,Consumer Durables,Paints,2480.15,4837.09,7088.18,34.95,0.18,1.52,13.91,2591.99,16.93
BAYERCROP,Bayer Crop Sci.,506285,BAYERCROP,INE462A01022,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,3980.0,732.1,1078.5,48.52,0.03,1.89,12.59,4468.86,27.49
BERGEPAINT,Berger Paints,509480,BERGEPAINT,INE463A01038,Consumer Durables,Paints,481.0,1217.99,1540.04,30.24,0.09,1.74,11.82,506.2,19.1
BIKAJI,Bikaji Foods,543653,BIKAJI,INE00E101023,Food Products,Packaged Foods,580.9,270.48,293.63,33.09,0.13,2.46,14.54,657.44,27.51
BLUESTARCO,Blue Star,500067,BLUESTARCO,INE472A01039,Consumer Durables,Household Appliances,1459.0,509.02,153.81,10.32,0.24,1.22,6.64,1688.45,28.23
CAMPUS,Campus Activewe.,543523,CAMPUS,INE278Y01022,Consumer Durables,Footwear,217.3,154.03,134.77,9.57,0.26,2.43,10.62,241.9,24.82
CAMS,Cams Services,543232,CAMS,INE596I01020,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",730.95,453.72,577.73,109.63,0.04,2.64,27.63,759.53,13.49
CHAMBLFERT,Chambal Fert.,500085,CHAMBLFERT,INE085A01013,Fertilizers & Agrochemicals,Fertilizers,418.9,1927.98,137.77,122.59,0.1,2.14,14.79,458.68,25.06
COLPAL,Colgate-Palmoliv,500830,COLPAL,INE259A01022,Personal Products,Personal Care,1819.0,1347.77,1806.3,485.87,0.03,1.28,41.82,2086.76,24.76
COROMANDEL,Coromandel Inter,506395,COROMANDEL,INE169A01031,Fertilizers & Agrochemicals,Fertilizers,1953.0,1778.11,1557.54,7.94,0.12,1.34,8.68,2053.19,21.85
DOMS,DOMS Industries,544045,DOMS,INE321T01012,Household Products,Stationary,2192.7,225.75,254.34,33.52,0.12,2.17,14.89,2321.08,20.41
FIEMIND,Fiem Industries,532768,FIEMIND,INE737H01014,Auto Components,Auto Components & Equipments,2051.9,262.95,161.28,101.0,0.05,2.61,16.3,2187.11,23.29
