Symbol,Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,DMA 200,DMA 50
3MINDIA,3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,34095.0,577.7,513.72,21.25,0.1,2.18,17.62,33404.84,33778.76
ACUTAAS,Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,3440.3,387.35,292.17,141.2,0.02,3.82,20.17,2705.16,3257.79
AVL,Aditya Vision,540205,AVL,INE679V01027,Retailing,Speciality Retail,636.95,138.98,74.95,5.53,0.83,1.9,8.83,558.7,609.1
ALIVUS,Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,1430.8,603.03,565.41,153.15,0.02,3.68,14.87,1125.57,1307.93
ALKEM,Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5466.5,2204.23,1963.03,18.23,0.15,2.4,12.92,5440.19,5378.67
ABDL,Allied Blenders,544203,ABDL,INE552Z01027,Beverages,Breweries & Distilleries,647.6,209.7,361.96,3.53,0.69,1.35,5.74,569.59,616.34
ANANDRATHI,Anand Rathi Wea.,543415,ANANDRATHI,INE463V01026,Capital Markets,Financial Products Distributor,2229.4,462.42,253.71,40.79,0.08,4.12,34.03,1823.47,2127.05
ANTHEM,Anthem Bioscienc,544449,ANTHEM,INE0CZ201020,Pharmaceuticals & Biotechnology,Biotechnology,928.5,575.95,844.49,131.79,0.02,3.49,19.48,781.57,873.59
APARINDS,Apar Inds.,532259,APARINDS,INE372A01015,Electrical Equipment,Other Electrical Equipment,18858.0,1181.51,967.58,4.4,0.18,1.44,8.03,13090.73,16364.34
APLAPOLLO,APL Apollo Tubes,533758,APLAPOLLO,INE702C01027,Industrial Products,Iron & Steel Products,2270.1,1229.04,2103.19,13.21,0.09,1.34,14.7,1939.89,2068.56
ASKAUTOLTD,ASK Automotive,544022,ASKAUTOLTD,INE491J01022,Auto Components,Auto Components & Equipments,656.25,316.38,301.19,8.73,0.52,1.04,13.2,507.29,587.69
526433,ASM Technologies,526433,,INE867C01010,IT - Software,Computers - Software & Consulting,6854.7,72.01,68.03,11.26,0.42,2.02,15.16,3879.58,5150.94
AVALON,Avalon Tech,543896,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,2537.7,133.6,57.19,13.45,0.3,1.91,9.58,1518.61,2047.24
BLISSGVS,Bliss GVS Pharma,506197,BLISSGVS,INE416D01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,681.85,141.74,138.72,29.71,0.02,4.01,9.85,388.16,574.12
CAPLIPOINT,Caplin Point Lab,524742,CAPLIPOINT,INE475E01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,2748.6,678.06,523.24,959.58,0.07,5.7,17.52,2233.39,2575.23
CASTROLIND,Castrol India,500870,CASTROLIND,INE172A01027,Petroleum Products,Lubricants,197.14,1062.35,1090.14,185.79,0.03,1.51,27.26,188.3,187.49
CONCORDBIO,Concord Biotech,543960,CONCORDBIO,INE338H01029,Pharmaceuticals & Biotechnology,Pharmaceuticals,1494.4,281.89,263.78,1899.4,0.0,5.04,11.28,1356.14,1422.88
DHOOTTRANS,Dhoot Transmission,544867,DHOOTTRANS,INE01NH01023,Auto Components,Auto Components & Equipments,1590.7,396.84,347.66,6.75,0.38,1.94,12.81,1258.16,1402.67
DIVISLAB,Divi's Lab.,532488,DIVISLAB,INE361B01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,9375.0,2925.0,2738.0,151.35,0.0,5.43,14.2,7231.8,8508.57
ELANTAS,Elantas Beck,500123,ELANTAS,INE280B01018,Chemicals & Petrochemicals,Specialty Chemicals,14228.0,177.57,127.11,395.5,0.0,5.85,13.53,10315.63,11739.1
EMCURE,Emcure Pharma,544210,EMCURE,INE168P01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,2003.8,1018.96,943.55,10.55,0.31,1.43,10.91,1697.28,1890.69
EMUDHRA,eMudhra,543533,EMUDHRA,INE01QM01018,IT - Services,IT Enabled Services,613.45,117.02,132.85,23.8,0.03,2.48,10.26,527.67,523.13
ENGINERSIN,Engineers India,532178,ENGINERSIN,INE510A01028,Construction,Civil Construction,266.35,784.13,319.02,511.94,0.01,1.27,12.2,229.69,252.49
FINCABLES,Finolex Cables,500144,FINCABLES,INE235A01022,Industrial Products,Cables - Electricals,1411.2,800.14,49.08,585.51,0.0,3.95,10.75,1039.24,1218.5
FOSECOIND,Foseco India,500150,FOSECOIND,INE519A01011,Chemicals & Petrochemicals,Specialty Chemicals,6677.5,101.56,97.62,595.67,0.0,2.9,9.73,5249.37,5796.1
GARFIBRES,Garware Tech.,509557,GARFIBRES,INE276A01018,Textiles & Apparels,Other Textile Products,819.0,210.14,162.07,22.8,0.03,2.09,11.5,729.76,777.06
GLAND,Gland Pharma,543245,GLAND,INE068V01023,Pharmaceuticals & Biotechnology,Pharmaceuticals,2961.9,1128.8,1031.39,62.64,0.03,4.68,8.82,2260.41,2736.38
GLENMARK,Glenmark Pharma.,532296,GLENMARK,INE935A01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,2447.4,1797.79,3445.03,22.89,0.06,1.77,12.71,2185.12,2351.68
