Symbol,Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,DMA 200,DMA 50
ABSLAMC,Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,1066.5,1007.44,811.93,270.6,0.02,1.34,22.91,976.97,1044.22
CPPLUS,Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,3746.1,477.29,13.47,27.64,0.14,1.53,10.26,2660.87,3514.52
AVL,Aditya Vision,540205,AVL,INE679V01027,Retailing,Speciality Retail,623.1,138.98,74.95,5.53,0.83,1.9,8.83,554.88,605.85
AEROFLEX,Aeroflex,543972,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,561.15,67.15,65.84,83.07,0.02,2.91,11.2,356.72,477.64
ALIVUS,Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,1400.1,603.03,565.41,153.15,0.02,3.68,14.87,1109.48,1286.63
ANTHEM,Anthem Bioscienc,544449,ANTHEM,INE0CZ201020,Pharmaceuticals & Biotechnology,Biotechnology,942.95,575.95,844.49,131.79,0.02,3.49,19.48,772.29,857.94
APARINDS,Apar Inds.,532259,APARINDS,INE372A01015,Electrical Equipment,Other Electrical Equipment,17448.0,1181.51,967.58,4.4,0.18,1.44,8.03,12816.2,16042.13
APLAPOLLO,APL Apollo Tubes,533758,APLAPOLLO,INE702C01027,Industrial Products,Iron & Steel Products,2168.0,1229.04,2103.19,13.21,0.09,1.34,14.7,1925.79,2041.32
ASKAUTOLTD,ASK Automotive,544022,ASKAUTOLTD,INE491J01022,Auto Components,Auto Components & Equipments,627.25,316.38,301.19,8.73,0.52,1.04,13.2,500.06,577.65
526433,ASM Technologies,526433,,INE867C01010,IT - Software,Computers - Software & Consulting,6521.65,72.01,68.03,11.26,0.42,2.02,15.16,3699.79,4707.84
AVALON,Avalon Tech,543896,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,2293.6,133.6,57.19,13.45,0.3,2.05,9.81,1471.9,1984.67
BLISSGVS,Bliss GVS Pharma,506197,BLISSGVS,INE416D01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,692.85,141.74,138.72,29.71,0.02,4.01,9.85,369.31,541.98
BOSCHLTD,Bosch,500530,BOSCHLTD,INE323A01026,Auto Components,Auto Components & Equipments,49100.0,2363.2,2175.3,113.71,0.01,1.63,9.96,39620.61,44918.7
CHENNPETRO,C P C L,500110,CHENNPETRO,INE178A01016,Petroleum Products,Refineries & Marketing,1604.4,4173.98,2944.96,42.47,0.18,1.42,16.54,1093.15,1317.79
CAPLIPOINT,Caplin Point Lab,524742,CAPLIPOINT,INE475E01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,2723.1,678.06,523.24,959.58,0.07,5.7,17.52,2206.12,2548.79
CASTROLIND,Castrol India,500870,CASTROLIND,INE172A01027,Petroleum Products,Lubricants,189.16,1062.35,1090.14,185.79,0.03,1.51,27.26,188.17,186.68
CGPOWER,CG Power & Ind,500093,CGPOWER,INE067A01029,Electrical Equipment,Heavy Electrical Equipment,926.95,1240.09,702.45,128.57,0.01,1.81,11.99,813.82,887.72
COALINDIA,Coal India,533278,COALINDIA,INE522F01014,Consumable Fuels,Coal,431.0,31186.22,43214.6,33.8,0.12,1.8,11.46,425.55,419.37
CRISIL,CRISIL,500092,CRISIL,INE007A01025,Finance,Other Financial Services,4690.6,884.32,755.58,49.02,0.1,1.87,16.07,4416.2,4480.45
CUPID,Cupid,530843,CUPID,INE509F01029,Personal Products,Personal Care,279.7,137.41,46.12,56.59,0.13,4.65,23.69,157.25,247.65
DATAPATTNS,Data Pattern,543428,DATAPATTNS,INE0IX101010,Aerospace & Defense,Aerospace & Defense,4883.2,267.93,80.15,29.87,0.0,8.11,13.12,3822.05,4512.7
DEEPINDS,Deep Industries,543288,DEEPINDS,INE0FHS01024,Oil,Oil Equipment & Services,792.7,224.49,270.09,22.45,0.1,2.24,16.17,515.83,630.27
DHOOTTRANS,Dhoot Transmission,544867,DHOOTTRANS,INE01NH01023,Auto Components,Auto Components & Equipments,1596.5,396.84,347.66,6.75,0.38,1.94,12.81,1236.86,1348.63
DIVISLAB,Divi's Lab.,532488,DIVISLAB,INE361B01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,9488.0,2925.0,2738.0,151.35,0.0,5.43,14.2,7103.75,8293.48
LALPATHLAB,Dr Lal Pathlabs,539524,LALPATHLAB,INE600L01024,Healthcare Services,Healthcare Service Provider,1919.7,546.3,635.61,31.61,0.08,2.54,18.01,1637.64,1837.44
ELANTAS,Elantas Beck,500123,ELANTAS,INE280B01018,Chemicals & Petrochemicals,Specialty Chemicals,13618.0,177.57,127.11,395.5,0.0,5.85,13.53,10100.71,11181.14
ENGINERSIN,Engineers India,532178,ENGINERSIN,INE510A01028,Construction,Civil Construction,273.1,784.13,319.02,511.94,0.01,1.27,12.2,227.46,248.95
FINCABLES,Finolex Cables,500144,FINCABLES,INE235A01022,Industrial Products,Cables - Electricals,1353.4,800.14,49.08,585.51,0.0,3.95,10.75,1017.42,1171.52
GARFIBRES,Garware Tech.,509557,GARFIBRES,INE276A01018,Textiles & Apparels,Other Textile Products,814.6,210.14,162.07,22.8,0.03,2.09,11.5,725.56,771.33
GLAND,Gland Pharma,543245,GLAND,INE068V01023,Pharmaceuticals & Biotechnology,Pharmaceuticals,3026.2,1128.8,1031.39,62.64,0.03,4.68,8.82,2220.21,2689.24
GLENMARK,Glenmark Pharma.,532296,GLENMARK,INE935A01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,2435.0,1797.79,3445.03,22.89,0.06,1.77,12.71,2170.99,2334.81
MEDANTA,Global Health,543654,MEDANTA,INE474Q01031,Healthcare Services,Hospital,1480.4,552.33,714.39,9.05,0.3,2.67,10.4,1274.79,1396.35
GRANULES,Granules India,532482,GRANULES,INE101D01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,884.8,662.35,793.25,8.74,0.3,1.8,8.7,724.0,838.67
GUJTHEM,Guj. Themis Bio.,506879,GUJTHEM,INE942C01045,Pharmaceuticals & Biotechnology,Pharmaceuticals,430.75,48.68,48.78,14.86,0.56,1.12,11.6,367.27,388.52
HAPPYFORGE,Happy Forgings,544057,HAPPYFORGE,INE330T01021,Industrial Products,Castings & Forgings,2256.7,327.4,444.67,39.86,0.15,1.83,12.34,1502.85,1967.3
HAL,Hind.Aeronautics,541154,HAL,INE066F01020,Aerospace & Defense,Aerospace & Defense,5000.5,9321.41,10906.38,2129.76,0.0,2.66,7.5,4499.25,4750.74
INDGN,Indegene,544172,INDGN,INE065X01017,Healthcare Services,"Healthcare Research, Analytics & Technology",586.35,400.9,650.8,25.81,0.05,1.4,10.43,528.71,555.44
INDOMIM,Indo-MIM,544837,INDOMIM,INE084101034,Industrial Manufacturing,Industrial Products,984.55,533.54,1077.24,5.86,0.49,2.09,13.01,776.87,845.19
INOXINDIA,Inox India,544046,INOXINDIA,INE616N01034,Industrial Products,Other Industrial Products,2185.5,254.85,116.65,34.69,0.07,1.44,14.19,1606.21,1978.17
IPCALAB,Ipca Labs.,524494,IPCALAB,INE571A01038,Pharmaceuticals & Biotechnology,Pharmaceuticals,1963.6,1375.16,1141.97,28.42,0.1,2.49,10.15,1634.6,1834.58
JSL,Jindal Stain.,532508,JSL,INE220G01021,Ferrous Metals,Iron & Steel,783.3,3238.57,3394.99,8.66,0.38,1.25,8.45,732.74,726.24
JYOTICNC,Jyoti CNC Auto.,544081,JYOTICNC,INE980O01024,Industrial Manufacturing,Industrial Products,1009.05,321.72,54.39,6.42,0.43,2.26,10.49,846.13,891.26
KALYANKJIL,Kalyan Jewellers,543278,KALYANKJIL,INE303R01014,Consumer Durables,"Gems, Jewellery And Watches",607.6,1434.98,1317.52,5.47,0.97,1.3,7.7,485.51,559.66
KENNAMET,Kennametal India,505890,KENNAMET,INE717A01029,Industrial Manufacturing,Industrial Products,4746.7,196.0,18.3,888.67,0.0,2.35,17.57,2899.72,3691.58
KINGFA,Kingfa Science,524019,KINGFA,INE473D01015,Industrial Products,Plastic Products - Industrial,6157.5,225.67,66.21,94.34,0.01,4.06,12.73,4898.42,5611.93
KMEW,Knowledge Marine,543273,KMEW,INE0CJD01029,Engineering Services,Dredging,2964.0,131.07,74.34,9.03,0.39,1.22,13.03,2037.97,2635.55
KOVAI,Kovai Medical,523323,KOVAI,INE177F01017,Healthcare Services,Hospital,6149.5,256.32,361.83,12.04,0.31,1.29,12.73,5773.69,5955.01
KRBL,KRBL,530813,KRBL,INE001B01026,Agricultural Food & other Products,Other Agricultural Products,434.45,758.2,932.53,134.39,0.03,6.73,10.11,369.5,394.3
LTFOODS,L T Foods,532783,LTFOODS,INE818H01020,Agricultural Food & other Products,Other Agricultural Products,453.55,640.32,910.5,7.2,0.36,1.76,7.59,405.37,420.67
LAURUSLABS,Laurus Labs,540222,LAURUSLABS,INE947Q01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,1937.0,1090.53,1623.5,9.91,0.48,1.33,9.03,1355.77,1745.19
MANORAMA,Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,2093.3,264.23,259.37,10.31,0.51,2.0,21.3,1526.91,1768.23
MARKSANS,Marksans Pharma,524404,MARKSANS,INE750C01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,330.15,521.27,458.13,28.54,0.11,5.17,11.8,239.66,295.55
MOLBIO,Molbio Diagnosti,544866,MOLBIO,INE869T01028,Healthcare Equipment & Supplies,Medical Equipment & Supplies,1257.9,164.14,50.39,7.93,0.38,2.48,9.21,1055.86,1087.73
MTARTECH,MTAR Technologie,543270,MTARTECH,INE864I01014,Electrical Equipment,Other Electrical Equipment,7501.0,134.6,191.66,5.66,0.46,1.56,6.83,5350.94,6863.82
NAVINFLUOR,Navin Fluo.Intl.,532504,NAVINFLUOR,INE048G01026,Chemicals & Petrochemicals,Specialty Chemicals,8775.5,789.7,893.57,9.72,0.32,1.46,11.56,6932.55,8082.12
NEPHROPLUS,Nephrocare Health Services,544647,NEPHROPLUS,INE428V01029,Healthcare Services,Healthcare Service Provider,733.45,85.11,232.58,2.95,0.07,2.23,6.09,606.93,684.8
NEULANDLAB,Neuland Labs.,524558,NEULANDLAB,INE794A01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,23195.0,497.76,346.68,26.41,0.16,2.09,14.13,17511.77,21294.07
NOVARTIND,Novartis India,500672,NOVARTIND,INE234A01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,2186.4,97.77,46.73,112.16,0.0,5.3,9.68,1261.09,1564.05
PARAS,Paras Defence,543367,PARAS,INE045601023,Aerospace & Defense,Aerospace & Defense,1470.0,95.93,24.61,24.85,0.04,3.23,9.45,1006.0,1327.2
PRECWIRE,Prec. Wires (I),523539,PRECWIRE,INE372C01037,Industrial Products,"Aluminium, Copper & Zinc Products",474.35,174.63,272.96,4.33,0.38,1.21,8.78,353.43,430.86
PRIVISCL,Privi Speci.,530117,PRIVISCL,INE959A01019,Chemicals & Petrochemicals,Specialty Chemicals,3537.9,342.01,550.09,7.29,0.72,1.41,10.62,3190.55,3486.44
QPOWER,Quality Power El,544367,QPOWER,INE0SII01026,Electrical Equipment,Heavy Electrical Equipment,1513.2,195.2,80.28,34.27,0.07,2.48,19.31,1067.15,1289.83
QUESS,Quess Corp,539978,QUESS,INE615P01015,Commercial Services & Supplies,Diversified Commercial Services,355.0,253.34,230.06,6.02,0.11,1.35,8.23,266.5,322.49
RPEL,Raghav Product.,539837,RPEL,INE912T01018,Industrial Products,Electrodes & Refractories,1670.8,62.69,37.0,118.0,0.02,4.28,20.64,1077.74,1463.75
RATNAMANI,Ratnamani Metals,520111,RATNAMANI,INE703B01027,Industrial Products,Iron & Steel Products,2859.2,514.34,936.01,26.59,0.08,3.18,10.54,2502.94,2539.54
RUBICON,Rubicon Research,544578,RUBICON,INE506V01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,1810.5,288.22,205.05,10.09,0.24,2.01,13.06,1168.26,1612.61
SAILIFE,Sai Life,544306,SAILIFE,INE570L01029,Pharmaceuticals & Biotechnology,Pharmaceuticals,1675.4,361.75,509.13,15.24,0.12,1.64,10.52,1151.66,1406.85
SARDAEN,Sarda Energy,504614,SARDAEN,INE385C01021,Ferrous Metals,Iron & Steel,545.85,1150.93,1734.85,7.24,0.36,2.96,9.61,516.99,512.25
SENORES,Senores Pharma.,544319,SENORES,INE0RB801010,Pharmaceuticals & Biotechnology,Pharmaceuticals,1488.6,130.82,62.05,7.34,0.37,1.92,8.59,1099.04,1402.6
SHAILY,Shaily Engineer.,501423,SHAILY,INE151G01028,Consumer Durables,Plastic Products - Consumer,3455.0,177.82,216.35,16.4,0.27,1.11,16.62,2647.35,3149.19
SHANTIGEAR,Shanthi Gears,522034,SHANTIGEAR,INE631A01022,Industrial Manufacturing,Industrial Products,707.75,63.82,70.1,828.55,0.0,3.11,15.11,467.99,489.92
SBCL,Shivalik Bimetal,513097,SBCL,INE386D01027,Industrial Products,Iron & Steel Products,1136.5,106.09,54.89,29.38,0.15,3.47,16.92,693.65,929.14
SHREEJISPG,Shreeji Ship. Gl,544490,SHREEJISPG,INE1B6101010,Transport Services,Shipping,713.1,159.78,190.99,12.87,0.36,2.03,15.43,472.53,616.2
SKFINDUS,SKF India Indus.,544572,SKFINDUS,INE2J8701016,Industrial Products,Abrasives & Bearings,2971.7,207.73,163.83,617.98,0.0,1.75,16.19,2596.35,2782.99
SKIPPER,Skipper,538562,SKIPPER,INE439E01022,Electrical Equipment,Heavy Electrical Equipment,593.95,219.14,277.38,2.43,0.63,1.3,5.48,493.58,545.18
SMLMAH,SML Mahindra,505192,SMLMAH,INE294B01019,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,6570.0,156.41,156.19,12.4,0.56,1.25,11.84,4195.01,5079.23
SOLARINDS,Solar Industries,532725,SOLARINDS,INE343H01029,Chemicals & Petrochemicals,Explosives,22355.0,2050.39,620.87,19.92,0.24,2.06,19.14,16702.56,19534.47
SSWL,Steel Str. Wheel,513262,SSWL,INE802C01033,Auto Components,Auto Components & Equipments,371.45,223.67,331.16,3.38,0.48,1.09,5.58,248.13,302.31
STAR,Strides Pharma,532531,STAR,INE939A01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,1195.7,634.42,702.52,5.09,0.57,1.25,9.18,987.82,1044.93
SUDEEPPHRM,Sudeep Pharma,544619,SUDEEPPHRM,INE0QPI01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,1277.3,183.61,69.55,30.98,0.17,3.09,18.43,830.82,1047.93
