Symbol,Overall_Rating,Overall_Grade,Minervini_Score,Piotroski_Score,ROE,P/E,D/E,M: Rev YoY > 20%,M: NI YoY > 25%,M: Accel EPS,M: ROE > 15%,M: Gross Margin > 15%,M: D/E < 1.5,M: Current Ratio > 1.0,M: FCF Positive,P: F1 ROA Positive,P: F2 OCF Positive,P: F3 ROA Improving,P: F4 Accrual Ratio < 0,P: F5 Leverage Decreasing,P: F6 Liquidity Improving,P: F7 No Dilution,P: F8 Gross Margin Increasing,P: F9 Asset Turnover Increasing
BSE.NS,12,A STRONG,8,8,36.6%,66.7,0.00,1.0,1.0,1.0,1,1.0,1,1,1,1,1,1,1,1,0,1,1.0,1
OBEROIRLTY.NS,12,A STRONG,6,6,14.0%,24.5,0.16,1.0,1.0,0.0,0,1.0,1,1,1,1,1,1,0,1,0,1,0.0,1
GVT&D.NS,11,B GOOD,8,8,45.8%,113.9,0.01,1.0,1.0,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1.0,0
RAINBOW.NS,11,B GOOD,8,4,16.7%,53.5,0.54,1.0,1.0,1.0,1,1.0,1,1,1,1,1,0,1,0,0,1,0.0,0
HAL.NS,10,B GOOD,6,5,22.2%,32.3,0.00,0.0,0.0,1.0,1,1.0,1,1,1,1,1,0,1,0,1,1,0.0,0
NAM-INDIA.NS,10,B GOOD,6,6,32.8%,50.3,0.02,0.0,1.0,0.0,1,1.0,1,1,1,1,1,1,0,1,0,0,1.0,1
NAVINFLUOR.NS,10,B GOOD,7,8,16.7%,57.9,0.32,1.0,1.0,0.0,1,1.0,1,1,1,1,1,1,1,1,1,0,1.0,1
TRITURBINE.NS,10,B GOOD,7,3,24.2%,60.8,0.02,1.0,0.0,1.0,1,1.0,1,1,1,1,1,0,0,1,0,0,0.0,0
VIJAYA.NS,10,B GOOD,7,7,18.1%,82.8,0.44,1.0,1.0,0.0,1,1.0,1,1,1,1,1,1,1,0,1,0,1.0,1
PETRONET.NS,9,B GOOD,6,7,17.6%,11.1,0.11,0.0,1.0,1.0,1,0.0,1,1,1,1,1,0,1,1,1,1,1.0,0
KAJARIACER.NS,9,B GOOD,7,7,15.6%,38.1,0.07,0.0,1.0,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,0.0,0
NEULANDLAB.NS,9,B GOOD,6,6,0.7%,60.7,0.16,1.0,1.0,1.0,0,1.0,1,1,0,1,1,0,1,0,0,1,1.0,1
RRKABEL.NS,8,C FAIR,8,5,19.1%,53.3,0.13,1.0,1.0,1.0,1,1.0,1,1,1,1,1,1,0,1,0,0,1.0,0
ENDURANCE.NS,8,C FAIR,6,4,13.9%,38.7,0.19,1.0,0.0,1.0,0,1.0,1,1,1,1,1,0,1,0,0,1,0.0,0
CHAMBLFERT.NS,8,C FAIR,5,3,18.8%,9.9,0.10,0.0,1.0,0.0,1,1.0,1,1,0,1,1,0,0,0,0,1,0.0,0
JSWDULUX.NS,8,C FAIR,5,6,80.5%,7.6,0.03,,,1.0,1,1.0,1,1,0,1,1,1,0,1,1,1,0.0,0
KPIL.NS,8,C FAIR,6,8,13.5%,23.0,0.46,0.0,1.0,1.0,0,1.0,1,1,1,1,1,1,1,1,0,1,1.0,1
NETWEB.NS,7,C FAIR,7,2,28.5%,139.1,0.39,1.0,1.0,,1,1.0,1,1,1,1,1,0,0,0,0,0,0.0,0
OLECTRA.NS,7,C FAIR,6,5,0.3%,70.8,0.31,1.0,1.0,1.0,0,1.0,1,1,0,1,1,0,1,0,0,1,0.0,1
INDGN.NS,7,C FAIR,4,3,12.8%,32.2,0.05,1.0,0.0,0.0,0,,1,1,1,1,1,0,1,0,0,0,,0
HSCL.NS,7,C FAIR,5,3,15.8%,44.7,0.16,0.0,1.0,0.0,1,1.0,1,1,0,1,1,0,0,0,0,0,1.0,0
RADICO.NS,7,C FAIR,6,8,15.6%,83.2,0.24,0.0,1.0,0.0,1,1.0,1,1,1,1,1,1,1,1,1,0,1.0,1
SAREGAMA.NS,7,C FAIR,4,4,12.2%,43.7,0.04,0.0,0.0,1.0,0,1.0,1,1,0,1,1,0,0,0,0,1,1.0,0
GABRIEL.NS,5,D WEAK,6,6,18.1%,68.8,0.11,0.0,0.0,1.0,1,1.0,1,1,1,1,1,0,1,0,1,1,1.0,0
GRAVITA.NS,4,D WEAK,4,3,15.4%,33.3,0.30,0.0,0.0,0.0,1,1.0,1,1,0,1,1,0,0,0,0,0,1.0,0
