Symbol,Edge_Hint,Signal,Signal_Label,Signal_Date,Score,RFF_Score,RFF_Base,RFF_Bonus,RFF_Total,RFF_Quality,RFF_Checks,Fund_Source,Chartink_Confirmed,RFF_Detail,Weinstein_Stage,Mansfield_RS_x100,RS_Momentum_4W,RRG_Quadrant,RS_Slope_4W,RS_Positive,Stretch_SMA200_pct,Correction_52W_pct,Rel_Vol,RSI14,RSI3,Regime_OK,Mkt_Recovery,Mkt_Corrected,Mkt_Reclaim,Mkt_Corr_Depth_pct,CB_Climax_Date,Entry,SL,T1,T2,RR_T1,T1_pct,SL_pct,Details,Conviction,Combined_Score
SPLPETRO,REV-RS,3,REV-RS,2026-09-08,16,6,6,0,6,FULL,111111,Screener.in,True,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True}",2,12.118,14.86,LEADING,16.43,True,21.41,15.38,3.76,81.2,,True,False,False,False,4.3,,828.4,750.84,979.0,1022.29,1.94,18.18,9.36,"RS breakout 0d ago, higher-low intact [RFF base 6/6, bonus 0/4, total 6/10, quality FULL] [Also in Screener.in screens — intersection]",10.0,86.4
CLEAN,REV-EARLY,6,WYC-SOS,2026-09-08,15,6,6,1,7,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True}",2,5.376,1.626,LEADING,3.2,True,3.74,31.83,0.43,53.6,21.0,True,False,False,False,4.3,,830.25,788.03,935.8,1217.9,2.5,12.71,5.09,"WYC-SOS: SOS bar (spread 2.32×, vol 2.93× avg, closed in upper third of range) [base 22.3% range over 60 bars, prior decline 20.5%] [RFF base 6/6, bonus 1/4, total 7/10, quality FULL]",10.0,84.1
SUPREMEIND,WYC-SOS,6,WYC-SOS,2026-09-08,13,6,6,0,6,FULL,111111,Screener.in,True,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True}",1,-1.621,3.828,IMPROVING,1.95,False,-0.38,23.29,0.73,45.7,61.2,True,False,False,False,4.3,,3553.0,3338.57,4089.06,4632.0,2.5,15.09,6.04,"WYC-SOS: SOS bar (spread 1.57×, vol 1.76× avg, closed in upper third of range) [base 18.2% range over 60 bars, prior decline 22.1%] [RFF base 6/6, bonus 0/4, total 6/10, quality FULL] [Also in Screener.in screens — intersection]",10.0,79.5
ECLERX,REV-RS,0,None,,12,6,6,4,10,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True, 'Deleverage': True}",3,18.119,2.749,LEADING,4.7,True,6.98,22.12,0.41,63.6,40.4,True,False,False,False,4.3,,1945.1,1729.14,2485.01,2497.5,2.5,27.76,11.1,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=-1) | No climax bar detected,10.0,77.3
CONCORDBIO,REV-RS,0,None,,12,6,6,3,9,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",2,16.88,0.497,LEADING,3.78,True,16.36,13.53,0.92,33.6,,True,False,False,False,4.3,,1473.5,1387.31,1688.98,1704.0,2.5,14.62,5.85,No higher-low structure (recent 1411.60 <= prior 1440.90) | No higher-low structure (recent 1411.60 <= prior 1440.90) | No climax bar detected,10.0,77.3
AEGISLOG,REV-RS,0,None,,12,6,6,3,9,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",2,27.349,-10.309,WEAKENING,2.33,True,44.78,15.34,0.2,39.2,30.1,True,False,False,False,4.3,,1268.1,1149.53,1497.8,1564.53,1.94,18.11,9.35,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=-1) | No climax bar detected,10.0,77.3
LTM,REV-CB,0,None,,12,6,6,3,9,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",3,3.01,-4.086,WEAKENING,-4.06,True,-7.99,31.1,0.37,41.8,0.0,True,False,False,False,4.3,,4430.0,4341.28,4651.8,6429.5,2.5,5.01,2.0,No higher-low structure (recent 4405.00 <= prior 4414.80) | No higher-low structure (recent 4405.00 <= prior 4414.80) | No climax bar detected,10.0,77.3
FSL,REV-CB,0,None,,12,5,5,3,8,FULL,111101,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",3,1.712,-3.635,WEAKENING,-1.44,True,-5.38,32.1,0.1,31.6,0.0,True,False,False,False,4.3,,257.8,251.77,272.87,379.7,2.5,5.85,2.34,No higher-low structure (recent 256.50 <= prior 257.00) | No higher-low structure (recent 256.50 <= prior 257.00) | No climax bar detected,10.0,77.3
HEXT,REV-CB,0,None,,11,6,6,3,9,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True, 'Deleverage': True}",3,-0.879,-10.774,LAGGING,-8.43,False,-10.63,36.74,0.16,32.8,0.0,True,False,False,False,4.3,,511.0,497.51,544.72,807.75,2.5,6.6,2.64,RS slope negative | RS slope negative | No climax bar detected,10.0,75.0
PETRONET,REV-EARLY,0,None,,11,6,6,3,9,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Profit↑': True, 'OpLev↑': True, 'Deleverage': True}",2,2.404,4.414,LEADING,3.27,True,2.0,12.44,0.8,47.5,30.3,True,False,False,False,4.3,,285.8,269.99,325.32,326.4,2.5,13.83,5.53,No higher-low structure (recent 285.00 <= prior 285.65) | No higher-low structure (recent 285.00 <= prior 285.65) | No climax bar detected,10.0,75.0
JMFINANCIL,WYC-SOS,0,None,,11,4,4,3,7,FULL,110110,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'D/E<2': True, 'CR>1': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",2,-1.341,3.607,IMPROVING,3.76,False,-2.34,34.32,0.55,54.2,0.0,True,False,False,False,4.3,,128.47,122.69,142.91,195.6,2.5,11.24,4.5,RS slope negative | RS slope negative | No climax bar detected,10.0,75.0
GVT&D,REV-RS,3,REV-RS,2026-09-08,15,6,6,0,6,FULL,111111,Screener.in,True,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True}",2,4.973,9.179,LEADING,11.51,True,20.56,15.93,4.06,73.1,88.8,True,False,False,False,4.3,,4750.0,4239.88,5650.0,6025.31,1.76,18.95,10.74,"RS breakout 0d ago, higher-low intact [RFF base 6/6, bonus 0/4, total 6/10, quality FULL] [Also in Screener.in screens — intersection]",8.0,74.1
UNOMINDA,REV-RS,0,None,,11,6,6,2,8,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True}",2,6.846,0.685,LEADING,1.87,True,5.5,10.49,0.69,39.5,0.0,True,False,False,False,4.3,,1237.0,1206.28,1313.79,1382.0,2.5,6.21,2.48,No higher-low structure (recent 1221.00 <= prior 1240.50) | No higher-low structure (recent 1221.00 <= prior 1240.50) | No climax bar detected,9.8,74.0
BAJAJHLDNG,REV-EARLY,0,None,,11,6,6,1,7,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'OpLev↑': True}",2,3.678,-2.347,WEAKENING,-1.7,True,3.17,20.42,0.56,42.0,30.1,True,False,False,False,4.3,,11046.0,10686.76,11944.1,13880.0,2.5,8.13,3.25,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=-1) | No climax bar detected,9.8,74.0
CONCOR,REV-EARLY,0,None,,11,6,6,2,8,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True}",2,1.457,-3.215,WEAKENING,-2.73,True,1.32,11.9,0.42,41.9,0.0,True,False,False,False,4.3,,502.0,486.92,539.7,569.8,2.5,7.51,3.0,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=-1) | No climax bar detected,9.8,74.0
