Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,Market Capitalization,YOY Quarterly sales growth,YOY Quarterly profit growth
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,1229.20,436.87,417.25,32.23,0.00,0.87,13.87,14637.71,20.49,22.28
Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,3440.30,387.35,292.17,141.20,0.02,3.82,20.17,28166.12,59.08,67.67
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,206.60,14532.55,20513.65,6.19,0.84,1.34,10.15,398421.79,33.97,41.98
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,3355.10,477.29,13.47,27.64,0.14,1.53,10.26,39690.98,89.51,332.48
Aditya Vision,540205,AVL,INE679V01027,Retailing,Speciality Retail,636.95,138.98,74.95,5.53,0.83,1.90,8.83,8225.45,26.85,39.99
Apar Inds.,532259,APARINDS,INE372A01015,Electrical Equipment,Other Electrical Equipment,18858.00,1181.51,967.58,4.40,0.18,1.44,8.03,78962.85,29.13,77.80
Apollo Hospitals,508869,APOLLOHOSP,INE437A01024,Healthcare Services,Hospital,8944.50,2172.00,2855.70,7.27,0.90,0.91,9.01,128608.19,20.56,34.17
ASK Automotive,544022,ASKAUTOLTD,INE491J01022,Auto Components,Auto Components & Equipments,656.25,316.38,301.19,8.73,0.52,1.04,13.20,12937.48,52.38,28.83
Atlanta Electric,544527,ATLANTAELE,INE0Z4F01028,Electrical Equipment,Heavy Electrical Equipment,1666.10,217.47,184.33,6.40,0.05,1.69,17.08,12811.75,47.99,50.42
Avalon Tech,543896,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,2537.70,133.60,57.19,13.45,0.30,1.91,9.58,16972.72,49.83,145.39
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,11414.00,11552.81,2596.60,12.60,0.58,1.36,16.21,313661.10,65.14,45.93
C P C L,500110,CHENNPETRO,INE178A01016,Petroleum Products,Refineries & Marketing,1416.60,4173.98,2944.96,42.47,0.18,1.42,16.54,21094.79,84.77,2671.95
CARE Ratings,534804,CARERATING,INE752H01013,Capital Markets,Ratings,1668.60,180.18,147.57,98.54,0.03,5.58,16.85,5025.56,18.92,25.14
Central Mine Pla,544739,CMPDI,INE05HV01027,Construction,Civil Construction,214.58,613.18,716.42,10295.63,0.00,3.35,20.63,15321.01,17.62,53.88
Coforge,532541,COFORGE,INE591G01025,IT - Software,Computers - Software & Consulting,1841.00,1920.00,1791.70,13.08,0.08,1.61,14.09,81552.27,49.22,96.31
Corona Remedies,544644,CORONA,INE02ZQ01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,2201.80,198.55,229.48,37.39,0.22,0.96,18.71,13466.23,21.90,29.53
CRISIL,500092,CRISIL,INE007A01025,Finance,Other Financial Services,4577.50,884.32,755.58,49.02,0.10,1.87,16.07,33475.27,27.56,26.16
Dhoot Transmission,544867,DHOOTTRANS,INE01NH01023,Auto Components,Auto Components & Equipments,1590.70,396.84,347.66,6.75,0.38,1.94,12.81,32537.46,49.68,36.89
Divi's Lab.,532488,DIVISLAB,INE361B01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,9375.00,2925.00,2738.00,151.35,0.00,5.43,14.20,248876.79,27.80,65.50
Dr Lal Pathlabs,539524,LALPATHLAB,INE600L01024,Healthcare Services,Healthcare Service Provider,1896.90,546.30,635.61,31.61,0.08,2.54,18.01,31839.24,19.10,28.02
Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles,2/3 Wheelers,7516.00,5772.52,4804.84,96.68,0.02,1.34,18.74,206330.52,31.55,21.35
Elantas Beck,500123,ELANTAS,INE280B01018,Chemicals & Petrochemicals,Specialty Chemicals,14228.00,177.57,127.11,395.50,0.00,5.85,13.53,11279.51,34.99,80.35
Elgi Equipments,522074,ELGIEQUIP,INE285A01027,Industrial Products,"Compressors, Pumps & Diesel Engines",609.55,447.90,453.50,26.79,0.24,1.98,11.84,19317.19,22.56,27.00
Emcure Pharma,544210,EMCURE,INE168P01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,2003.80,1018.96,943.55,10.55,0.31,1.43,10.91,38014.22,22.85,40.45
Emmvee Photovol.,544608,EMMVEE,INE1C6T01020,Electrical Equipment,Other Electrical Equipment,328.00,1274.17,200.14,14.91,0.10,2.04,22.16,22708.92,51.34,102.64
Esab India,500133,ESABINDIA,INE284A01012,Industrial Products,Other Industrial Products,5627.50,221.89,180.69,163.38,0.01,1.98,28.60,8662.42,19.63,37.13
Fine Organic,541557,FINEORG,INE686Y01026,Chemicals & Petrochemicals,Specialty Chemicals,5199.00,438.10,429.60,127.47,0.03,8.49,14.84,15940.12,17.98,23.45
FSN E-Commerce,543384,NYKAA,INE388Y01029,Retailing,E-Retail/ E-Commerce,332.15,259.23,644.30,4.81,0.86,1.16,4.98,95137.55,29.10,243.10
Fujiyama Power,544613,UTLSOLAR,INE12UR01024,Electrical Equipment,Other Electrical Equipment,418.65,294.33,-2.89,12.96,0.41,1.72,18.22,12848.44,125.28,168.56
Garware Tech.,509557,GARFIBRES,INE276A01018,Textiles & Apparels,Other Textile Products,819.00,210.14,162.07,22.80,0.03,2.09,11.50,7997.40,31.35,21.68
GE Shipping Co,500620,GESHIP,INE017A01032,Transport Services,Shipping,1432.10,3746.86,2853.87,35.59,0.06,5.35,13.40,20445.69,66.91,159.43
GE Vernova T&D,522275,GVT&D,INE200A01026,Electrical Equipment,Heavy Electrical Equipment,4385.00,1305.04,1709.88,118.41,0.01,1.33,20.66,112277.93,38.04,24.65
Glenmark Pharma.,532296,GLENMARK,INE935A01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,2447.40,1797.79,3445.03,22.89,0.06,1.77,12.71,69071.67,23.10,85.50
GNG Electronics,544455,EBGNG,INE18JU01028,IT - Hardware,Computers Hardware & Equipments,703.05,142.43,-215.30,4.53,0.57,2.51,13.38,8015.58,32.08,56.21
Guj. Themis Bio.,506879,GUJTHEM,INE942C01045,Pharmaceuticals & Biotechnology,Pharmaceuticals,427.40,48.68,48.78,14.86,0.56,1.12,11.60,5562.68,22.08,22.19
Gulf Oil Lubric.,538567,GULFOILLUB,INE635Q01029,Petroleum Products,Lubricants,1070.10,381.78,362.52,10.56,0.33,1.84,13.12,5302.94,32.52,31.93
Happy Forgings,544057,HAPPYFORGE,INE330T01021,Industrial Products,Castings & Forgings,2148.30,327.40,444.67,39.86,0.15,1.83,12.34,20280.20,27.03,39.23
Himadri Special,500184,HSCL,INE019C01026,Chemicals & Petrochemicals,Carbon Black,675.35,804.14,382.01,15.94,0.16,2.18,13.73,34076.42,28.04,26.33
Hitachi Energy,543187,POWERINDIA,INE07Y701011,Electrical Equipment,Heavy Electrical Equipment,32700.00,1150.39,1244.83,132.11,0.02,1.55,9.96,145751.63,68.62,123.52
Honasa Consumer,544014,HONASA,INE0J5401028,Personal Products,Personal Care,479.55,249.32,141.35,26.29,0.10,1.27,10.42,15634.49,27.00,118.36
ICICI AMC,544658,ICICIAMC,INE346A01027,Capital Markets,Asset Management Company,3206.70,3485.73,3281.56,267.96,0.00,0.65,70.70,158493.88,17.55,23.10
International Gemological Instit,544311,IGIL,INE0Q9301021,Commercial Services & Supplies,Diversified Commercial Services,330.95,609.68,624.10,82.21,0.10,5.04,42.40,14302.33,23.22,30.99
Inventurus Knowl,544309,IKS,INE115Q01022,IT - Services,IT Enabled Services,1779.90,763.76,673.59,16.43,0.27,1.12,20.38,30554.33,20.74,27.85
Ipca Labs.,524494,IPCALAB,INE571A01038,Pharmaceuticals & Biotechnology,Pharmaceuticals,2009.60,1375.16,1141.97,28.42,0.10,2.49,10.15,50984.40,20.76,72.33
Kajaria Ceramics,500233,KAJARIACER,INE217B01036,Consumer Durables,Ceramics,1202.70,547.72,663.67,36.92,0.07,2.97,13.39,18899.59,20.43,52.43
Karamtara Engg.,544917,KARAMTARA,INE590T01012,Electrical Equipment,Heavy Electrical Equipment,355.55,228.75,675.15,3.22,0.91,1.09,6.65,11442.41,34.23,51.57
Kennametal India,505890,KENNAMET,INE717A01029,Industrial Manufacturing,Industrial Products,4281.50,196.00,18.30,888.67,0.00,2.35,17.57,9409.98,47.68,183.71
Kingfa Science,524019,KINGFA,INE473D01015,Industrial Products,Plastic Products - Industrial,5828.00,225.67,66.21,94.34,0.01,4.06,12.73,7897.74,49.06,101.58
Knowledge Marine,543273,KMEW,INE0CJD01029,Engineering Services,Dredging,2885.60,131.07,74.34,9.03,0.39,1.22,13.04,7319.13,138.11,447.74
Kovai Medical,523323,KOVAI,INE177F01017,Healthcare Services,Hospital,6226.00,256.32,361.83,12.04,0.31,1.29,12.73,6811.24,15.35,20.72
