Symbol,Price,%Chg,Volume
FLUOROCHEM,4754.8,1.67,119098
CRISIL,4690.6,-1.34,17017
GRASIM,3300.0,-0.21,850901
APLAPOLLO,2168.0,-0.78,270373
IPCALAB,1963.6,-0.18,126119
ECLERX,1922.6,-1.16,89506
AUROPHARMA,1698.9,0.41,600583
KPIL,1408.5,0.79,132395
KAJARIACER,1239.2,-0.88,80907
KPRMILL,1140.3,0.47,239559
CHALET,889.7,-0.9,87296
SONACOMS,799.5,-0.56,549181
KALYANKJIL,607.6,-0.82,7297816
INDGN,586.35,-0.48,239296
NYKAA,343.0,0.59,4010750
CUB,231.67,-0.56,1015686
SAIL,186.4,0.16,13768193
GAIL,174.9,-0.11,4342968
URBANCO,171.59,-0.1,5656330
IFCI,88.96,-3.94,156503199
MAHABANK,84.56,-0.27,11713367
