Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,Market Capitalization,Return on equity,Return on capital employed
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7270.50,2987.84,1219.52,126.41,0.02,2.19,12.83,154067.98,22.39,29.93
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,1060.40,1007.44,811.93,270.60,0.02,1.34,22.91,30683.58,25.15,32.23
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5466.50,2204.23,1963.03,18.23,0.15,2.40,12.92,65360.21,18.89,21.24
Anthem Bioscienc,544449,ANTHEM,INE0CZ201020,Pharmaceuticals & Biotechnology,Biotechnology,928.50,575.95,844.49,131.79,0.02,3.49,19.48,52305.97,22.28,30.37
Bharat Electron,500049,BEL,INE263A01024,Aerospace & Defense,Aerospace & Defense,393.30,6147.74,1541.37,1267.64,0.00,1.98,14.14,287493.60,27.45,36.44
Blue Jet Health,544009,BLUEJET,INE0KBH01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,575.25,234.91,334.15,51.82,0.03,3.21,15.77,10888.08,19.35,26.07
Coal India,533278,COALINDIA,INE522F01014,Consumable Fuels,Coal,409.90,31186.22,43214.60,33.80,0.12,1.80,11.46,252610.23,28.16,34.97
Colgate-Palmoliv,500830,COLPAL,INE259A01022,Personal Products,Personal Care,1917.80,1347.77,1806.30,485.87,0.03,1.28,41.82,52161.40,82.73,108.02
Cummins India,500480,CUMMINSIND,INE298A01020,Industrial Products,"Compressors, Pumps & Diesel Engines",5099.50,2367.15,1734.26,233.97,0.00,2.69,22.58,141358.14,30.24,39.50
Data Pattern,543428,DATAPATTNS,INE0IX101010,Aerospace & Defense,Aerospace & Defense,4513.30,267.93,80.15,29.87,0.00,8.11,13.12,25267.24,15.24,21.92
Divi's Lab.,532488,DIVISLAB,INE361B01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,9375.00,2925.00,2738.00,151.35,0.00,5.43,14.20,248876.79,16.53,21.97
Dr Lal Pathlabs,539524,LALPATHLAB,INE600L01024,Healthcare Services,Healthcare Service Provider,1896.90,546.30,635.61,31.61,0.08,2.54,18.01,31839.24,22.30,28.00
Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles,2/3 Wheelers,7516.00,5772.52,4804.84,96.68,0.02,1.34,18.74,206330.52,23.96,30.53
Emmvee Photovol.,544608,EMMVEE,INE1C6T01020,Electrical Equipment,Other Electrical Equipment,328.00,1274.17,200.14,14.91,0.10,2.04,22.16,22708.92,50.72,44.62
Engineers India,532178,ENGINERSIN,INE510A01028,Construction,Civil Construction,266.35,784.13,319.02,511.94,0.01,1.27,12.20,14970.00,23.37,30.40
Fujiyama Power,544613,UTLSOLAR,INE12UR01024,Electrical Equipment,Other Electrical Equipment,418.65,294.33,-2.89,12.96,0.41,1.72,18.22,12848.44,36.63,35.14
Guj Pipavav Port,533248,GPPL,INE517F01014,Transport Infrastructure,Port & Port services,160.35,558.74,510.31,128.46,0.02,2.54,16.47,7751.96,20.77,28.06
HDFC AMC,541729,HDFCAMC,INE127D01025,Capital Markets,Asset Management Company,2425.00,2949.80,2530.09,276.21,0.00,0.64,30.51,103986.55,32.93,42.88
Himadri Special,500184,HSCL,INE019C01026,Chemicals & Petrochemicals,Carbon Black,675.35,804.14,382.01,15.94,0.16,2.18,13.73,34076.42,17.77,22.12
Hind.Aeronautics,541154,HAL,INE066F01020,Aerospace & Defense,Aerospace & Defense,4800.30,9321.41,10906.38,2129.76,0.00,2.66,7.50,321032.06,23.97,31.97
Hitachi Energy,543187,POWERINDIA,INE07Y701011,Electrical Equipment,Heavy Electrical Equipment,32700.00,1150.39,1244.83,132.11,0.02,1.55,9.96,145751.63,21.91,29.36
I T D C,532189,ITDC,INE353K01014,Leisure Services,Hotels & Resorts,658.30,82.02,70.44,74.34,0.00,1.93,10.91,5646.20,21.04,29.92
ICICI AMC,544658,ICICIAMC,INE346A01027,Capital Markets,Asset Management Company,3206.70,3485.73,3281.56,267.96,0.00,0.65,70.70,158493.88,85.80,115.10
Inox India,544046,INOXINDIA,INE616N01034,Industrial Products,Other Industrial Products,2098.80,254.85,116.65,34.69,0.07,1.44,14.19,19049.44,26.13,33.48
International Gemological Instit,544311,IGIL,INE0Q9301021,Commercial Services & Supplies,Diversified Commercial Services,330.95,609.68,624.10,82.21,0.10,5.04,42.40,14302.33,55.81,69.25
Inventurus Knowl,544309,IKS,INE115Q01022,IT - Services,IT Enabled Services,1779.90,763.76,673.59,16.43,0.27,1.12,20.38,30554.33,31.42,31.51
K P R Mill Ltd,532889,KPRMILL,INE930H01031,Textiles & Apparels,Other Textile Products,1141.40,912.34,1107.84,23.85,0.10,4.31,13.14,39014.65,15.71,19.58
Kajaria Ceramics,500233,KAJARIACER,INE217B01036,Consumer Durables,Ceramics,1202.70,547.72,663.67,36.92,0.07,2.97,13.39,18899.59,17.88,23.38
Kanohar Elect.,544911,KANOHAR,INE877D01025,Electrical Equipment,Heavy Electrical Equipment,786.80,129.73,25.84,14.47,0.10,2.50,24.84,6230.42,42.19,54.32
Knowledge Marine,543273,KMEW,INE0CJD01029,Engineering Services,Dredging,2885.60,131.07,74.34,9.03,0.39,1.22,13.04,7319.13,20.02,16.32
Kusumgar,544821,KUSUMGAR,INE0ISX01025,Textiles & Apparels,Other Textile Products,591.20,88.13,35.78,5.61,0.49,1.98,10.23,6207.09,18.57,18.84
Lodha Developers,543287,LODHA,INE670K01029,Realty,"Residential, Commercial Projects",1144.70,4128.70,959.30,8.62,0.42,1.73,6.22,114393.89,15.48,16.41
Lohia Corp,544839,LCL,INE0QJW01029,Industrial Manufacturing,Industrial Products,538.60,193.45,325.16,19.57,0.34,1.06,17.48,5690.31,44.59,43.77
Lupin,500257,LUPIN,INE326A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,2083.00,5550.99,7334.50,18.76,0.29,1.62,17.01,95248.48,28.68,29.93
Marico,531642,MARICO,INE196A01026,Agricultural Food & other Products,Edible Oil,803.90,1952.00,2084.00,38.67,0.13,0.95,19.79,104522.15,42.82,47.05
Marksans Pharma,524404,MARKSANS,INE750C01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,320.15,521.27,458.13,28.54,0.11,5.17,11.80,14508.04,15.17,18.80
MSTC,542597,MSTCLTD,INE255X01014,Commercial Services & Supplies,Trading & Distributors,724.05,234.31,-27.79,,0.16,1.49,10.58,5097.31,26.60,30.28
Nestle India,500790,NESTLEIND,INE239A01024,Food Products,Packaged Foods,1372.40,3860.49,5047.56,33.02,0.08,0.96,26.86,264641.86,73.17,84.14
Nippon Life Ind.,540767,NAM-INDIA,INE298J01013,Capital Markets,Asset Management Company,1155.00,1636.96,1466.02,313.05,0.02,1.54,31.01,73914.17,34.48,43.80
NMDC,526371,NMDC,INE584A01023,Minerals & Mining,Industrial Minerals,79.15,7458.73,4996.25,89.17,0.19,2.43,16.68,69587.24,23.37,27.58
