Symbol,Price,%Chg,Volume
APARINDS,18858.0,5.94,271798
DIVISLAB,9375.0,0.56,691534
WELCORP,2660.1,8.12,4629365
APLAPOLLO,2270.1,5.66,1115754
ANANDRATHI,2229.4,1.0,880377
BEML,2135.0,6.04,1380251
IPCALAB,2009.6,1.99,527501
LGEINDIA,1696.9,2.66,1337344
VIJAYA,1558.9,3.51,278137
KPIL,1445.5,3.3,224766
PVRINOX,1324.7,4.09,1050636
ACE,1229.2,1.96,881443
JYOTICNC,1049.7,7.02,3979254
SPLPETRO,865.7,7.27,1234723
LENSKART,707.2,4.01,25690503
ATGL,660.7,12.56,39305845
JUBLFOOD,500.0,4.12,2900829
ACMESOLAR,435.25,5.82,12038412
REDINGTON,399.85,-0.06,10809796
PFOCUS,344.35,2.81,5344944
AEGISVOPAK,314.95,1.37,2342046
CASTROLIND,197.14,2.83,9615337
PINELABS,192.04,4.1,66808323
