Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,Market Capitalization,YOY Quarterly sales growth,YOY Quarterly profit growth
Avalon Tech,543896,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,2294.25,133.60,57.19,13.45,0.30,2.05,9.81,15328.30,49.83,145.39
Fineotex Chem,533333,FCL,INE045J01034,Chemicals & Petrochemicals,Specialty Chemicals,58.35,148.21,-23.81,144.28,0.01,2.67,12.67,6794.88,174.77,54.78
KEI Industries,517569,KEI,INE878B01027,Industrial Products,Cables - Electricals,4704.80,996.82,839.95,20.89,0.04,2.96,11.35,44978.25,22.97,40.05
MSTC,542597,MSTCLTD,INE255X01014,Commercial Services & Supplies,Trading & Distributors,770.90,234.31,-27.79,,0.16,1.49,10.58,5427.12,21.71,37.51
P N Gadgil Jewe.,544256,PNGJL,INE953R01016,Consumer Durables,"Gems, Jewellery And Watches",626.55,445.82,-716.90,6.66,0.89,1.53,10.17,9222.92,40.73,51.92
R R Kabel,543981,RRKABEL,INE777K01022,Industrial Products,Cables - Electricals,2448.25,607.61,295.29,10.49,0.13,1.62,12.39,27691.10,53.90,117.32
Raghav Product.,539837,RPEL,INE912T01018,Industrial Products,Electrodes & Refractories,1691.50,62.69,37.00,118.00,0.02,4.28,20.64,7767.71,48.72,67.55
Supreme Petroch.,500405,SPLPETRO,INE663A01033,Chemicals & Petrochemicals,Petrochemicals,827.80,482.72,246.33,46.66,0.05,1.71,9.39,15566.03,22.08,192.05
Syrma SGS Tech.,543573,SYRMA,INE0DYJ01015,Industrial Manufacturing,Industrial Products,1642.50,401.58,289.57,12.22,0.14,1.49,7.03,31672.49,68.29,101.19
V2 Retail,532867,V2RETAIL,INE945H01021,Retailing,Speciality Retail,221.00,177.49,-96.24,3.14,1.10,1.44,7.38,8058.53,58.36,50.99
