Symbol,Overall_Rating,Overall_Grade,Minervini_Score,Piotroski_Score,ROE,P/E,D/E
BAJAJ-AUTO.NS,13,A STRONG,8,5,26.7%,26.9,0.56
IGIL.NS,13,A STRONG,8,6,40.5%,31.1,0.10
GVT&D.NS,11,B GOOD,8,8,45.8%,105.3,0.01
RAINBOW.NS,11,B GOOD,8,4,16.7%,49.0,0.54
ACUTAAS.NS,11,B GOOD,7,6,27.0%,95.2,0.01
NAM-INDIA.NS,10,B GOOD,6,6,32.8%,47.2,0.02
TRITURBINE.NS,10,B GOOD,7,3,24.2%,62.5,0.02
VIJAYA.NS,10,B GOOD,7,7,18.1%,82.0,0.44
CAPLIPOINT.NS,9,B GOOD,5,5,17.7%,24.2,0.00
ASIANPAINT.NS,9,B GOOD,7,7,19.6%,59.5,0.18
NEULANDLAB.NS,9,B GOOD,6,6,0.7%,59.2,0.16
ENGINERSIN.NS,9,B GOOD,5,7,24.7%,19.3,0.01
CGPOWER.NS,8,C FAIR,6,4,14.7%,122.0,0.01
SAREGAMA.NS,8,C FAIR,5,4,12.2%,44.5,0.04
CEMPRO.NS,8,C FAIR,7,7,24.9%,31.9,0.42
POWERINDIA.NS,8,C FAIR,7,7,19.1%,166.7,0.02
KPIL.NS,8,C FAIR,6,8,13.5%,21.2,0.46
RRKABEL.NS,8,C FAIR,8,5,19.1%,51.0,0.13
NH.NS,7,C FAIR,7,6,17.8%,49.3,1.29
INDGN.NS,7,C FAIR,4,3,12.8%,31.4,0.05
KPRMILL.NS,7,C FAIR,5,6,14.8%,42.9,0.10
RADICO.NS,7,C FAIR,6,8,15.6%,77.5,0.24
NETWEB.NS,7,C FAIR,7,2,28.5%,128.2,0.39
ZENTEC.NS,7,C FAIR,4,6,9.9%,84.0,0.01
ABDL.NS,4,D WEAK,4,5,13.5%,70.9,0.68
