Symbol,Overall_Rating,Overall_Grade,Minervini_Score,Piotroski_Score,ROE,P/E,D/E
BAJAJ-AUTO.NS,13,A STRONG,8,5,26.7%,26.7,0.56
GLAND.NS,13,A STRONG,7,9,9.9%,36.7,0.03
IGIL.NS,13,A STRONG,8,6,40.5%,30.6,0.10
GRANULES.NS,13,A STRONG,7,6,11.7%,31.8,0.30
OFSS.NS,13,A STRONG,8,6,33.7%,31.8,0.00
GESHIP.NS,12,A STRONG,7,7,17.3%,7.0,0.06
ENRIN.NS,12,A STRONG,8,9,29.9%,96.4,0.03
BSE.NS,12,A STRONG,8,8,36.6%,66.6,0.00
HINDCOPPER.NS,12,A STRONG,8,9,27.5%,54.2,0.03
HBLENGINE.NS,12,A STRONG,7,8,36.8%,26.3,0.03
OBEROIRLTY.NS,12,A STRONG,6,6,14.0%,23.6,0.16
COALINDIA.NS,11,B GOOD,6,5,25.7%,9.2,0.12
AIAENG.NS,11,B GOOD,7,7,15.8%,32.9,0.00
ACUTAAS.NS,11,B GOOD,7,6,27.0%,92.6,0.01
AADHARHFC.NS,11,B GOOD,5,6,14.5%,18.6,2.48
ANANDRATHI.NS,11,B GOOD,7,6,39.1%,74.1,0.08
HINDZINC.NS,11,B GOOD,7,8,61.1%,17.1,0.39
ANTHEM.NS,11,B GOOD,8,7,19.5%,74.4,0.02
SARDAEN.NS,11,B GOOD,5,9,14.8%,16.9,0.35
VEDL.NS,11,B GOOD,5,7,7.0%,17.1,0.41
USHAMART.NS,11,B GOOD,6,7,14.9%,30.8,0.07
PERSISTENT.NS,11,B GOOD,8,5,23.8%,42.3,0.06
AEGISLOG.NS,11,B GOOD,7,7,10.2%,30.1,0.47
GVT&D.NS,11,B GOOD,8,8,45.8%,102.1,0.01
PREMIERENE.NS,11,B GOOD,6,4,35.0%,32.6,0.86
RAINBOW.NS,11,B GOOD,8,4,16.7%,48.7,0.54
IKS.NS,10,B GOOD,6,5,25.8%,39.5,0.27
NATCOPHARM.NS,10,B GOOD,6,4,15.4%,10.9,0.08
MCX.NS,10,B GOOD,7,7,46.8%,55.4,0.00
PIDILITIND.NS,10,B GOOD,6,8,22.2%,61.5,0.04
NAVINFLUOR.NS,10,B GOOD,7,8,16.7%,52.8,0.32
NATIONALUM.NS,10,B GOOD,5,8,32.6%,11.2,0.02
EICHERMOT.NS,10,B GOOD,6,5,22.0%,35.4,0.02
HAL.NS,10,B GOOD,6,5,22.2%,31.0,0.00
AJANTPHARM.NS,10,B GOOD,6,3,23.3%,35.8,0.06
ATUL.NS,10,B GOOD,6,7,10.8%,28.8,0.03
WAAREEENER.NS,10,B GOOD,7,7,38.7%,23.5,0.16
TRITURBINE.NS,10,B GOOD,7,3,24.2%,60.6,0.02
VIJAYA.NS,10,B GOOD,7,7,18.1%,78.1,0.44
SOLARINDS.NS,10,B GOOD,6,7,25.6%,98.9,0.28
PHOENIXLTD.NS,10,B GOOD,7,6,8.6%,49.8,0.37
NAM-INDIA.NS,10,B GOOD,6,6,32.8%,45.3,0.02
MEDANTA.NS,10,B GOOD,6,5,14.0%,58.7,0.30
CGCL.NS,10,B GOOD,4,4,13.2%,19.9,3.35
ABBOTINDIA.NS,10,B GOOD,6,5,32.5%,35.6,0.04
CUMMINSIND.NS,10,B GOOD,7,7,27.9%,65.5,0.00
GPIL.NS,10,B GOOD,5,5,13.7%,22.0,0.08
ENGINERSIN.NS,9,B GOOD,5,7,24.7%,19.4,0.01
ARE&M.NS,9,B GOOD,5,4,11.1%,16.9,0.05
CREDITACC.NS,9,B GOOD,4,4,9.9%,149.7,3.01
INDUSTOWER.NS,9,B GOOD,5,7,18.0%,15.6,0.53
HONASA.NS,9,B GOOD,7,4,14.2%,67.3,0.10
FORTIS.NS,9,B GOOD,5,7,10.2%,71.7,0.34
ALKEM.NS,9,B GOOD,5,4,16.0%,28.0,0.14
ADANIPOWER.NS,9,B GOOD,6,4,19.2%,34.2,0.82
ABSLAMC.NS,9,B GOOD,5,4,24.1%,31.4,0.02
LLOYDSME.NS,9,B GOOD,5,3,25.8%,25.8,1.45
NAVA.NS,9,B GOOD,4,5,7.3%,21.0,0.21
MANKIND.NS,9,B GOOD,6,6,11.6%,51.4,0.38
MAZDOCK.NS,9,B GOOD,6,5,25.9%,38.0,0.04
LTFOODS.NS,9,B GOOD,6,5,13.8%,20.8,0.36
NEULANDLAB.NS,9,B GOOD,6,6,0.7%,60.7,0.16
