time,nonpaged_GB,NtFC_GB,avail_GB,mem_load_pct
2026-06-20 18:44:06,6.716,6.217,46.66,26
2026-06-20 18:45:10,7.899,7.400,45.07,29
2026-06-20 18:46:13,9.197,8.696,43.61,31
2026-06-20 18:47:16,10.508,10.006,42.13,33
2026-06-20 18:48:20,11.743,11.224,40.32,36
2026-06-20 18:49:23,12.985,12.476,38.89,38
2026-06-20 18:50:26,14.301,13.794,37.63,40
2026-06-20 18:51:29,15.626,15.121,36.14,43
2026-06-20 18:52:32,16.935,16.429,34.63,45
2026-06-20 18:53:34,18.190,17.682,33.27,47
2026-06-20 18:54:37,19.514,19.005,31.78,49
2026-06-20 18:55:40,20.836,20.328,30.26,52
2026-06-20 18:56:43,22.139,21.635,28.80,54
2026-06-20 19:02:12,3.192,2.643,48.57,23
2026-06-20 19:03:16,4.545,3.972,46.80,26
2026-06-20 19:04:19,5.829,5.339,45.48,28
2026-06-20 19:05:22,7.235,6.737,43.55,31
2026-06-20 19:06:24,8.750,8.253,41.92,34
2026-06-20 19:07:26,10.281,9.789,40.26,36
2026-06-20 19:08:29,11.750,11.254,38.44,39
2026-06-20 19:09:32,13.158,12.663,36.92,41
2026-06-20 19:10:34,14.595,14.095,35.25,44
2026-06-20 19:11:37,16.042,15.546,33.58,47
2026-06-20 19:12:39,17.500,16.995,31.94,49
2026-06-20 19:13:42,18.939,18.440,30.22,52
2026-06-20 19:14:45,20.448,19.947,28.59,54
2026-06-20 19:15:47,21.978,21.480,27.05,57
2026-06-20 19:16:49,23.505,23.009,25.28,60
2026-06-20 19:17:52,24.975,24.472,23.65,62
2026-06-20 19:18:54,26.424,25.920,21.90,65
2026-06-20 19:19:57,27.942,27.439,20.24,68
2026-06-20 19:45:11,3.283,2.782,49.06,22
2026-06-20 19:46:15,4.680,4.194,47.83,24
2026-06-20 19:47:17,6.110,5.587,45.92,27
2026-06-20 19:48:20,7.468,6.975,44.29,30
2026-06-20 19:49:23,8.920,8.434,42.73,32
2026-06-20 19:50:25,10.455,9.971,40.92,35
2026-06-20 19:51:27,11.926,11.441,39.29,38
2026-06-20 19:52:30,13.387,12.898,37.60,40
2026-06-20 19:53:33,14.838,14.350,36.01,43
2026-06-20 19:54:35,16.208,15.719,34.49,45
2026-06-20 19:55:38,17.585,17.095,32.82,48
2026-06-20 19:56:41,19.015,18.526,31.25,50
2026-06-20 19:57:43,20.458,19.969,29.55,53
2026-06-20 19:58:46,21.971,21.478,27.72,56
2026-06-20 19:59:48,23.464,22.968,26.07,58
2026-06-20 20:00:51,24.964,24.472,24.37,61
2026-06-20 20:01:53,26.460,25.965,22.58,64
2026-06-20 20:02:56,27.894,27.395,21.02,66
2026-06-20 20:03:58,29.240,28.736,19.64,69
2026-06-20 20:05:01,30.573,30.076,18.31,71
2026-06-20 20:06:03,31.847,31.350,16.75,73
