date,symbol,action,qty,price,value
2020-01-31,BANKBEES,BUY,450.57,316.96,142857.14
2020-02-28,BANKBEES,BUY,26.46,296.78,7854.79
2020-03-31,BANKBEES,BUY,7.17,194.61,1394.8
2020-03-31,GOLDBEES,BUY,7393.09,38.22,282631.09
2020-04-30,BANKBEES,SELL,27.11,215.29,5833.88
2020-04-30,GOLDBEES,SELL,456.88,42.56,19439.72
2020-05-29,BANKBEES,BUY,40.3,193.72,7809.18
2020-05-29,GOLDBEES,BUY,114.58,41.0,4698.85
2020-06-30,BANKBEES,SELL,39.84,215.37,8577.62
2020-06-30,GOLDBEES,SELL,111.54,42.6,4750.26
2020-07-31,BANKBEES,BUY,61.63,217.93,13434.53
2020-07-31,GOLDBEES,BUY,260.22,47.15,12272.97
2020-08-31,GOLDBEES,SELL,7199.46,45.33,326260.52
2020-08-31,BANKBEES,BUY,276.21,239.62,66205.85
2020-09-30,BANKBEES,BUY,70.67,215.98,15267.27
2020-10-30,BANKBEES,SELL,72.23,240.6,17372.78
2020-11-27,BANKBEES,BUY,32.42,297.12,9636.89
2020-12-31,BANKBEES,SELL,182.06,313.48,57053.22
2020-12-31,BANKBEES,BUY,0.0,313.6,0.0
2021-01-29,BANKBEES,BUY,211.5,307.12,64976.18
2021-01-29,JUNIORBEES,BUY,986.55,332.86,328479.11
2021-02-26,BANKBEES,SELL,62.21,351.19,21840.29
2021-02-26,JUNIORBEES,SELL,20.43,360.55,7365.12
2021-03-31,JUNIORBEES,SELL,9.51,359.73,3419.7
2021-03-31,BANKBEES,BUY,28.61,335.0,9586.8
2021-04-30,BANKBEES,SELL,180.85,328.4,59372.71
2021-04-30,JUNIORBEES,SELL,956.61,364.27,348356.99
2021-05-31,BANKBEES,SELL,58.76,356.05,20916.33
2021-05-31,BANKBEES,BUY,0.0,356.19,0.0
2021-05-31,GOLDBEES,BUY,6085.14,42.6,259295.6
2021-05-31,MAFANG,BUY,3563.89,48.49,172863.73
2021-06-30,BANKBEES,SELL,65.61,350.22,22970.11
2021-06-30,GOLDBEES,SELL,6085.14,40.51,246446.48
2021-06-30,MAFANG,SELL,803.51,54.65,43897.72
2021-06-30,PSUBNKBEES,BUY,6561.58,27.59,181058.97
2021-06-30,JUNIORBEES,BUY,560.68,403.54,226323.72
2021-07-30,JUNIORBEES,SELL,15.96,413.38,6596.1
2021-07-30,PSUBNKBEES,BUY,209.24,26.62,5570.63
2021-07-30,BANKBEES,BUY,0.43,348.36,149.15
2021-07-30,JUNIORBEES,BUY,0.0,413.54,0.0
2021-07-30,MAFANG,BUY,50.78,53.42,2713.3
2021-08-31,PSUBNKBEES,SELL,6770.82,25.47,172434.29
2021-08-31,BANKBEES,BUY,101.22,367.23,37184.17
2021-08-31,JUNIORBEES,BUY,109.56,433.97,47559.1
2021-08-31,MAFANG,BUY,727.5,53.49,38926.04
2021-09-30,BANKBEES,SELL,131.42,377.38,49581.98
2021-09-30,MAFANG,SELL,626.26,52.6,32930.83
2021-09-30,JUNIORBEES,SELL,136.97,444.2,60824.87
2021-09-30,ITBEES,BUY,5147.72,35.71,183865.65
2021-09-30,JUNIORBEES,BUY,0.0,444.38,0.0
2021-09-30,MAFANG,BUY,0.0,52.62,0.0
2021-10-29,PSUBNKBEES,BUY,7534.0,30.86,232540.21
2021-10-29,BANKBEES,BUY,102.11,394.7,40315.7
2021-10-29,ITBEES,BUY,1450.31,35.25,51134.42
2021-10-29,JUNIORBEES,BUY,142.13,440.84,62674.45
2021-10-29,MAFANG,BUY,470.46,57.29,26961.23
2021-11-30,MAFANG,SELL,171.92,58.61,10072.96
2021-11-30,JUNIORBEES,SELL,17.37,439.65,7636.49
2021-11-30,ITBEES,SELL,315.14,35.94,11323.51
2021-11-30,BANKBEES,BUY,38.85,359.68,13978.79
2021-11-30,PSUBNKBEES,BUY,532.39,27.99,14903.63
2021-12-31,BANKBEES,SELL,628.08,357.44,224431.87
2021-12-31,MAFANG,SELL,1145.3,56.25,64402.14
2021-12-31,JUNIORBEES,SELL,642.06,443.73,284814.72
2021-12-31,ITBEES,SELL,3351.93,39.64,132837.45
2021-12-31,PSUBNKBEES,SELL,3857.3,27.6,106446.87
2021-12-31,GOLDBEES,BUY,8400.78,41.49,348638.66
2022-01-31,MAFANG,SELL,2065.64,49.08,101351.56
2022-01-31,ITBEES,SELL,2930.97,35.69,104583.25
2022-01-31,PSUBNKBEES,SELL,4209.09,32.52,136853.13
2022-01-31,GOLDBEES,SELL,1407.23,41.24,58019.05
2022-02-28,ITBEES,BUY,3743.77,34.72,130011.22
2022-02-28,PSUBNKBEES,BUY,4465.51,29.11,130011.22
2022-02-28,GOLDBEES,BUY,1953.25,43.6,85184.61
2022-02-28,MAFANG,BUY,2749.6,47.27,130011.22
2022-03-31,ITBEES,SELL,168.26,37.23,6263.02
2022-03-31,MAFANG,SELL,2749.6,51.44,141396.34
2022-03-31,PSUBNKBEES,BUY,14.7,29.73,436.99
2022-03-31,GOLDBEES,BUY,106.99,44.13,4722.6
2022-04-29,ITBEES,SELL,3575.51,32.44,115967.14
2022-04-29,PSUBNKBEES,BUY,461.36,30.08,13880.0
2022-04-29,GOLDBEES,BUY,898.86,44.8,40279.87
2022-05-31,GOLDBEES,SELL,2553.04,43.94,112149.94
2022-05-31,PSUBNKBEES,SELL,4941.56,28.12,138936.61
2022-06-30,GOLDBEES,SELL,719.79,43.75,31482.46
2022-06-30,SILVERBEES,BUY,1981.77,58.98,116923.4
2022-07-29,GOLDBEES,SELL,6679.81,44.05,294165.31
2022-07-29,SILVERBEES,SELL,1981.77,57.39,113696.7
2022-07-29,BANKBEES,BUY,1001.58,378.12,378827.79
2022-08-30,BANKBEES,SELL,1001.58,399.87,400382.83
2022-08-30,JUNIORBEES,BUY,787.53,462.27,364164.38
2022-09-30,PSUBNKBEES,BUY,8691.91,33.18,288454.83
2022-09-30,JUNIORBEES,BUY,17.75,447.84,7950.31
2022-10-31,PSUBNKBEES,SELL,8691.91,38.26,332473.09
2022-10-31,BANKBEES,BUY,950.48,417.33,396785.81
2022-10-31,JUNIORBEES,BUY,298.05,449.56,134032.61
2022-11-30,JUNIORBEES,SELL,270.64,461.18,124775.43
2022-11-30,BANKBEES,SELL,247.21,436.84,107961.49
2022-11-30,PSUBNKBEES,BUY,6912.53,44.44,307277.38
2022-11-30,MAFANG,BUY,6691.2,37.86,253388.59
2022-12-30,PSUBNKBEES,SELL,434.65,47.8,20770.39
2022-12-30,BANKBEES,BUY,7.92,435.57,3449.69
2022-12-30,JUNIORBEES,BUY,32.92,447.32,14728.47
2022-12-30,MAFANG,BUY,134.86,37.81,5100.19
2023-01-31,JUNIORBEES,SELL,865.61,414.6,358771.76
2023-01-31,BANKBEES,SELL,711.18,412.3,293130.7
2023-01-31,PSUBNKBEES,SELL,6477.88,44.28,286761.79
2023-01-31,MAFANG,SELL,3168.26,41.85,132557.0
2023-01-31,GOLDBEES,BUY,9433.26,48.68,459346.53
2023-02-28,MAFANG,SELL,620.98,44.73,27768.62
2023-02-28,GOLDBEES,SELL,835.87,47.4,39608.79
2023-02-28,BANKBEES,BUY,332.79,408.14,135867.47
2023-02-28,ITBEES,BUY,4389.13,30.95,135867.47
2023-03-31,MAFANG,SELL,198.3,49.49,9811.17
2023-03-31,GOLDBEES,SELL,343.62,51.06,17540.08
2023-03-31,BANKBEES,SELL,332.79,410.47,136559.89
2023-03-31,ITBEES,SELL,4389.13,29.83,130906.03
2023-03-31,PSUBNKBEES,BUY,3418.61,41.09,140506.67
2023-04-28,GOLDBEES,SELL,8253.77,51.24,422794.21
2023-04-28,PSUBNKBEES,BUY,3397.7,46.05,156508.28
2023-04-28,JUNIORBEES,BUY,937.36,418.47,392376.25
2023-04-28,MAFANG,BUY,2483.48,49.15,122099.37
2023-05-31,MAFANG,SELL,2316.0,59.06,136737.58
2023-05-31,PSUBNKBEES,SELL,6816.31,44.74,304877.22
2023-05-31,JUNIORBEES,SELL,337.79,444.14,149979.39
2023-05-31,ITBEES,BUY,6957.56,30.62,213077.56
2023-05-31,BANKBEES,BUY,474.59,448.84,213077.56
2023-06-30,MAFANG,SELL,86.28,61.94,5342.37
2023-06-30,JUNIORBEES,SELL,15.17,464.17,7037.49
2023-06-30,ITBEES,SELL,6957.56,30.93,215159.42
2023-06-30,BANKBEES,SELL,474.59,454.39,215582.6
2023-06-30,PHARMABEES,BUY,15585.04,13.92,217052.26
2023-06-30,PSUBNKBEES,BUY,4748.17,45.7,217052.26
2023-06-30,MID150BEES,BUY,1984.05,136.71,271315.33
2023-07-31,MAFANG,SELL,73.22,65.7,4808.77
2023-07-31,JUNIORBEES,SELL,0.21,480.16,99.94
2023-07-31,PSUBNKBEES,SELL,379.68,51.37,19498.45
2023-08-31,MAFANG,SELL,258.87,63.79,16507.57
2023-08-31,JUNIORBEES,SELL,59.3,471.69,27961.0
2023-08-31,PHARMABEES,SELL,2662.05,15.33,40788.8
2023-08-31,PSUBNKBEES,SELL,4368.48,49.77,217354.34
2023-08-31,MID150BEES,SELL,335.11,150.15,50302.36
2023-08-31,ITBEES,BUY,6051.66,32.73,198109.46
2023-08-31,JUNIORBEES,BUY,0.0,471.87,0.0
2023-09-29,MID150BEES,SELL,1648.93,155.38,256132.65
2023-09-29,PSUBNKBEES,BUY,4936.5,58.47,288732.13
2023-09-29,ITBEES,BUY,2568.49,33.5,86061.92
2023-09-29,PHARMABEES,BUY,5511.81,15.66,86358.08
2023-09-29,JUNIORBEES,BUY,228.57,479.03,109525.31
2023-09-29,MAFANG,BUY,1312.54,61.45,80682.62
2023-10-31,MAFANG,SELL,1302.13,60.41,78635.23
2023-10-31,JUNIORBEES,SELL,753.47,467.63,352237.81
2023-10-31,PHARMABEES,SELL,18434.8,14.92,274909.7
2023-10-31,ITBEES,SELL,8620.16,32.26,278033.43
2023-10-31,PSUBNKBEES,SELL,2073.58,54.82,113637.53
2023-10-31,GOLDBEES,BUY,9041.23,52.07,470921.83
2023-10-31,SILVERBEES,BUY,2208.55,71.05,156973.94
2023-10-31,LIQUIDBEES,BUY,506.65,918.84,465669.17
2023-11-30,GOLDBEES,SELL,9041.23,53.14,480301.12
2023-11-30,SILVERBEES,SELL,2208.55,74.6,164697.62
2023-11-30,LIQUIDBEES,SELL,506.65,922.01,466991.61
2023-11-30,PHARMABEES,BUY,17379.79,16.48,286562.18
2023-11-30,PSUBNKBEES,BUY,2250.4,56.04,126152.74
2023-11-30,MID150BEES,BUY,2179.88,164.27,358202.73
2023-11-30,MAFANG,BUY,866.94,68.92,59770.45
2023-12-29,MAFANG,SELL,2.65,73.0,193.11
2023-12-29,PSUBNKBEES,SELL,332.51,63.44,21087.2
2023-12-29,PHARMABEES,SELL,17379.79,17.09,296872.12
2023-12-29,MID150BEES,SELL,2179.88,174.99,381353.81
2023-12-29,ITBEES,BUY,8115.38,37.37,303342.19
2023-12-29,BANKBEES,BUY,615.7,492.53,303342.19
2023-12-29,JUNIORBEES,BUY,660.7,567.47,375039.57
2023-12-29,MAFANG,BUY,0.0,73.02,0.0
2024-01-31,MAFANG,SELL,21.55,75.76,1632.36
2024-01-31,PSUBNKBEES,SELL,285.24,69.59,19843.04
2024-01-31,ITBEES,SELL,47.01,38.77,1822.29
2024-01-31,BANKBEES,SELL,615.7,468.67,288472.58
2024-01-31,PHARMABEES,BUY,17154.95,18.23,312891.17
2024-01-31,JUNIORBEES,BUY,4.49,587.82,2640.7
2024-02-29,MAFANG,SELL,89.59,83.34,7464.14
2024-02-29,PSUBNKBEES,SELL,138.57,76.92,10656.18
2024-02-29,PHARMABEES,BUY,205.23,19.31,3965.0
2024-02-29,ITBEES,BUY,318.44,39.98,12734.56
2024-02-29,JUNIORBEES,BUY,2.28,627.89,1432.96
2024-03-28,MAFANG,SELL,852.88,87.54,74640.9
2024-03-28,PSUBNKBEES,SELL,971.6,77.52,75300.37
2024-03-28,ITBEES,SELL,8386.81,37.04,310575.9
2024-03-28,JUNIORBEES,SELL,667.47,643.68,429507.64
2024-03-28,PHARMABEES,SELL,17360.18,19.27,334363.49
2024-03-28,BANKBEES,BUY,546.16,480.49,262503.26
2024-03-28,GOLDBEES,BUY,5793.41,56.62,328129.07
2024-03-28,LIQUIDBEES,BUY,398.38,933.2,371879.61
2024-04-30,MAFANG,SELL,110.78,96.05,10637.25
2024-04-30,PSUBNKBEES,SELL,121.87,84.32,10273.76
2024-04-30,GOLDBEES,SELL,142.03,60.87,8642.34
2024-04-30,BANKBEES,BUY,1.72,502.48,862.81
2024-04-30,AUTOBEES,BUY,1207.72,227.84,275245.0
2024-04-30,LIQUIDBEES,BUY,16.14,940.44,15183.0
2024-05-31,GOLDBEES,SELL,17.43,61.28,1067.74
2024-05-31,AUTOBEES,SELL,45.77,237.69,10874.8
2024-05-31,PSUBNKBEES,BUY,95.43,82.26,7852.41
2024-05-31,BANKBEES,BUY,1.86,502.6,933.72
2024-05-31,GOLDBEES,BUY,0.0,61.3,0.0
2024-05-31,MAFANG,BUY,32.58,95.14,3100.68
2024-05-31,LIQUIDBEES,BUY,0.22,943.76,207.01
