Symbol,Catalyst,Signal_Label,Score,Stage,TT_Pass_Count,TT_Pass_All,TT_Failed_Gates,Pct_Above_52w_Low,Pct_Below_52w_High,JdK_RS_Ratio,RRG_Quadrant,VCP_Valid,VCP_Quality_Score,VCP_Contractions,Pivot_Price,Broke_Pivot,Days_Since_Pivot,Entry,SL,SL_pct,T1,T1_pct,R_Multiple,Catalyst_Reason
CANBK,None,None,22,2,8,True,,89.9,2.5,109.83,LEADING,False,60,"[{'high_date': '2025-02-05', 'high': 92.52, 'low_date': '2025-02-18', 'low': 81.72, 'pullback_pct': 11.67}, {'high_date': '2025-02-20', 'high': 85.01, 'low_date': '2025-02-28', 'low': 78.1, 'pullback_pct': 8.13}, {'high_date': '2025-03-24', 'high': 88.16, 'low_date': '2025-03-26', 'low': 84.22, 'pullback_pct': 4.47}, {'high_date': '2025-04-03', 'high': 91.12, 'low_date': '2025-04-07', 'low': 84.09, 'pullback_pct': 7.71}, {'high_date': '2025-04-22', 'high': 97.18, 'low_date': '2025-05-06', 'low': 89.18, 'pullback_pct': 8.23}, {'high_date': '2025-06-10', 'high': 113.69, 'low_date': '2025-06-19', 'low': 104.89, 'pullback_pct': 7.74}, {'high_date': '2025-07-16', 'high': 117.03, 'low_date': '2025-07-23', 'low': 107.8, 'pullback_pct': 7.89}, {'high_date': '2025-07-24', 'high': 113.51, 'low_date': '2025-08-01', 'low': 105.89, 'pullback_pct': 6.71}, {'high_date': '2025-08-20', 'high': 112.28, 'low_date': '2025-08-29', 'low': 103.83, 'pullback_pct': 7.53}, {'high_date': '2025-12-02', 'high': 152.03, 'low_date': '2025-12-08', 'low': 142.84, 'pullback_pct': 6.04}]",152.03,False,13.0,148.29,142.68,3.78,165.11,11.35,3.0,no valid VCP base
CUB,None,None,22,2,8,True,,89.1,3.1,113.19,LEADING,False,60,"[{'high_date': '2025-03-10', 'high': 153.34, 'low_date': '2025-03-11', 'low': 145.03, 'pullback_pct': 5.41}, {'high_date': '2025-04-22', 'high': 181.83, 'low_date': '2025-05-02', 'low': 170.65, 'pullback_pct': 6.15}, {'high_date': '2025-06-10', 'high': 204.34, 'low_date': '2025-06-20', 'low': 189.05, 'pullback_pct': 7.49}, {'high_date': '2025-07-01', 'high': 228.36, 'low_date': '2025-07-29', 'low': 202.42, 'pullback_pct': 11.36}, {'high_date': '2025-08-05', 'high': 217.24, 'low_date': '2025-09-04', 'low': 194.05, 'pullback_pct': 10.67}, {'high_date': '2025-10-28', 'high': 239.27, 'low_date': '2025-10-31', 'low': 228.67, 'pullback_pct': 4.43}, {'high_date': '2025-11-18', 'high': 278.76, 'low_date': '2025-11-21', 'low': 262.73, 'pullback_pct': 5.75}, {'high_date': '2025-12-01', 'high': 282.95, 'low_date': '2025-12-11', 'low': 262.15, 'pullback_pct': 7.35}]",282.95,False,14.0,274.3,260.31,5.1,316.26,15.3,3.0,no valid VCP base
ASAHIINDIA,None,None,22,2,8,True,,74.7,5.3,106.01,LEADING,False,60,"[{'high_date': '2025-01-31', 'high': 674.8, 'low_date': '2025-02-12', 'low': 627.66, 'pullback_pct': 6.99}, {'high_date': '2025-02-20', 'high': 712.31, 'low_date': '2025-03-04', 'low': 602.02, 'pullback_pct': 15.48}, {'high_date': '2025-03-06', 'high': 632.6, 'low_date': '2025-03-17', 'low': 577.98, 'pullback_pct': 8.63}, {'high_date': '2025-03-24', 'high': 633.1, 'low_date': '2025-03-28', 'low': 600.62, 'pullback_pct': 5.13}, {'high_date': '2025-05-07', 'high': 750.12, 'low_date': '2025-05-09', 'low': 710.86, 'pullback_pct': 5.23}, {'high_date': '2025-05-14', 'high': 768.87, 'low_date': '2025-05-22', 'low': 709.31, 'pullback_pct': 7.75}, {'high_date': '2025-05-29', 'high': 763.59, 'low_date': '2025-06-04', 'low': 729.22, 'pullback_pct': 4.5}, {'high_date': '2025-06-18', 'high': 769.47, 'low_date': '2025-06-24', 'low': 689.96, 'pullback_pct': 10.33}, {'high_date': '2025-07-04', 'high': 845.84, 'low_date': '2025-07-09', 'low': 808.38, 'pullback_pct': 4.43}, {'high_date': '2025-07-17', 'high': 870.98, 'low_date': '2025-08-01', 'low': 812.87, 'pullback_pct': 6.67}, {'high_date': '2025-08-25', 'high': 882.35, 'low_date': '2025-09-05', 'low': 810.25, 'pullback_pct': 8.17}, {'high_date': '2025-09-18', 'high': 916.75, 'low_date': '2025-09-19', 'low': 878.6, 'pullback_pct': 4.16}, {'high_date': '2025-09-23', 'high': 916.25, 'low_date': '2025-09-30', 'low': 855.7, 'pullback_pct': 6.61}, {'high_date': '2025-12-02', 'high': 1066.4, 'low_date': '2025-12-10', 'low': 994.2, 'pullback_pct': 6.77}]",1066.4,False,13.0,1009.7,981.09,2.83,1095.54,8.5,3.0,no valid VCP base
ASHOKLEY,None,None,22,2,8,True,,74.3,0.0,110.61,LEADING,False,60,"[{'high_date': '2025-01-31', 'high': 105.81, 'low_date': '2025-02-11', 'low': 99.41, 'pullback_pct': 6.05}, {'high_date': '2025-02-25', 'high': 110.89, 'low_date': '2025-03-12', 'low': 95.7, 'pullback_pct': 13.7}, {'high_date': '2025-03-26', 'high': 104.91, 'low_date': '2025-04-07', 'low': 96.42, 'pullback_pct': 8.09}, {'high_date': '2025-04-23', 'high': 112.57, 'low_date': '2025-05-02', 'low': 107.43, 'pullback_pct': 4.56}, {'high_date': '2025-06-09', 'high': 120.77, 'low_date': '2025-06-19', 'low': 115.65, 'pullback_pct': 4.24}, {'high_date': '2025-07-14', 'high': 125.62, 'low_date': '2025-08-08', 'low': 114.64, 'pullback_pct': 8.74}, {'high_date': '2025-08-19', 'high': 132.38, 'low_date': '2025-08-29', 'low': 126.12, 'pullback_pct': 4.73}, {'high_date': '2025-09-23', 'high': 143.07, 'low_date': '2025-10-17', 'low': 133.6, 'pullback_pct': 6.62}]",143.07,True,83.0,166.82,159.66,4.29,188.3,12.88,3.0,no valid VCP base
LAURUSLABS,None,None,22,2,8,True,,97.2,2.6,107.11,LEADING,False,60,"[{'high_date': '2025-01-24', 'high': 600.73, 'low_date': '2025-01-28', 'low': 509.13, 'pullback_pct': 15.25}, {'high_date': '2025-02-07', 'high': 639.31, 'low_date': '2025-02-21', 'low': 519.79, 'pullback_pct': 18.69}, {'high_date': '2025-02-25', 'high': 548.4, 'low_date': '2025-02-28', 'low': 525.52, 'pullback_pct': 4.17}, {'high_date': '2025-03-24', 'high': 621.02, 'low_date': '2025-04-07', 'low': 559.47, 'pullback_pct': 9.91}, {'high_date': '2025-04-22', 'high': 649.63, 'low_date': '2025-05-08', 'low': 584.88, 'pullback_pct': 9.97}, {'high_date': '2025-06-16', 'high': 679.01, 'low_date': '2025-06-19', 'low': 645.07, 'pullback_pct': 5.0}, {'high_date': '2025-07-29', 'high': 908.2, 'low_date': '2025-08-08', 'low': 820.36, 'pullback_pct': 9.67}, {'high_date': '2025-09-19', 'high': 930.41, 'low_date': '2025-09-26', 'low': 830.79, 'pullback_pct': 10.71}, {'high_date': '2025-11-17', 'high': 1020.83, 'low_date': '2025-11-25', 'low': 976.58, 'pullback_pct': 4.34}]",1020.83,False,28.0,1003.9,966.52,3.72,1116.05,11.17,3.0,no valid VCP base
NATIONALUM,None,None,22,2,8,True,,99.9,0.0,113.21,LEADING,False,60,"[{'high_date': '2025-01-31', 'high': 189.46, 'low_date': '2025-02-03', 'low': 177.55, 'pullback_pct': 6.28}, {'high_date': '2025-02-07', 'high': 187.82, 'low_date': '2025-02-11', 'low': 171.72, 'pullback_pct': 8.57}, {'high_date': '2025-02-13', 'high': 179.36, 'low_date': '2025-02-18', 'low': 171.81, 'pullback_pct': 4.21}, {'high_date': '2025-02-21', 'high': 192.32, 'low_date': '2025-02-28', 'low': 169.93, 'pullback_pct': 11.65}, {'high_date': '2025-03-07', 'high': 186.74, 'low_date': '2025-04-11', 'low': 137.03, 'pullback_pct': 26.62}, {'high_date': '2025-04-23', 'high': 155.07, 'low_date': '2025-05-08', 'low': 147.46, 'pullback_pct': 4.91}, {'high_date': '2025-06-10', 'high': 183.42, 'low_date': '2025-06-19', 'low': 174.07, 'pullback_pct': 5.1}, {'high_date': '2025-07-24', 'high': 190.3, 'low_date': '2025-08-01', 'low': 172.89, 'pullback_pct': 9.15}, {'high_date': '2025-09-12', 'high': 208.87, 'low_date': '2025-09-26', 'low': 194.18, 'pullback_pct': 7.03}, {'high_date': '2025-11-13', 'high': 260.1, 'low_date': '2025-11-21', 'low': 246.35, 'pullback_pct': 5.29}]",260.1,True,32.0,273.89,263.6,3.76,304.75,11.27,3.0,no valid VCP base
MUTHOOTFIN,None,None,22,2,8,True,,93.5,0.0,111.43,LEADING,False,60,"[{'high_date': '2025-02-13', 'high': 2270.58, 'low_date': '2025-03-05', 'low': 2082.59, 'pullback_pct': 8.28}, {'high_date': '2025-03-19', 'high': 2367.22, 'low_date': '2025-04-11', 'low': 1975.91, 'pullback_pct': 16.53}, {'high_date': '2025-04-22', 'high': 2226.4, 'low_date': '2025-04-25', 'low': 2075.65, 'pullback_pct': 6.77}, {'high_date': '2025-05-07', 'high': 2289.04, 'low_date': '2025-05-20', 'low': 2013.67, 'pullback_pct': 12.03}, {'high_date': '2025-07-23', 'high': 2667.45, 'low_date': '2025-08-13', 'low': 2488.86, 'pullback_pct': 6.7}, {'high_date': '2025-08-18', 'high': 2745.09, 'low_date': '2025-08-29', 'low': 2615.68, 'pullback_pct': 4.71}, {'high_date': '2025-10-17', 'high': 3306.54, 'low_date': '2025-10-27', 'low': 3119.52, 'pullback_pct': 5.66}]",3306.54,True,59.0,3824.07,3718.07,2.77,4142.07,8.32,3.0,no valid VCP base
IDEA,None,None,22,2,8,True,,84.6,2.5,114.16,LEADING,False,60,"[{'high_date': '2025-02-01', 'high': 9.6, 'low_date': '2025-02-03', 'low': 9.07, 'pullback_pct': 5.52}, {'high_date': '2025-02-05', 'high': 9.54, 'low_date': '2025-03-04', 'low': 7.43, 'pullback_pct': 22.12}, {'high_date': '2025-03-05', 'high': 7.86, 'low_date': '2025-03-17', 'low': 6.94, 'pullback_pct': 11.7}, {'high_date': '2025-03-21', 'high': 7.62, 'low_date': '2025-03-28', 'low': 6.8, 'pullback_pct': 10.76}, {'high_date': '2025-04-02', 'high': 8.22, 'low_date': '2025-04-09', 'low': 7.09, 'pullback_pct': 13.75}, {'high_date': '2025-04-21', 'high': 8.07, 'low_date': '2025-05-08', 'low': 6.69, 'pullback_pct': 17.1}, {'high_date': '2025-05-16', 'high': 7.37, 'low_date': '2025-05-20', 'low': 6.55, 'pullback_pct': 11.13}, {'high_date': '2025-05-29', 'high': 7.14, 'low_date': '2025-06-03', 'low': 6.77, 'pullback_pct': 5.18}, {'high_date': '2025-06-09', 'high': 7.05, 'low_date': '2025-06-19', 'low': 6.33, 'pullback_pct': 10.21}, {'high_date': '2025-07-02', 'high': 7.52, 'low_date': '2025-07-11', 'low': 7.17, 'pullback_pct': 4.65}, {'high_date': '2025-07-16', 'high': 7.83, 'low_date': '2025-08-01', 'low': 6.6, 'pullback_pct': 15.71}, {'high_date': '2025-08-05', 'high': 6.91, 'low_date': '2025-08-14', 'low': 6.15, 'pullback_pct': 11.0}, {'high_date': '2025-08-25', 'high': 7.4, 'low_date': '2025-08-29', 'low': 6.49, 'pullback_pct': 12.3}, {'high_date': '2025-09-15', 'high': 8.14, 'low_date': '2025-09-17', 'low': 7.77, 'pullback_pct': 4.55}, {'high_date': '2025-09-23', 'high': 8.72, 'low_date': '2025-09-26', 'low': 8.02, 'pullback_pct': 8.03}, {'high_date': '2025-10-07', 'high': 9.18, 'low_date': '2025-10-14', 'low': 8.36, 'pullback_pct': 8.93}, {'high_date': '2025-10-27', 'high': 9.97, 'low_date': '2025-10-30', 'low': 8.73, 'pullback_pct': 12.44}, {'high_date': '2025-11-14', 'high': 10.94, 'low_date': '2025-12-01', 'low': 9.93, 'pullback_pct': 9.23}, {'high_date': '2025-12-05', 'high': 10.8, 'low_date': '2025-12-08', 'low': 10.29, 'pullback_pct': 4.72}]",10.8,True,10.0,11.35,10.64,6.29,13.49,18.86,3.0,no valid VCP base
LTF,None,None,22,2,8,True,,136.8,2.3,109.18,WEAKENING,False,60,"[{'high_date': '2025-02-05', 'high': 150.45, 'low_date': '2025-02-18', 'low': 130.19, 'pullback_pct': 13.46}, {'high_date': '2025-03-24', 'high': 156.07, 'low_date': '2025-04-07', 'low': 146.23, 'pullback_pct': 6.31}, {'high_date': '2025-04-23', 'high': 177.2, 'low_date': '2025-05-09', 'low': 158.98, 'pullback_pct': 10.28}, {'high_date': '2025-06-10', 'high': 194.77, 'low_date': '2025-06-13', 'low': 185.69, 'pullback_pct': 4.66}, {'high_date': '2025-07-09', 'high': 209.1, 'low_date': '2025-07-17', 'low': 199.78, 'pullback_pct': 4.46}, {'high_date': '2025-07-23', 'high': 213.51, 'low_date': '2025-08-08', 'low': 195.75, 'pullback_pct': 8.32}, {'high_date': '2025-09-22', 'high': 248.09, 'low_date': '2025-09-26', 'low': 236.29, 'pullback_pct': 4.76}, {'high_date': '2025-11-07', 'high': 303.6, 'low_date': '2025-11-21', 'low': 288.7, 'pullback_pct': 4.91}, {'high_date': '2025-11-28', 'high': 312.35, 'low_date': '2025-12-08', 'low': 299.3, 'pullback_pct': 4.18}]",312.35,False,17.0,305.1,291.97,4.3,344.49,12.91,3.0,no valid VCP base
BHARATFORG,None,None,20,2,8,True,,49.3,2.2,107.72,LEADING,False,50,"[{'high_date': '2025-03-12', 'high': 1083.92, 'low_date': '2025-03-13', 'low': 1033.27, 'pullback_pct': 4.67}, {'high_date': '2025-03-24', 'high': 1194.48, 'low_date': '2025-04-07', 'low': 946.12, 'pullback_pct': 20.79}, {'high_date': '2025-04-23', 'high': 1128.96, 'low_date': '2025-04-25', 'low': 1082.23, 'pullback_pct': 4.14}, {'high_date': '2025-04-29', 'high': 1127.47, 'low_date': '2025-05-06', 'low': 1081.04, 'pullback_pct': 4.12}, {'high_date': '2025-06-09', 'high': 1336.86, 'low_date': '2025-08-08', 'low': 1133.9, 'pullback_pct': 15.18}, {'high_date': '2025-08-19', 'high': 1187.14, 'low_date': '2025-08-29', 'low': 1105.44, 'pullback_pct': 6.88}, {'high_date': '2025-09-19', 'high': 1271.25, 'low_date': '2025-09-26', 'low': 1179.75, 'pullback_pct': 7.2}, {'high_date': '2025-11-19', 'high': 1444.55, 'low_date': '2025-12-08', 'low': 1372.03, 'pullback_pct': 5.02}]",1444.55,False,26.0,1412.48,1368.99,3.08,1542.96,9.24,3.0,no valid VCP base
