Symbol,NAV,LTP,Premium_Pct,NAV_Date
GOLDBEES,132.8656,133.18,0.24,24-Aug-2026
SILVERBEES,232.4484,230.47,-0.85,24-Aug-2026
LIQUIDBEES,1000.0,1000.0,0.0,24-Aug-2026
LIQUIDCASE,115.6102,115.63,0.02,24-Aug-2026
TATAGOLD,15.6071,15.63,0.15,24-Aug-2026
TATSILV,23.5863,23.37,-0.92,24-Aug-2026
GOLDIETF,137.596,137.86,0.19,24-Aug-2026
NIFTYBEES,276.16,275.96,-0.07,24-Aug-2026
SILVERIETF,242.7325,240.72,-0.83,24-Aug-2026
BSLGOLDETF,141.3556,141.64,0.2,24-Aug-2026
HDFCSILVER,232.3599,230.29,-0.89,24-Aug-2026
SETFGOLD,137.0117,137.37,0.26,24-Aug-2026
HDFCGOLD,137.3054,137.59,0.21,24-Aug-2026
GOLDADD,156.09,156.46,0.24,24-Aug-2026
BANKNIFTY1,59.795,59.56,-0.39,24-Aug-2026
SILVER,242.74,240.73,-0.83,24-Aug-2026
SILVERCASE,25.3143,24.45,-3.41,24-Aug-2026
SBISILVER,238.1063,236.0,-0.88,24-Aug-2026
MON100,271.6663,329.05,21.12,24-Aug-2026
GOLDCASE,25.3143,25.36,0.18,24-Aug-2026
HDFCSML250,185.2877,184.59,-0.38,24-Aug-2026
GOLDAXIS,133.8579,134.11,0.19,24-Aug-2026
LIQUID1,1119.5633,1119.86,0.03,24-Aug-2026
NEXT50IETF,78.1722,78.23,0.07,24-Aug-2026
ITBEES,34.0153,33.73,-0.84,24-Aug-2026
BANKBEES,596.4865,595.37,-0.19,24-Aug-2026
GOLDBETA,135.2899,135.65,0.27,24-Aug-2026
GOLDETF,156.1712,156.5,0.21,24-Aug-2026
GOLD1,134.1502,134.44,0.22,24-Aug-2026
LIQUIDADD,1141.6725,1141.96,0.03,24-Aug-2026
SILVERBETA,234.6497,232.56,-0.89,24-Aug-2026
MODEFENCE,106.9965,106.65,-0.32,24-Aug-2026
CASHIETF,1076.5801,1076.89,0.03,24-Aug-2026
LIQUIDIETF,1000.0,1000.0,0.0,24-Aug-2026
JUNIORBEES,801.0785,801.49,0.05,24-Aug-2026
INSUREIETF,15.4879,15.54,0.34,24-Aug-2026
NIFTYIETF,274.7497,274.45,-0.11,24-Aug-2026
BANKIETF,59.16,59.01,-0.25,24-Aug-2026
PSUBNKBEES,95.424,95.65,0.24,24-Aug-2026
PSUBANK,85.5231,86.05,0.62,24-Aug-2026
SILVER1,23.5867,23.4,-0.79,24-Aug-2026
MID150BEES,242.2454,242.16,-0.04,24-Aug-2026
OILIETF,11.3713,11.3,-0.63,24-Aug-2026
METALIETF,13.4675,13.42,-0.35,24-Aug-2026
SETFNIF50,260.9863,260.72,-0.1,24-Aug-2026
HNGSNGBEES,462.0939,472.96,2.35,24-Aug-2026
SILVERAXIS,241.5454,239.48,-0.86,24-Aug-2026
SMALLCAP,48.8685,48.64,-0.47,24-Aug-2026
LIQUIDETF,1000.0,1000.0,0.0,24-Aug-2026
PHARMABEES,27.0881,27.12,0.12,24-Aug-2026
CPSEETF,94.0831,93.51,-0.61,24-Aug-2026
LIQGRWBEES,1052.8608,1053.13,0.03,24-Aug-2026
LIQUIDPLUS,1100.215,1100.51,0.03,24-Aug-2026
SILVERAG,236.5259,234.44,-0.88,24-Aug-2026
ELIQUID,1044.908,1045.19,0.03,24-Aug-2026
GROWWGOLD,15.6894,15.73,0.26,24-Aug-2026
AUTOBEES,301.2457,299.9,-0.45,24-Aug-2026
GROWWSLVR,23.8166,23.62,-0.83,24-Aug-2026
MAFANG,171.0849,206.94,20.96,24-Aug-2026
HDFCBSE500,37.7882,37.75,-0.1,24-Aug-2026
MOCAPITAL,54.839,54.97,0.24,24-Aug-2026
NIFTYBETA,268.7504,268.25,-0.19,24-Aug-2026
GROWWLIQID,110.4705,110.5,0.03,24-Aug-2026
MIDCAPETF,23.9635,23.95,-0.06,24-Aug-2026
SILVERADD,234.5073,232.39,-0.9,24-Aug-2026
GOLD360,156.7963,157.3,0.32,24-Aug-2026
MULTICAP,16.8936,16.83,-0.38,24-Aug-2026
LIQUIDBETF,1095.8847,1096.17,0.03,24-Aug-2026
SILVER360,239.101,237.51,-0.67,24-Aug-2026
MOREALTY,92.0201,91.6,-0.46,24-Aug-2026
FMCGIETF,51.1047,51.16,0.11,24-Aug-2026
LIQUID,1000.0,1000.0,0.0,24-Aug-2026
PVTBANIETF,27.8312,27.74,-0.33,24-Aug-2026
BSE500IETF,39.7732,39.78,0.02,24-Aug-2026
QGOLDHALF,133.1994,133.53,0.25,24-Aug-2026
METAL,13.5157,13.42,-0.71,24-Aug-2026
EBBETF0430,1609.0642,1608.92,-0.01,24-Aug-2026
ALPHA,54.2854,54.35,0.12,24-Aug-2026
SETFNN50,794.1144,791.99,-0.27,24-Aug-2026
GROWWNET,10.7793,10.89,1.03,24-Aug-2026
MOMOMENTUM,63.0292,62.8,-0.36,24-Aug-2026
MIDCAPIETF,24.255,24.21,-0.19,24-Aug-2026
LOWVOLIETF,22.3484,22.28,-0.31,24-Aug-2026
AONELIQUID,1073.9098,1074.18,0.03,24-Aug-2026
GROWWRAIL,28.6491,28.53,-0.42,24-Aug-2026
MOSILVER,240.1182,238.16,-0.82,24-Aug-2026
ITIETF,34.0368,33.76,-0.81,24-Aug-2026
GROWWDEFNC,97.2753,96.67,-0.62,24-Aug-2026
MOMENTUM50,54.5218,54.47,-0.1,24-Aug-2026
MID150CASE,11.7944,11.79,-0.04,24-Aug-2026
LTGILTBEES,29.979,29.99,0.04,24-Aug-2026
MASPTOP50,66.3218,79.95,20.55,24-Aug-2026
CHEMICAL,30.145,30.05,-0.32,24-Aug-2026
NIFTY100EW,35.544,35.53,-0.04,24-Aug-2026
NIFTYETF,263.6728,263.46,-0.08,24-Aug-2026
MONIFTY500,24.0646,24.07,0.02,24-Aug-2026
MOSMALL250,18.4734,18.43,-0.23,24-Aug-2026
GROWWPOWER,11.3694,11.31,-0.52,24-Aug-2026
MAHKTECH,18.8956,22.9,21.19,24-Aug-2026
AUTOIETF,30.1755,30.06,-0.38,24-Aug-2026
LICNMID100,64.2658,64.1,-0.26,24-Aug-2026
ICICIB22,115.5373,115.12,-0.36,24-Aug-2026
GILT5YBEES,66.2231,66.2,-0.03,24-Aug-2026
NIFTY1,269.0088,268.56,-0.17,24-Aug-2026
AONEGOLD,15.001,15.02,0.13,24-Aug-2026
MIDSMALL,52.2659,52.1,-0.32,24-Aug-2026
HDFCMID150,23.7318,23.72,-0.05,24-Aug-2026
GROWWMOM50,11.0347,11.02,-0.13,24-Aug-2026
HEALTHIETF,168.5672,169.08,0.3,24-Aug-2026
MOGOLD,158.8267,159.0,0.11,24-Aug-2026
SML100CASE,11.3292,11.3,-0.26,24-Aug-2026
NEXT50,764.8612,764.25,-0.08,24-Aug-2026
MONQ50,122.0173,147.84,21.16,24-Aug-2026
SNXT30BEES,43.2564,43.07,-0.43,24-Aug-2026
MIDCAP,18.7355,18.68,-0.3,24-Aug-2026
IT,34.0088,33.72,-0.85,24-Aug-2026
CONSUMBEES,133.9883,133.74,-0.19,24-Aug-2026
MOM30IETF,31.7074,31.61,-0.31,24-Aug-2026
HDFCNEXT50,75.7255,75.55,-0.23,24-Aug-2026
FINIETF,33.3479,33.35,0.01,24-Aug-2026
EBBETF0433,1307.3884,1313.89,0.5,24-Aug-2026
DEFENCE,81.8799,81.75,-0.16,24-Aug-2026
ALPHAETF,26.9668,27.01,0.16,24-Aug-2026
MOM100,68.9041,68.85,-0.08,24-Aug-2026
TOP10ADD,87.907,87.78,-0.14,24-Aug-2026
SBILIQETF,1053.0797,1053.36,0.03,24-Aug-2026
MOMMIDCAP,13.1107,13.13,0.15,24-Aug-2026
TOP100CASE,10.6663,10.66,-0.06,24-Aug-2026
HEALTHY,16.8998,16.92,0.12,24-Aug-2026
EGOLD,160.4915,160.8,0.19,24-Aug-2026
HEALTHADD,16.5828,16.6,0.1,24-Aug-2026
PSUBNKIETF,86.661,86.84,0.21,24-Aug-2026
EVINDIA,33.566,33.38,-0.55,24-Aug-2026
QUAL30IETF,21.3818,21.24,-0.66,24-Aug-2026
GROWWHOSPI,51.6028,51.78,0.34,24-Aug-2026
GROWWEV,33.4361,33.17,-0.8,24-Aug-2026
LOWVOL1,21.3003,21.27,-0.14,24-Aug-2026
GROWWMETAL,12.7569,12.68,-0.6,24-Aug-2026
HDFCNIFTY,273.1682,272.9,-0.1,24-Aug-2026
INFRABEES,966.6019,964.49,-0.22,24-Aug-2026
NEXT50BETA,80.0024,79.95,-0.07,24-Aug-2026
MOVALUE,113.29,113.47,0.16,24-Aug-2026
NIF100BEES,269.3805,268.93,-0.17,24-Aug-2026
ESILVER,242.6178,240.63,-0.82,24-Aug-2026
