date,symbol,spot,expiry,pcr,max_pain,total_ce_oi,total_pe_oi,put_wall,call_wall
2026-09-03,APOLLOHOSP,8692.0,2026-09-29,0.74,8800.0,1073625,794500,8300.0,9000.0
2026-09-03,AUBANK,1072.0,2026-09-29,0.64,1100.0,7648000,4895000,1060.0,1100.0
2026-09-03,BAJAJ-AUTO,11920.0,2026-09-29,0.811,12000.0,1318500,1069725,11500.0,12500.0
2026-09-03,BAJFINANCE,1049.0,2026-09-29,0.779,1080.0,16142250,12576750,1000.0,1100.0
2026-09-03,CGPOWER,895.0,2026-09-29,0.834,880.0,5277650,4403000,840.0,900.0
2026-09-03,COALINDIA,420.05,2026-09-29,0.566,410.0,45156150,25558200,400.0,430.0
2026-09-03,CUMMINSIND,5071.0,2026-09-29,1.037,5200.0,1075200,1115400,4800.0,5200.0
2026-09-03,DIVISLAB,9250.0,2026-09-29,0.981,9000.0,1454300,1426000,9000.0,9600.0
2026-09-03,DIXON,14445.0,2026-09-29,0.628,14500.0,1617800,1015750,13500.0,15000.0
2026-09-03,EICHERMOT,7690.0,2026-09-29,0.809,7800.0,1800000,1456600,7500.0,8000.0
2026-09-03,KEI,5327.0,2026-09-29,1.083,5400.0,958825,1038625,5200.0,5500.0
2026-09-03,LAURUSLABS,1868.5,2026-09-29,0.626,1840.0,10354700,6485500,1800.0,1900.0
2026-09-03,LTM,4560.0,2026-09-29,0.716,4550.0,825450,591150,4500.0,4600.0
2026-09-03,MARICO,827.4,2026-09-29,0.63,840.0,4624800,2914800,790.0,900.0
2026-09-03,NAM-INDIA,1164.9,2026-09-29,0.588,1200.0,1739375,1023125,1160.0,1300.0
2026-09-03,NESTLEIND,1416.0,2026-09-29,0.597,1450.0,2407500,1436500,1400.0,1500.0
2026-09-03,NYKAA,334.2,2026-09-29,0.568,335.0,7984375,4531250,320.0,340.0
2026-09-03,OBEROIRLTY,1902.0,2026-09-29,0.529,1900.0,2491650,1317400,1900.0,2000.0
2026-09-03,OFSS,12149.0,2026-09-29,0.776,12000.0,743400,576900,12000.0,12500.0
2026-09-03,PERSISTENT,5657.0,2026-09-29,0.74,5700.0,1473125,1090000,5600.0,5700.0
2026-09-03,PETRONET,289.5,2026-09-29,0.64,290.0,7689300,4921000,285.0,300.0
2026-09-03,PIDILITIND,1638.3,2026-09-29,0.926,1640.0,844500,782000,1620.0,1700.0
2026-09-03,PNBHOUSING,1145.5,2026-09-29,0.529,1160.0,2003300,1059500,1100.0,1200.0
2026-09-03,RADICO,4559.0,2026-09-29,0.586,4500.0,407700,238950,4500.0,4700.0
2026-09-03,SHRIRAMFIN,1044.2,2026-09-29,0.545,1080.0,13648800,7440675,1040.0,1100.0
2026-09-03,SOLARINDS,21500.0,2026-09-29,0.811,20500.0,604500,490450,20000.0,23000.0
2026-09-03,SONACOMS,800.0,2026-09-29,0.551,810.0,7375725,4060875,780.0,920.0
2026-09-03,SUNPHARMA,1916.0,2026-09-29,0.48,1920.0,8139250,3906000,1860.0,1960.0
2026-09-03,TECHM,1598.0,2026-09-29,0.824,1600.0,4795200,3952200,1540.0,1640.0
2026-09-03,TITAN,5027.0,2026-09-29,0.704,5000.0,2938600,2069200,4800.0,5200.0
2026-09-03,TVSMOTOR,4200.0,2026-09-29,0.598,4300.0,3088750,1846250,4200.0,4500.0
