Symbol,Fund,Issuer,Underlying,AUM_Cr,TER_Pct,Turnover_Cr,Is_Group_Leader,Index_Routable,My_Match,Confidence,Remarks
ALPHAETF,Kotak Nifty Alpha 50,Kotak,Nifty Alpha 50,927.70,0.3,1.1,YES,,Kotak Nifty Alpha 50 ETF,issuer+index,
AUTOBEES,Nippon Auto BeES,Nippon,Nifty Auto,498.70,0.19,5.5,YES,,Nippon Auto ETF (AUTOBEES),ticker,
AUTOIETF,ICICI Nifty Auto ETF,ICICI,Nifty Auto,225.20,0.2,1.8,,,ICICI Pru Nifty Auto ETF,issuer+index,
AXISGOLD,Axis Gold ETF,Axis,Gold (INR),5771.90,0.58,,,,Axis Gold ETF,issuer+index,
BANKBEES,Nippon Bank BeES,Nippon,Nifty Bank,8381.60,0.16,48.7,YES,YES,Nippon Nifty Bank ETF (BANKBEES),ticker,
BANKIETF,ICICI Nifty Bank ETF,ICICI,Nifty Bank,3066.20,0.17,2.3,,YES,ICICI Prudential Bank ETF,issuer+index,
BBETF,Edelweiss Bharat Bond ETF,Edelweiss,Bharat Bond,10623.00,0.01,0.0003,YES,,,NEEDS YOU,Updated
BFSI,Nippon Nifty Fin Services,Nippon,Nifty Fin Svcs,,0.21,0.9,YES,,,NEEDS YOU,
CONSUMBEES,Nippon Consumption BeES,Nippon,Nifty India Consumption,194.70,0.26,1.1,YES,,Nippon Nifty Cons. ETF (CONSUMBEES),ticker,
CPSEETF,Nippon CPSE ETF,Nippon,Nifty CPSE,19049.67,0.06,9.2,YES,,,NEEDS YOU,
DEFENCE,Motilal Nifty Defence ETF,MOAMC,Nifty Defence,1358.50,0.67,1.6,YES,,Motilal Oswal Nifty India Defence ETF,manual,
DIGINIFTY,ICICI Digital ETF,ICICI,Nifty Digital,,,,YES,,,NEEDS YOU,Couldn't find the symbol
EBANKNIFTY,Edelweiss Nifty Bank ETF,Edelweiss,Nifty Bank,3.00,1.08,131,,YES,ICICI Prudential Bank ETF,issuer+index,Updated
ENERGYIETF,ICICI Nifty Energy ETF,ICICI,Nifty Energy,,,,YES,,,NEEDS YOU,
EVINDIA,Mirae EV & New Age Auto,Mirae,Nifty EV & NewAuto,180.40,0.35,0.8,YES,,Mirae Asset Nifty EV & New Age Auto ETF,manual,
