Category,Name,Based on,Symbol,Expense Ratio %,Asset (Cr.),LTP,60 day average Volume
Commodities Index,Nippon Silver ETF (SILVERBEES),Silver,SILVERBEES,0.0049,32397.2,230.26,26472235
Commodities Index,Nippon Gold ETF (GOLDBEES),Gold,GOLDBEES,0.0069,59341.2,130.96,25066346
Sectoral Index,Nippon Nifty IT ETF (ITBEES),Nifty IT,ITBEES,0.0019,3712.5,34.7,18906095
Sectoral Index,ICICI Pru Nifty Metal ETF,Nifty Metal,METALIETF,0.0052,1025.3,13.6,9484335
Sectoral Index,ICICI Pru Nifty Private Bank ETF,Nifty Private Bank,PVTBANIETF,0.0018,4054.9,28.01,7318714
Broad Index,Nippon Nifty 50 ETF (NIFTYBEES),Nifty 50,NIFTYBEES,0.0003,66925.3,275.9,5931387
Commodities Index,ICICI Pru Gold ETF,Gold,GOLDIETF,0.0042,28916.1,135.69,5873584
Sectoral Index,Nippon Pharma ETF (PHARMABEES),Nifty Pharma,PHARMABEES,0.0018,1730.0,27.79,5542394
Commodities Index,SBI Gold ETF,Gold,SETFGOLD,0.0065,27551.5,135.14,4664324
Commodities Index,HDFC Silver ETF,Silver,HDFCSILVER,0.005,7708.1,230.44,3775969
Commodities Index,ICICI Pru Silver ETF,Silver,SILVERIETF,0.0034,15126.5,240.66,3601545
Sectoral Index,Nippon Nifty PSU Bank ETF (PSUBNKBEES),Nifty PSU Bank,PSUBNKBEES,0.0042,4060.6,96.15,2788398
Sectoral Index,Mirae Asset Nifty Metal ETF,Nifty Metal,METAL,0.0031,557.3,13.65,2719301
Broad Index,Mirae Asset Nifty Midcap 150 ETF,Nifty Midcap 150,MIDCAPETF,0.0005,1857.5,24.07,2487077
Commodities Index,ICICI Pru Nifty Oil & Gas ETF,Nifty Oil and Gas,OILIETF,0.0034,313.4,11.24,2057680
Broad Index,Motilal Oswal Nifty Smallcap 250 ETF,NIFTY Smallcap 250,MOSMALL250,0.0053,254.4,18.57,2027559
Strategy Index,ICICI Pru Nifty 100 Low Vol 30 ETF,Nifty 100 Low Volatility 30,LOWVOLIETF,0.0036,3419.1,22.21,1934767
Strategy Index,Mirae Ast Nifty Smallcap 250 MQ 100 ETF,Nifty Smallcap250 Momentum Quality 100,SMALLCAP,0.0039,996.8,49.16,1908822
Sectoral Index,Motilal Oswal Nifty India Defence ETF,Nifty India Defence,MODEFENCE,0.0067,1358.5,106.9,1639376
Sectoral Index,DSP Nifty Private Bank ETF,Nifty Private Bank,PVTBANKADD,0.0039,777.3,28.06,1626134
Broad Index,Zerodha Nifty Smallcap 100 ETF,NIFTY Smallcap 100,SML100CASE,0.0018,97.2,11.43,1534812
Broad Index,HDFC Nifty Small Cap 250 ETF,NIFTY Smallcap 250,HDFCSML250,0.0025,2612.6,186.55,1468608
Broad Index,Motilal Oswal Nifty 500 ETF,Nifty 500,MONIFTY500,0.0051,299.4,24.1,1434559
Sectoral Index,Kotak Nifty Bank ETF,Nifty Bank,BANKNIFTY1,0.0015,4716.5,60.04,1384751
Sectoral Index,ICICI Prudential IT ETF,Nifty IT,ITIETF,0.0028,550.7,34.61,1334010
Sectoral Index,ICICI Pru Nifty FMCG ETF,Nifty FMCG,FMCGIETF,0.002,730.4,50.48,1326682
Strategy Index,ICICI Pru Nifty 200 Momentum 30 ETF,Nifty 200 Momentum 30,MOM30IETF,0.0026,559.7,32.0,1254631
Broad Index,ICICI Pru Nifty Midcap 150 ETF,Nifty Midcap 150,MIDCAPIETF,0.0013,790.4,24.33,1201088
Strategy Index,Kotak Nifty Alpha 50 ETF,NIFTY ALPHA 50,ALPHA,0.003,927.7,55.5,1093412
Thematic Index,CPSE ETF,Nifty CPSE,CPSEETF,0.0006,19014.8,92.84,1075051
Broad Index,ICICI Pru Nifty Next 50 ETF,Nifty Next 50,NEXT50IETF,0.0009,2726.2,78.5,1018349
Sectoral Index,Motilal Oswal Nifty Capital Market ETF,Nifty Capital Markets,MOCAPITAL,0.0106,292.2,55.57,1009199
Sectoral Index,Motilal Oswal Nifty Realty ETF,Nifty Realty,MOREALTY,0.0081,270.3,90.86,911421
Sectoral Index,Kotak Nifty IT ETF,Nifty IT,IT,0.0009,319.8,34.7,898412
Sectoral Index,ICICI Pru Nifty Fin Svc Ex-Bank ETF,Nifty Financial Services Ex Bank,FINIETF,0.002,216.6,33.39,867669
Sectoral Index,Nippon Nifty Bank ETF (BANKBEES),Nifty Bank,BANKBEES,0.0016,8381.6,596.25,859328
Sectoral Index,ICICI Pru Nifty Auto ETF,Nifty Auto,AUTOIETF,0.002,225.2,29.97,838571
Broad Index,Zerodha Nifty 100 ETF,Nifty 100,TOP100CASE,0.0022,164.5,10.68,794865
Strategy Index,Kotak Nifty 100 Low Volatility 30 ETF,Nifty 100 Low Volatility 30,LOWVOL1,0.0012,286.3,21.17,794483
Broad Index,Nippon Nifty MC 150 ETF (MID150BEES),Nifty Midcap 150,MID150BEES,0.0018,4037.8,243.99,793625
Broad Index,SBI Nifty 50 ETF,Nifty 50,SETFNIF50,0.0004,214735.9,260.46,758167
Sectoral Index,Mirae Asset Nifty Financial Service ETF,Finnifty,BFSI,0.0011,397.1,27.37,681077
Strategy Index,Motilal Oswal Nifty 500 Momentum 50 ETF,Nifty 500 Momentum 50,MOMENTUM50,0.0138,397.3,55.5,629258
Sectoral Index,Groww Nifty India Railways PSU ETF,Nifty India Railways PSU,GROWWRAIL,0.0053,165.5,28.56,611117
Sectoral Index,Groww Nifty Capital Markets ETF,Nifty Capital Market,GROWWCAPM,0.0047,47.7,11.63,593002
Global Index,Motilal Oswal Nasdaq 100 ETF,Nasdaq 100,MON100,0.006,16482.2,327.1,556024
Strategy Index,ICICI Pru Nifty Alpha Low Volatility 30,Nifty 100 Low Volatility 30,ALPL30IETF,0.0036,1578.4,27.94,554148
Sectoral Index,Kotak Nifty Chemicals ETF,Nifty Chemicals,CHEMICAL,0.0025,115.3,30.47,500720
Sectoral Index,HDFC Nifty Bank ETF,Nifty Bank,HDFCNIFBAN,0.0017,5012.5,59.37,456223
Sectoral Index,HDFC Nifty Private Bank ETF,Nifty Private Bank,HDFCPVTBAN,0.0015,888.2,28.38,453613
Thematic Index,Mirae Asset Nifty Energy ETF,Nifty Energy,ENERGY,0.003,291.8,38.26,453355
Strategy Index,Mirae Asset Nifty 200 Alpha 30 ETF,Nifty 200 Alpha 30,ALPHAETF,0.0038,431.0,27.35,451836
Strategy Index,ICICI Pru Nifty 50 Value 20 ETF,Nifty50 Value 20 Index,NV20IETF,0.0021,175.5,13.64,437794
Thematic Index,Mirae Asset Nifty New Age Cons. ETF,Nifty Consumption,CONSUMER,0.0029,63.5,12.25,421956
Thematic Index,Groww Nifty India Internet ETF,Nifty India Internet,GROWWNET,0.0041,40.1,10.91,413784
Sectoral Index,Kotak Nifty PSU Bank ETF,Nifty PSU Bank,PSUBANK,0.0049,2644.5,86.37,408550
Broad Index,Motilal Oswal Nifty Midcap 100 ETF,NIFTY Midcap 100,MOM100,0.0029,915.6,69.0,406280
Sectoral Index,Groww Nifty EV & New Age Automotive ETF,Nifty EV and New Age Auto,GROWWEV,0.0061,304.7,33.11,403766
Broad Index,Kotak Nifty Midcap 50 ETF,Nifty Mid Cap 50,MIDCAP,0.0025,211.7,18.84,384640
Broad Index,Nippon Nifty Next 50 Junior Bees - ETF,Nifty Next 50,JUNIORBEES,0.0015,9001.1,803.0,378154
Sectoral Index,Groww Nifty Chemicals ETF,Nifty Chemicals,GROWWCHEM,0.0047,11.9,30.42,369116
Sectoral Index,Aditya Birla Nifty Healthcare ETF,Nifty Healthcare,HEALTHY,0.0016,81.9,17.31,358272
Broad Index,Mirae Asset Nifty Smallcap 250 ETF,NIFTY Smallcap 250,SMALL250,0.0014,83.0,18.56,352402
Sectoral Index,Groww Nifty Realty ETF,Nifty Realty,GROWWRLTY,0.0047,16.3,10.11,351001
Strategy Index,Mirae Asset Nifty MS400 MQ 100 ETF,Nifty MidSmallCap 400,MIDSMALL,0.0037,491.0,52.77,335088
Debt Index,Nippon 5 Year G-Sec ETF (GILT5YBEES),Nifty 5 Year G-Sec,GILT5YBEES,0.0008,263.2,66.23,333711
Strategy Index,ICICI Pru Nifty 200 Value 30 ETF,Nifty 200 Value 30,VAL30IETF,0.0026,48.3,15.19,322507
Sectoral Index,Mirae Asset Nifty EV & New Age Auto ETF,Nifty EV and New Age Auto,EVINDIA,0.0035,180.4,33.56,305516
Strategy Index,DSP Nifty Top 10 Equal Weight ETF,Nifty Top 10 Equal Weight,TOP10ADD,0.0024,696.7,87.91,284579
Strategy Index,Groww Nifty 500 Momentum 50 ETF,Nifty 500 Momentum 50,GROWWMOM50,0.0047,29.6,11.23,284319
Sectoral Index,Groww Nifty India Defence ETF,Nifty India Defence,GROWWDEFNC,0.0059,369.3,97.69,270944
Sectoral Index,Nippon Auto ETF (AUTOBEES),Nifty Auto,AUTOBEES,0.0019,498.7,298.99,265472
Global Index,Mirae Asset NYSE FANG+ ETF,NYSE FANG+,MAFANG,0.0055,5108.1,207.13,242882
Broad Index,Mirae Asset Nifty 500 Multicap ETF,Nifty 500 Multicap 50:25:25,MULTICAP,0.0014,89.3,16.93,241587
Broad Index,Angel One Nifty Total Market ETF,Nifty Total mkt,AONETOTAL,0.0028,43.9,11.98,209782
Sectoral Index,Motilal Oswal Nifty Energy ETF,Nifty Energy,MOENERGY,0.0081,61.6,38.19,209551
Thematic Index,Mirae Asset Nifty India Internet ETF,Nifty India Internet,INTERNET,0.0026,37.3,14.65,192145
Thematic Index,Aditya Birla Nifty PSE ETF,Nifty PSE,ABSLPSE,0.0017,21.8,10.19,177215
Broad Index,Edelweiss Nifty LargeMidcap 250 ETF,Nifty Largemid250,ELM250,0.0119,166.3,16.76,174457
Strategy Index,HDFC Nifty 200 Momentum 30 ETF,Nifty 200 Momentum 30,HDFCMOMENT,0.003,130.2,31.75,172599
Thematic Index,ICICI Pru Nifty Infrastructure ETF,NIFTY Infra,INFRAIETF,0.0042,423.2,95.3,170983
Strategy Index,ICICI Pru Nifty 200 Quality 30 ETF,Nifty 200 Quality 30,QUAL30IETF,0.0026,141.1,21.27,155158
