Symbol,★,Overall,Category,S4-GO,WCL Context,Struct Health,VP Position,Archetype,Loc,Path,RRG,Step,Conviction,Combined,Alpha,RS,Stage by Trigger Board,Stage by Pine Dashboard,MLProb%,Minervini,Catalyst,VCP,ΣPA,BFF,RFF,Piotroski,XRay,Sector,CMP,PrevClose,Chg%,52WH%,P/E,Deliv%/Vol,Entry,SL,SL%,T1,R:R,RRGeng,Tier,Sources,Stale
ABBOTINDIA,,53.9,Armed Wait · Recovery,1/4 · no PA,BULL (+7) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Rec-Catalyst-Scan,,Recovery,—,5,10,84.1,50,1.4,1,4,57.1,04 Aug,None,—,0,,5/6 FULL,03 Sep,D WEAK ⚠,Healthcare,27755,27800,-0.2,-21,38.1,66%,27900,27076.5,3,31926.8,4.9,LEADING,Discovery,Recovery Catalyst,
ANANTRAJ,,55.7,Buy Trigger Live · Recovery,3/4 · no vol,BULL (+7) · NONE,CLEAN (0),✓ ABOVE VAH,Rec-Catalyst-Scan,⚠ thin R:R,Recovery,Weakening,5,9,79.1,40,8.1,1,1,62.3,05 Aug,None,—,1,,4/6 FULL,03 Sep,D WEAK ⚠,Real Estate,616.3,616.9,-0.1,-17.9,73.7,37%,616.9,585.7,5.1,743.6,4.1,LEADING,Discovery,Recovery Catalyst,
ANTHEM,★,55.7,Invalidated · Bull,2/4 · no PA,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Pullback,,Bull,—,1,10,71,40,-1.3,3,2,68.1,06 Aug,None,✓,0,OK 2/5,,04 Sep,D WEAK ⚠,Healthcare,788.4,790.5,-0.3,-9.8,69.1,64%,788,739.6,6.1,888,2.1,LAGGING,Rigorous,"Pullback, Rec RS, Rec Early",
APOLLOHOSP,★,56.4,Armed Wait · Bull,2/4 · no PA,NEUTRAL (+0) · NONE,CLEAN (1),✓ ABOVE VAH,Pullback,,Bull,Leading,5,6.5,70,50,4,2,2,58.1,08 Aug,None,—,0,OK 3/5,,06 Sep,C FAIR ⚠,Healthcare,8956,8843.5,1.3,-0.8,85.6,60%,8935,8676.9,2.9,9519.3,2.3,LEADING,Rigorous,Pullback,
BALRAMCHIN,,58.5,Wait for Pullback · Bull,2/4 · no PA,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,below value,Bull,—,4,5.5,49,40,7.3,2,2,64.6,08 Aug,SWG-PB,—,0,OK 2/5,,03 Sep,D WEAK ⚠,Consumer Defensive,606.3,611.6,-0.9,-6.1,36.9,43%,602.7,576.5,4.4,674.4,2.7,LEADING,Discovery,Bull Catalyst,
BELRISE,,49.8,Wait for Pullback · Bull,2/4 · no PA,NEUTRAL (-2) · NONE,CLEAN (1),✗ IN VA (lower),Catalyst-Scan,below EMA20 / below value,Bull,—,4,5,42,15,0.7,2,2,66.8,08 Aug,SWG-PB,—,0,OK 2/5,,05 Sep,C FAIR ⚠,Consumer Cyclical,229.8,232.7,-1.2,-9.2,46.1,48%,228.8,222.6,2.7,251.8,3.7,WEAKENING,Discovery,Bull Catalyst,
CHENNPETRO,,55.5,Buy Trigger Live · Recovery,2/4 · no loc,NEUTRAL (+2) · NONE,CLEAN (0),✓ ABOVE VAH,Rec-Catalyst-Scan,⚠ thin R:R,Recovery,Weakening,5,8,71.8,25,5.3,2,2,66.6,08 Aug,None,—,1,,4/6 PART,05 Sep,B GOOD ⚠,Energy,1214.9,1168.8,3.9,-12.7,4.3,30%,1168.8,1069.2,8.5,1354,1.9,WEAKENING,Discovery,Recovery Catalyst,
CIPLA,★,48.4,Armed Wait · Recovery,0/4 · no PA,BULL (+7) · NONE,CHOPPY (2),✓ ABOVE VAH,"Recovery-RS, Recovery-Early",,Recovery,Leading,5,8.2,58.5,50,1.3,1,4,53.1,05 Aug,None,—,0,,6/6 FULL,02 Sep,D WEAK ⚠,Healthcare,1483.6,1409.4,5.3,-13.5,36.5,50%,1447,1383.9,4.4,1673,3.6,LEADING,Rigorous,"Rec RS, Rec Early",
COFORGE,★,61.8,Wait for Pullback · Recovery,1/4 · no PA,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,"Recovery-Early, Rec-Catalyst-Scan",extended / thin R:R,Recovery,Leading,4,10,76.4,80,7.2,1,4,56.2,05 Aug,None,—,0,,6/6 FULL,03 Sep,C FAIR ⚠,Technology,1721.6,1528.4,12.6,-15.4,56.8,32%,1683.2,1536.3,8.7,1989.7,2.1,LEADING,Rigorous,"Rec Early, Recovery Catalyst",
COLPAL,★,54.4,Buy Trigger Live · Recovery,4/4 GO,BULL (+7) · NONE,CLEAN (0),✓ IN VA (upper),Recovery-Early,,Recovery,—,5,10,72.5,50,-1.6,1,4,59.9,03 Aug,None,—,3,,6/6 FULL,04 Sep,D WEAK ⚠,Consumer Defensive,2133.9,2136.6,-0.1,-14.4,43.2,43%,2136.6,2082.8,2.5,2499.4,6.7,LAGGING,Rigorous,Rec Early,
CRAFTSMAN,,71.7,Buy Trigger Live · Bull,3/4 · no loc,BULL (+5) · NONE,CLEAN (1),✓ IN VA (upper),Catalyst-Scan,,Bull,—,5,7.5,47,40,1.8,2,2,59.8,08 Aug,SWG-PB,—,11,STRONG 4/5,,05 Sep,B GOOD ⚠,Consumer Cyclical,9958,9327,6.8,-6.6,110,52%,9285,8955,3.6,10038,2.3,WEAKENING,Discovery,Bull Catalyst,
CRISIL,★,57.3,Buy Trigger Live · Recovery,3/4 · no vol,BULL (+6) · NONE,CLEAN (0),✓ ABOVE VAH,"Recovery-Early, Rec-Catalyst-Scan",,Recovery,—,5,10,74,50,2.2,1,1,62.4,03 Aug,None,—,3,,6/6 FULL,03 Sep,D WEAK ⚠,Financial Services,4438.6,4486.3,-1.1,-24.4,56.9,55%,4486.3,4376.6,2.4,5449.5,8.8,LEADING,Rigorous,"Rec Early, Recovery Catalyst",
CUB,,76.5,Buy Trigger Live · Bull,1/4 · no loc,BULL (+7) · NONE,CLEAN (0),✓ IN VA (upper),Catalyst-Scan,⚠ below value,Bull,—,5,6.5,100,90,10.8,2,2,50.4,08 Aug,POS-BO,—,2,STRONG 5/5,,03 Sep,D WEAK,Financial Services,225.3,221.4,1.8,-2.6,15.9,34%,239.1,216.8,9.3,408.2,7.6,LEADING,Discovery,Bull Catalyst,
DIVISLAB,,68.5,Buy Trigger Live · Bull,3/4 · no loc,BULL (+7) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,⚠ extended,Bull,—,5,5,57,90,3.7,2,2,54.5,07 Aug,None,—,2,STRONG 4/5,,04 Sep,C FAIR ⚠,Healthcare,7750,7414,4.5,-0.7,77.2,54%,7426,7207.2,2.9,8109.9,3.1,LEADING,Discovery,Bull Catalyst,
DLF,,59.7,Armed Wait · Bull,0/4 · no PA,NEUTRAL (-2) · NONE,CLEAN (1),✓ ABOVE VAH,Catalyst-Scan,,Bull,Leading,5,5,40,70,7.4,1,4,46.6,05 Aug,POS-ACCUM,—,0,OK 3/5,,05 Sep,C FAIR ⚠,Real Estate,667,650.9,2.5,-22.5,47.3,55%,663.5,624.4,5.9,1055.6,10,LEADING,Discovery,Bull Catalyst,
GLAXO,★,54.9,Armed Wait · Recovery,1/4 · no PA,STRONG BULL (+13) · S2 — Spring/LPS Reversal,CLEAN (0),✓ ABOVE VAH,Recovery-Early,,Recovery,—,5,10,74,50,4.6,1,1,61.4,04 Aug,None,—,0,,6/6 FULL,03 Sep,D WEAK ⚠,Healthcare,2619.2,2551.2,2.7,-17.4,48.9,66%,2660.3,2500.5,6,3169.1,3.2,LEADING,Rigorous,Rec Early,
