Symbol,★,Overall,Category,S4-GO,WCL Context,Struct Health,VP Position,Archetype,Pos,Loc,Path,RRG,Step,Conviction,Combined,Alpha,RS,Stage,MLProb%,Minervini,Catalyst,VCP,ΣPA,BFF,RFF,Piotroski,XRay,Sector,CMP,PrevClose,Chg%,52WH%,P/E,Deliv%/Vol,Entry,SL,SL%,T1,R:R,RRGeng,Tier,Sources,Stale
RADICO,,79.2,Armed Wait · Bull,0/4 · no PA,STRONG BULL (+11) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,,,Bull,—,5,8.5,95.0,90.0,10.1,2,51.2,8/8,POS-BO,—,0,STRONG 5/5,,5/9,B GOOD ⚠,Consumer Defensive,4401.1,4289.7,2.6,-1.8,83.6,14.4L,4375.0,4159.0,4.9,6596.6,10.3,WEAKENING,Discovery,Bull Catalyst,
LLOYDSME,,78.4,Armed Wait · Bull,1/4 · no PA,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Catalyst-Scan,,,Bull,—,5,8.5,80.0,100.0,4.7,2,51.6,8/8,POS-BO,—,0,STRONG 5/5,,3/9,B GOOD ⚠,Basic Materials,2035.1,1979.1,2.8,-1.0,35.6,8.5L,2045.0,1943.4,5.0,3388.8,13.2,WEAKENING,Discovery,Bull Catalyst,
LAURUSLABS,★,75.7,Wait for Pullback · Bull,0/4 · no PA,BULL (+8) · S5 — Stage 2 Continuation > VAH,CLEAN (0),✓ IN VA (upper),"Breakout, Leader, Catalyst-Scan",,extended,Bull,—,4,8.5,91.0,80.0,12.8,2,59.6,8/8,POS-BO,—,0,STRONG 5/5,,5/9,B GOOD ⚠,Healthcare,1777.3,1758.9,1.0,-1.1,110.0,29.9L,1778.1,1717.2,3.4,2717.5,15.4,LEADING,Rigorous,"Hunter, Leader, Bull Catalyst",
RKFORGE,★,73.5,Buy Trigger Live · Bull,3/4 · no vol,BULL (+8) · S1 — OB Retest + VP Support,CLEAN (1),✓ ABOVE VAH,Breakout,,,Bull,—,5,8.0,72.5,90.0,0.5,2,53.7,8/8,POS-BO,—,1,OK 2/5,,4/9,D WEAK ⚠,Industrials,633.2,630.6,0.4,-1.2,92.2,16.8L,637.4,583.0,8.5,1039.8,7.4,WEAKENING,Rigorous,Hunter,
MANAPPURAM,,71.8,Buy Trigger Live · Bull,2/4 · no vol,STRONG BULL (+13) · S2 — Spring/LPS Reversal,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,,,Bull,—,5,5.0,87.0,100.0,6.3,2,50.1,8/8,POS-BO,—,3,WEAK 1/5,,1/9,F POOR ⚠,Financial Services,372.3,361.2,3.1,-0.4,22.8,57.3L,370.8,350.7,5.4,577.7,10.3,LEADING,Discovery,Bull Catalyst,
TITAN,,70.4,Armed Wait · Bull,1/4 · no PA,STRONG BULL (+12) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,,,Bull,—,5,7.5,77.0,60.0,5.2,2,66.3,8/8,POS-BO,—,0,STRONG 4/5,,5/9,B GOOD ⚠,Consumer Cyclical,4853.0,4849.7,0.1,-0.2,91.4,8.3L,4855.0,4701.6,3.2,6454.2,10.4,LEADING,Discovery,Bull Catalyst,
ATUL,★,68.3,Buy Trigger Live · Bull,1/4 · no loc,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (1),✓ ABOVE VAH,"Breakout, Leader",,,Bull,—,5,9.0,87.5,90.0,-5.4,2,50.7,6/8,None,—,1,OK 3/5,,5/9,C FAIR ⚠,Basic Materials,6795.0,6650.0,2.2,-5.4,28.6,1.1L,6793.0,6459.3,4.9,7744.0,2.8,LAGGING,Rigorous,"Hunter, Leader",
FSL,,67.0,Invalidated · Recovery,3/4 · no vol,BULL (+8) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Rec-Catalyst-Scan,,extended,Recovery,—,1,6.0,66.4,80.0,2.7,4,55.9,5/8,None,—,4,,4/6 FULL,4/9,C FAIR ⚠,Technology,295.0,263.1,12.1,-23.0,41.6,4.9Cr,293.5,261.5,10.9,376.9,2.6,LEADING,Discovery,Recovery Catalyst,
RRKABEL,★,66.7,Wait for Pullback · Bull,1/4 · no PA,BULL (+5) · S5 — Stage 2 Continuation > VAH,CLEAN (0),✓ IN VA (upper),"Breakout, Leader",,below value,Bull,—,4,9.5,92.5,70.0,10.3,2,58.0,8/8,None,—,0,STRONG 5/5,,3/9,B GOOD ⚠,Industrials,2594.5,2576.9,0.7,-8.4,48.0,7.7L,2543.0,2480.9,2.4,3067.4,8.4,LEADING,Rigorous,"Hunter, Leader",
IEX,★,66.5,Invalidated · Recovery,2/4 · no loc,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (1),✓ ABOVE VAH,"Recovery-Early, Rec-Catalyst-Scan",,,Recovery,—,1,10.0,79.5,90.0,-1.6,4,48.5,2/8,None,—,3,,6/6 FULL,8/9,C FAIR,Financial Services,132.2,132.1,0.1,-33.0,33.2,80.4L,134.0,128.2,4.3,161.2,4.7,LAGGING,Rigorous,"Rec Early, Recovery Catalyst",
BERGEPAINT,★,65.2,Invalidated · Recovery,4/4 GO,BULL (+5) · NONE,CLEAN (1),✓ IN VA (upper),Recovery-Early,,thin R:R,Recovery,—,1,10.0,65.0,90.0,-2.4,4,45.6,5/8,None,—,3,,6/6 FULL,4/9,D WEAK ⚠,Basic Materials,525.1,499.4,5.2,-12.6,55.5,7.4L,519.5,493.1,5.1,594.5,2.8,LAGGING,Rigorous,Rec Early,
CIPLA,★,64.6,Invalidated · Recovery,3/4 · no vol,BULL (+8) · NONE,CLEAN (1),✓ ABOVE VAH,"Recovery-RS, Recovery-Early",,thin R:R,Recovery,—,1,9.8,64.0,90.0,1.5,4,42.4,5/8,None,—,4,,6/6 FULL,2/9,F POOR ⚠,Healthcare,1474.2,1444.6,2.0,-12.0,36.3,21.8L,1473.0,1403.9,4.7,1673.0,2.9,LEADING,Rigorous,"Rec RS, Rec Early",
