Symbol,★,Overall,Category,S4-GO,WCL Context,Struct Health,VP Position,Archetype,Pos,Arm,Armed,Loc,→Zone,Path,RRG,Step,Conviction,Combined,Alpha,RS,Stage,MLProb%,Minervini,Catalyst,VCP,ΣPA,BFF,RFF,Piotroski,XRay,Sector,CMP,PrevClose,Chg%,52WH%,P/E,Deliv%/Vol,Entry,SL,SL%,T1,R:R,Room,RRGeng,Tier,Sources,Stale
SOLARINDS,,80.8,Buy Trigger Live · Bull,3/5 · no loc · RRG·,BULL (+4) · NONE,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,,False,,−1.5% → pattern 125m,1.5,Bull,—,5,8.5,82.5,100.0,12.4,2,53.4,8/8,POS-BO,—,1,STRONG 5/5,,4/7,B GOOD,Basic Materials,22330.0,21950.0,1.7,-0.2,155.0,52%,22455.0,21478.0,4.4,29236.4,6.9,clear,WEAKENING,Discovery,Bull Catalyst,
DIVISLAB,,76.2,Armed Wait · Bull,2/5 · no loc · PA 3b,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,,False,,−1.6% → pattern 125m,1.6,Bull,—,5,8.5,92.5,100.0,12.8,2,47.1,8/8,POS-BO,✓,0,STRONG 5/5,,4/7,C FAIR,Healthcare,9443.0,9315.0,1.4,-0.1,84.1,58%,9575.0,9009.0,5.9,12018.5,-0.2,-0.19R · lastPH,LEADING,Discovery,Bull Catalyst,
SAILIFE,,75.1,Armed Wait · Bull,2/5 · no loc · PA 2b,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,"HELD 18 @ 1,049.2  ·  pyramid says TRIM",False,,−5.5% → pattern D,5.5,Bull,—,5,6.5,94.0,80.0,15.3,2,56.7,8/8,POS-BO,—,0,STRONG 4/5,,5/7,C FAIR,Healthcare,1679.9,1647.1,2.0,-1.0,98.8,52%,1679.9,1583.8,5.7,2308.7,6.5,clear,LEADING,Discovery,Bull Catalyst,
GVT&D,★,72.0,Wait for Pullback · Bull,2/5 · no PA · ↑W · RRG·,BULL (+7) · NONE,CLEAN (1),✓ IN VA (upper),Catalyst-Scan,,False,,REACTING off pattern D · thin R:R,0.0,Bull,—,4,10.0,85.0,90.0,-2.3,1,53.4,7/8,SWG-GAP,✓,0,STRONG 4/5,,5/7,B GOOD,Industrials,4656.0,4367.2,6.6,-15.9,88.6,34%,4750.0,4355.5,8.3,5260.1,0.2,0.18R · SZ·D,LAGGING,Rigorous,"Bull Catalyst, Rec Early, Recovery Catalyst",
SPLPETRO,★,70.3,Wait for Pullback · Recovery,2/5 · no loc · PA 1b · ⚠unval,STRONG BULL (+13) · S1 — OB Retest + VP Support,CLEAN (1),✓ ABOVE VAH,"Recovery-Early, Rec-Catalyst-Scan",,False,,−5.6% → pattern 125m · extended / thin R:R,5.6,Recovery,—,4,10.0,90.0,90.0,-1.5,2,55.2,7/8,None,✓,0,,6/6 FULL,6/7,B GOOD,Basic Materials,816.0,802.5,1.7,-15.4,31.2,48%,828.4,775.2,6.4,979.0,0.3,0.35R · S/R·D,LAGGING,Rigorous,"Rec Early, Recovery Catalyst",
GLAND,,68.2,Buy Trigger Live · Bull,5/5 GO · PB · ↑D · RRG·,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Pullback,,False,,⚠ AT pivot+conf · thin R:R,1.9,Bull,—,5,6.5,59.5,80.0,20.0,2,54.5,8/8,None,—,6,STRONG 4/5,,4/7,C FAIR,Healthcare,3019.8,2974.3,1.5,-2.7,35.3,57%,2959.3,2807.5,5.1,3232.1,0.5,0.53R · S/R·D,LEADING,Discovery,At Value,
CHENNPETRO,★,63.7,Wait for Pullback · Bull,4/5 · no loc · PA 1b · 1⚖,BULL (+6) · S5 — Stage 2 Continuation > VAH,CLEAN (0),✓ ABOVE VAH,"Breakout, Leader",,False,,−5.2% → pattern D · extended,5.2,Bull,—,4,9.0,87.5,40.0,12.1,2,60.1,8/8,None,—,0,STRONG 4/5,,6/7,A STRONG,Energy,1598.0,1430.2,11.7,-2.1,5.8,12%,1457.8,1409.3,3.3,1632.2,3.6,clear,LEADING,Rigorous,"Hunter, Leader",
ABSLAMC,★,63.1,Buy Trigger Live · Recovery,4/5 · no loc · 2⚖ · ⚠unval · RRG·,BULL (+6) · S5 — Stage 2 Continuation > VAH,CLEAN (0),✓ IN VA (upper),"Recovery-RS, Recovery-Early",,False,,⚠ −11.0% → pattern D · thin R:R,11.0,Recovery,—,5,10.0,77.5,60.0,1.0,2,58.1,8/8,None,—,7,,6/6 FULL,,C FAIR,Financial Services,1064.0,1037.8,2.5,-13.1,30.2,48%,1064.0,995.5,6.4,1224.9,0.0,0.01R · SZ band top,WEAKENING,Rigorous,"Rec RS, Rec Early",
CPPLUS,,62.3,Wait for Pullback · Bull,1/5 · no PA · RRG·,NEUTRAL (+3) · NONE,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,,False,,pivot only ✗ · below value,13.6,Bull,—,4,8.5,66.0,40.0,27.5,2,66.9,8/8,SWG-PB,—,0,STRONG 5/5,,5/7,B GOOD,Industrials,3720.0,3828.8,-2.8,-9.1,98.4,56%,3720.0,3566.0,4.1,4031.7,1.2,1.16R · Pv·D,WEAKENING,Discovery,Bull Catalyst,
KARURVYSYA,,60.8,Buy Trigger Live · Bull,4/5 · weak bar · PB,BULL (+4) · NONE,CLEAN (0),✓ IN VA (upper),"Pullback, Catalyst-Scan",,False,,⚠ AT pivot+conf · below EMA20 / below value,2.7,Bull,—,5,6.5,56.0,15.0,5.4,2,70.5,8/8,SWG-PB,✓,3,STRONG 5/5,,,C FAIR,Financial Services,340.4,341.7,-0.4,-4.9,12.0,49%,341.1,335.6,1.6,358.0,0.3,0.29R · S/R·D,LEADING,Discovery,"At Value, Bull Catalyst",
JSL,★,60.4,Invalidated · Recovery,⛔ Stage 3 · gates 5/5 · 2⚖ · ↑W · ⚠unval,NEUTRAL (-2) · NONE,CLEAN (1),✓ IN VA (upper),"Recovery-RS, Recovery-Early",,False,,REACTING off pivot · extended,4.5,Recovery,—,1,10.0,60.0,50.0,-3.7,3,55.4,3/8,None,✓,10,,6/6 FULL,5/7,F POOR,Basic Materials,786.2,736.8,6.7,-16.4,24.1,37%,738.8,707.7,4.2,862.2,1.9,1.85R · S/R·W,IMPROVING,Rigorous,"Rec RS, Rec Early",
KAJARIACER,★,58.4,Buy Trigger Live · Bull,2/5 · no loc · PB · RRG·,BULL (+8) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Pullback,,False,,⚠ pivot only ✗ · below value,20.2,Bull,—,5,9.5,82.5,50.0,6.4,2,60.1,8/8,None,—,1,STRONG 4/5,,6/7,B GOOD,Industrials,1238.4,1220.5,1.5,-3.4,36.9,61%,1250.2,1207.8,3.4,1350.2,-0.1,-0.12R · S/R·W,WEAKENING,Rigorous,Pullback,
IKS,,57.5,Buy Trigger Live · Bull,3/5 · no loc · RRG·,NEUTRAL (+3) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Pullback,"HELD 54 @ 1,843.5",False,,⚠ −12.7% → pattern D · below value,12.7,Bull,—,5,7.5,59.5,65.0,7.8,2,49.8,6/8,None,✓,2,STRONG 4/5,,4/7,B GOOD,Healthcare,1785.2,1780.0,0.3,-7.6,50.0,40%,1785.2,1707.8,4.3,1950.9,0.0,0.04R · SZ band top,LEADING,Discovery,At Value,
LAURUSLABS,,57.0,ADD ready · Bull,1/5 · no PA · RRG·,BULL (+5) · NONE,CLEAN (0),✓ ABOVE VAH,Pyramid,"58 @ 1613.2 = ₹1,11,783 · SL→1716.6 · add 58 (capped ≤100% of 58)",False,,−3.1% → pattern 125m · thin R:R,3.1,Bull,—,4,7.5,62.0,50.0,24.1,2,62.8,8/8,None,—,0,STRONG 5/5,,6/7,B GOOD,Healthcare,1927.3,1876.7,2.7,-0.3,120.0,52%,1946.9,1826.0,6.2,2091.9,0.0,0.02R · SZ band top,LEADING,Rigorous,Portfolio,
