Symbol,★,Overall,Category,S4-GO,WCL Context,Struct Health,VP Position,Archetype,Pos,Arm,Armed,Loc,→Zone,Path,RRG,Step,Conviction,Combined,Alpha,RS,Stage,MLProb%,Minervini,Catalyst,VCP,ΣPA,BFF,RFF,Piotroski,XRay,Sector,CMP,PrevClose,Chg%,52WH%,P/E,Deliv%/Vol,Entry,SL,SL%,T1,R:R,Room,RRGeng,Tier,Sources,Stale
DIVISLAB,,94.9,Buy Trigger Live · Bull,4/5 · no loc,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,,False,,−10.2% → pattern W,10.2,Bull,—,5,8.5,92.5,100.0,12.8,2,47.1,8/8,POS-BO,✓,12,STRONG 5/5,,4/7,C FAIR,Healthcare,9575.0,9315.0,2.8,-0.1,84.1,58%,9575.0,9009.0,5.9,12018.5,4.3,clear,LEADING,Discovery,Bull Catalyst,
SOLARINDS,,88.9,Buy Trigger Live · Bull,4/5 · no loc · RRG·,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,,False,,−10.4% → pattern D,10.4,Bull,—,5,8.5,82.5,100.0,12.4,2,53.4,8/8,POS-BO,—,6,STRONG 5/5,,4/7,B GOOD,Basic Materials,22455.0,21950.0,2.3,-0.2,155.0,52%,22455.0,21478.0,4.4,29236.4,6.9,clear,WEAKENING,Discovery,Bull Catalyst,
GVT&D,★,82.6,Buy Trigger Live · Bull,5/5 GO · ↑W · RRG·,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (1),✓ IN VA (upper),Catalyst-Scan,,False,,⚠ REACTING off pattern D · thin R:R,0.0,Bull,—,5,10.0,85.0,90.0,-2.3,1,53.4,7/8,SWG-GAP,✓,14,STRONG 4/5,,5/7,B GOOD,Industrials,4750.0,4367.2,8.8,-15.9,88.6,34%,4750.0,4355.5,8.3,5260.1,0.2,0.18R · SZ·D,LAGGING,Rigorous,"Bull Catalyst, Rec Early, Recovery Catalyst",
SPLPETRO,★,79.1,Buy Trigger Live · Recovery,4/5 · no loc · ⚠unval,BULL (+6) · S5 — Stage 2 Continuation > VAH,CLEAN (0),✓ ABOVE VAH,"Recovery-Early, Rec-Catalyst-Scan",,False,,⚠ −12.0% → pattern D · extended / thin R:R,12.0,Recovery,—,5,10.0,90.0,90.0,-1.5,2,55.2,7/8,None,✓,11,,6/6 FULL,6/7,B GOOD,Basic Materials,828.4,802.5,3.2,-15.4,31.2,48%,828.4,775.2,6.4,979.0,0.3,0.35R · S/R·D,LAGGING,Rigorous,"Rec Early, Recovery Catalyst",
SAILIFE,,74.8,Armed Wait · Bull,3/5 · no PA,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,"HELD 18 @ 1,049.2  ·  pyramid says TRIM",False,,−5.5% → pattern D,5.5,Bull,—,5,6.5,94.0,80.0,15.3,2,56.7,8/8,POS-BO,—,0,STRONG 4/5,,5/7,C FAIR,Healthcare,1679.9,1647.1,2.0,-1.0,98.8,52%,1679.9,1583.8,5.7,2308.7,6.5,clear,LEADING,Discovery,Bull Catalyst,
CPPLUS,,62.9,Wait for Pullback · Bull,1/5 · no PA · RRG·,BULL (+5) · S5 — Stage 2 Continuation > VAH,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,,False,,−13.6% → pattern D · below value,13.6,Bull,—,4,8.5,66.0,40.0,27.5,2,66.9,8/8,SWG-PB,—,0,STRONG 5/5,,5/7,B GOOD,Industrials,3720.0,3828.8,-2.8,-9.1,98.4,56%,3720.0,3566.0,4.1,4031.7,1.2,1.16R · Pv·D,WEAKENING,Discovery,Bull Catalyst,
LAURUSLABS,,60.7,ADD ready · Bull,3/5 · no loc · RRG·,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Pyramid,"58 @ 1613.2 = ₹1,12,920 · SL→1716.6 · add 58 (capped ≤100% of 58)",False,,−5.3% → pattern W · thin R:R,5.3,Bull,—,5,7.5,62.0,50.0,24.1,2,62.8,8/8,None,—,2,STRONG 5/5,,6/7,B GOOD,Healthcare,1946.9,1876.7,3.7,-0.3,120.0,52%,1946.9,1826.0,6.2,2091.9,0.0,0.02R · SZ band top,LEADING,Rigorous,Portfolio,
PNBHOUSING,,59.8,Wait for Pullback · Bull,2/5 · no PA · PB,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,"Pullback, Catalyst-Scan",,False,,pivot only ✗ · below value,20.9,Bull,—,4,5.0,35.0,30.0,9.6,2,58.8,8/8,SWG-PB,—,0,STRONG 5/5,,,D WEAK,Financial Services,1167.1,1182.1,-1.3,-3.7,12.6,56%,1167.1,1146.3,1.8,1237.4,1.3,1.28R · S/R·D,WEAKENING,Discovery,"At Value, Bull Catalyst",
GLAND,,59.7,Wait for Pullback · Bull,3/5 · no PA · PB · RRG·,STRONG BULL (+11) · S2 — Spring/LPS Reversal,CLEAN (0),✓ IN VA (upper),Pullback,,False,,pivot only ✗ · thin R:R / below value,16.9,Bull,—,4,6.5,59.5,80.0,20.0,2,54.5,8/8,None,—,0,STRONG 4/5,,4/7,C FAIR,Healthcare,2959.3,2974.3,-0.5,-2.7,35.3,57%,2959.3,2807.5,5.1,3232.1,0.2,0.19R · SZ band top,LEADING,Discovery,At Value,
KARURVYSYA,,58.9,Wait for Pullback · Bull,2/5 · no PA,STRONG BULL (+11) · S2 — Spring/LPS Reversal,CLEAN (0),✓ IN VA (upper),"Pullback, Catalyst-Scan",,False,,−9.2% → pattern D · below EMA20 / below value,9.2,Bull,—,4,6.5,56.0,15.0,5.4,2,70.5,8/8,SWG-PB,✓,0,STRONG 5/5,,,C FAIR,Financial Services,341.1,341.7,-0.2,-4.9,12.0,49%,341.1,335.6,1.6,358.0,0.3,0.29R · S/R·D,LEADING,Discovery,"At Value, Bull Catalyst",
ABSLAMC,★,58.1,Buy Trigger Live · Recovery,4/5 · no loc · ⚠unval · RRG·,BULL (+6) · NONE,CLEAN (0),✓ IN VA (upper),"Recovery-RS, Recovery-Early",,False,,⚠ −11.0% → pattern D · thin R:R,11.0,Recovery,—,5,10.0,77.5,60.0,1.0,2,58.1,8/8,None,—,3,,6/6 FULL,,C FAIR,Financial Services,1064.0,1037.8,2.5,-13.1,30.2,48%,1064.0,995.5,6.4,1224.9,0.0,0.01R · SZ band top,WEAKENING,Rigorous,"Rec RS, Rec Early",
CHENNPETRO,★,58.0,Buy Trigger Live · Bull,3/5 · no loc,BULL (+6) · S5 — Stage 2 Continuation > VAH,CLEAN (0),✓ ABOVE VAH,"Breakout, Leader",,False,,−5.2% → pattern D,5.2,Bull,—,5,9.0,87.5,40.0,14.0,2,60.2,8/8,None,—,2,STRONG 4/5,,6/7,A STRONG,Energy,1457.8,1430.2,1.9,-2.1,5.8,12%,1457.8,1409.3,3.3,1632.2,0.3,0.27R · lastPH,LEADING,Rigorous,"Hunter, Leader",
KAJARIACER,★,57.6,Armed Wait · Bull,3/5 · no PA · RRG·,BULL (+4) · NONE,CLEAN (0),✓ IN VA (upper),Pullback,,False,,−20.2% → pattern D,20.2,Bull,—,5,9.5,82.5,50.0,6.4,2,60.1,8/8,None,—,0,STRONG 4/5,,6/7,B GOOD,Industrials,1250.2,1220.5,2.4,-3.4,36.9,61%,1250.2,1207.8,3.4,1350.2,0.6,0.57R · lastPH,WEAKENING,Rigorous,Pullback,
NAM-INDIA,,57.3,Buy Trigger Live · Bull,4/5 · no vol · PB · ↑W · RRG·,BULL (+4) · NONE,CLEAN (0),✗ IN VA (lower),Pullback,"HELD 93 @ 1,068.1  ·  pyramid says REDUCE",False,,REACTING off pattern D,0.0,Bull,—,5,7.5,48.5,30.0,8.8,2,56.1,8/8,None,—,3,STRONG 5/5,,,B GOOD,Financial Services,1188.9,1195.0,-0.5,-6.3,46.6,54%,1188.9,1148.0,3.4,1288.5,1.0,0.97R · S/R·D,WEAKENING,Discovery,At Value,
CRISIL,★,56.8,Wait for Pullback · Bull,4/5 · no PA · PB,BULL (+8) · S5 — Stage 2 Continuation > VAH,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,AT pivot+conf · thin R:R / below value,13.8,Bull,—,4,9.0,76.0,50.0,2.1,1,61.7,5/8,None,✓,0,STRONG 4/5,,,C FAIR,Financial Services,4754.5,4786.6,-0.7,-7.0,60.1,58%,4754.5,4513.7,5.1,5115.8,0.3,0.31R · SZ·D,LEADING,Rigorous,Pullback,
IKS,,56.6,Wait for Pullback · Bull,2/5 · no PA · RRG·,BULL (+8) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Pullback,"HELD 54 @ 1,843.5",False,,−12.7% → pattern D · below value,12.7,Bull,—,4,7.5,59.5,65.0,7.8,2,49.8,6/8,None,✓,0,STRONG 4/5,,4/7,B GOOD,Healthcare,1785.2,1780.0,0.3,-7.6,50.0,40%,1785.2,1707.8,4.3,1950.9,0.0,0.04R · SZ band top,LEADING,Discovery,At Value,
BAJAJ-AUTO,,56.1,Wait for Pullback · Bull,4/5 · no PA · PB,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,AT pivot+conf · below value,3.0,Bull,—,4,7.5,56.0,40.0,6.4,2,57.0,8/8,None,—,0,STRONG 5/5,,4/7,B GOOD,Consumer Cyclical,11880.0,11800.0,0.7,-4.7,30.2,58%,11880.0,11689.9,1.6,12553.6,0.8,0.79R · SZ band top,LEADING,Discovery,At Value,
OFSS,,56.1,Buy Trigger Live · Bull,4/5 · no vol · PB · RRG·,BULL (+8) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Pullback,,False,,⚠ AT pattern D · below EMA20 / below value,0.0,Bull,—,5,8.5,58.5,25.0,19.8,2,62.3,8/8,None,—,1,STRONG 4/5,,5/7,C FAIR,Technology,11780.0,11847.0,-0.6,-6.1,28.5,50%,11780.0,11497.9,2.4,12810.7,1.7,1.66R · SZ·W,WEAKENING,Discovery,At Value,
NAVINFLUOR,★,55.9,Wait for Pullback · Bull,2/5 · no PA · RRG·,BULL (+8) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Leader,,False,,−12.6% → pattern D · thin R:R,12.6,Bull,—,4,8.5,85.0,50.0,9.4,2,62.8,8/8,None,—,0,STRONG 5/5,,4/7,B GOOD,Basic Materials,8731.0,8603.5,1.5,-0.5,78.8,44%,8731.0,8385.8,4.0,9402.4,0.1,0.13R · SZ band top,WEAKENING,Rigorous,Leader,
EMCURE,,55.1,Wait for Pullback · Bull,1/5 · no PA · RRG·,BULL (+6) · NONE,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,−14.3% → pattern D · below value,14.3,Bull,—,4,7.5,52.0,50.0,6.9,2,57.4,8/8,None,—,0,STRONG 5/5,,2/7,C FAIR,Healthcare,1911.1,1925.8,-0.8,-6.7,43.9,47%,1911.1,1856.2,2.9,2059.4,0.9,0.89R · lastPH,WEAKENING,Discovery,At Value,
IPCALAB,★,55.0,Wait for Pullback · Bull,2/5 · no PA · PB,BULL (+7) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Pullback,,False,,pivot only ✗ · thin R:R,10.4,Bull,—,4,9.0,82.5,40.0,8.5,2,66.0,8/8,None,—,0,STRONG 4/5,,6/7,B GOOD,Healthcare,1967.2,1959.1,0.4,-1.7,39.3,62%,1967.2,1832.2,6.9,2129.1,0.2,0.25R · lastPH,LEADING,Rigorous,Pullback,
RADICO,,53.6,Wait for Pullback · Bull,4/5 · no PA · PB · RRG·,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,AT pattern M · below EMA20,0.0,Bull,—,4,8.5,62.0,15.0,19.3,2,52.0,8/8,None,—,0,STRONG 5/5,,6/7,B GOOD,Consumer Defensive,4485.0,4444.0,0.9,-5.5,84.6,60%,4485.0,4370.2,2.6,4773.8,0.7,0.65R · lastPH,LEADING,Discovery,At Value,
