Symbol,Quantity,Avg_Price,CMP,Invested_Value,Current_Value,PnL,PnL_Percent,Snapshot_Time
RELIANCE,146,1358.33,1386.1,198315.45,202370.6,4055.15,2.04,2026-01-25 23:59:01
LT,26,4001.75,3743.8,104045.5,97338.8,-6706.7,-6.45,2026-01-25 23:59:01
DATAPATTNS,17,2919.0,2182.5,49623.0,37102.5,-12520.5,-25.23,2026-01-25 23:59:01
FEDERALBNK,481,259.47,278.55,124805.41,133982.55,9177.14,7.35,2026-01-25 23:59:01
AIAENG,25,3973.55,3729.9,99338.8,93247.5,-6091.3,-6.13,2026-01-25 23:59:01
AXISBANK,50,1244.4,1258.0,62220.0,62900.0,680.0,1.09,2026-01-25 23:59:01
BHARTIARTL,60,2062.25,1984.7,123735.0,119082.0,-4653.0,-3.76,2026-01-25 23:59:01
CUB,462,270.21,275.45,124838.81,127257.9,2419.09,1.94,2026-01-25 23:59:01
HINDCOPPER,230,541.0,535.9,124430.0,123257.0,-1173.0,-0.94,2026-01-25 23:59:01
HCLTECH,76,1632.6,1707.0,124077.6,129732.0,5654.4,4.56,2026-01-25 23:59:01
INFRAIETF,1788,98.0,91.83,175217.56,164192.04,-11025.52,-6.29,2026-01-25 23:59:01
METALIETF,8600,8.72,11.52,74992.0,99072.0,24080.0,32.11,2026-01-25 23:59:01
GOLDIETF,400,126.51,132.42,50604.0,52968.0,2364.0,4.67,2026-01-25 23:59:01
CONSUMIETF,823,121.45,119.43,99953.35,98290.89,-1662.46,-1.66,2026-01-25 23:59:01
SILVERIETF,167,304.81,306.55,50903.27,51193.85,290.58,0.57,2026-01-25 23:59:01
HDFCNIFTY,1102,272.64,280.81,300453.43,309452.62,8999.19,3.0,2026-01-25 23:59:01
HDFCSML250,4120,168.31,154.2,693450.01,635304.0,-58146.01,-8.39,2026-01-25 23:59:01
HDFCNEXT50,4883,71.83,67.46,350742.08,329407.18,-21334.9,-6.08,2026-01-25 23:59:01
HDFCMID150,24182,20.82,21.27,503407.09,514351.14,10944.05,2.17,2026-01-25 23:59:01
HDFCLOWVOL,7600,20.66,20.94,157016.0,159144.0,2128.0,1.36,2026-01-25 23:59:01
BANKBEES,575,607.53,603.35,349331.13,346926.25,-2404.88,-0.69,2026-01-25 23:59:01
ITBEES,4176,41.92,42.12,175057.92,175893.12,835.2,0.48,2026-01-25 23:59:01
AUTOBEES,972,256.34,275.15,249159.51,267445.8,18286.29,7.34,2026-01-25 23:59:01
