Symbol,Description,Good Setup Threshold,Signal (4=EARLY | 3=RS | 2=CB | 1=Watch | 0=None),Recovery Score (0-12),RFF Lite Score (0=None | 1=NI&gt;0 | 2=NI+OCF&gt;0),Market Recovery Regime (1=Yes 0=No),Weinstein Weekly Stage (1-4),Mansfield RS vs CNX500 (+ = Outperform),"Stretch vs SMA200 (%, negative = below)",Correction from 52W High (%),Relative Volume (× 50D avg),RSI(3) — Fear Gauge,RSI(14),CB: Climax Detected (1=Yes),RS: Positive Mansfield (1=Yes),EARLY: Near Golden Cross (1=Yes),Entry Price,Stop Loss Price,T1 Target Price,T2 Target Price,R/R Ratio to T1,T1 Upside (%),Stop Loss Distance (%),Recovery Score — Chart View (0-12)
ABB,ABB India Limited,6,0,5,1,1,2,2.78354319994365,25.843508794781762,0.6661356889435956,1.650352141392993,96.36172117486811,70.76985743965949,0,1,1,6859.5,5868.7445546838035,6276.398891617907,6905.5,-0.5885419163111419,-8.500635737037584,14.443551939881866,5
ABSLAMC,Aditya Birla Sun Life Amc Limited,6,0,5,1,1,2,2.3821184849140553,20.171456734933773,4.653384931441396,1.2282962782128635,82.5924541125794,60.75024555061613,0,1,1,997.85,858.1825058279628,935.5826506046815,1046.55,-0.44582563583921647,-6.24015126475107,13.99684262885576,5
ANANDRATHI,Anand Rathi Wealth Ltd.,6,0,5,1,1,2,2.08597824172317,23.524911144736148,0.6992812942253744,3.059622913544506,99.29772950408491,81.89613689940414,0,1,1,3578.5,2934.105205930945,3209.7556862617234,3603.7,-0.5722335393335921,-10.30443799743682,18.007399582759675,5
APARINDS,APAR Industries Limited,6,0,5,1,1,2,2.779568685017213,28.03742458737364,2.6270604395604398,1.1897945611209617,95.13225966871663,68.52478033559555,0,1,1,11342,9190.454457360016,10140.126223982272,11648,-0.55860949824144,-10.596665279648459,18.96971912043717,5
ASTRAL,Astral Limited,6,0,5,1,1,2,1.105544681319901,10.133088743283679,7.8419177927291255,1.5580017044769072,81.55499351136996,53.947737370929104,0,1,1,1630,1443.5016667728435,1593.9169092301227,1768.7,-0.19347674665771858,-2.2136865502992236,11.441615535408376,5
BOSCHLTD,Bosch Limited,6,0,3,1,1,4,0.8071158525488409,1.6756877850946281,11.002503278102276,2.530599092939266,96.42444334444785,69.35428629183662,0,1,0,37330,28350.673892357063,33014.847978560414,41945,-0.4805652417241708,-11.559475010553404,24.053914030653463,3
CUMMINSIND,Cummins India Limited,6,0,5,1,1,2,1.946973766886928,24.011652804536865,0.3142640982366257,1.618684585351671,92.70741035887971,66.52861996356953,0,1,1,5138.7,4421.395150434138,4718.53765131269,5154.9,-0.5857514401883751,-8.176432729820958,13.958877723273636,5
DATAPATTNS,Data Patterns (India) Limited,6,0,5,1,1,2,1.7871450013974233,17.07209479774646,9.416816733619617,0.8454367646704255,53.68708475367714,54.76619058755617,0,1,1,3269.6,2866.0124469801203,3197.313750552185,3609.5,-0.17910921411457487,-2.2108591096101957,12.343636928672607,5
EMCURE,Emcure Pharmaceuticals Limited,6,0,5,1,1,2,1.35268435316386,12.922002328288734,4.264864218207917,1.0179449110247445,72.58154726161693,58.63575454146484,0,1,1,1600.5,1444.1084164803854,1548.6622424436785,1671.8,-0.33146129983280115,-3.238847707361546,9.77142040110057,5
ENGINERSIN,Engineers India Limited,6,0,6,1,1,1,1.2164301734170446,5.078938247996188,16.324133881385787,0.3244982773792035,86.34681878147003,60.475530830210154,0,1,1,213.75,175.63923517789925,199.46224593503584,255.45,-0.3749007434424033,-6.684329387117736,17.829597577590995,6
FORCEMOT,Force Motors Limited,6,0,5,1,1,2,1.8010337161175194,20.022829650844795,14.491493383742911,1.4722302119710953,77.21701604187905,55.52762137088305,0,1,1,22617,19025.37668741991,21443.11041148189,26450,-0.3268409536173851,-5.190297513012814,15.880193273113544,5
GVT&D,GE Vernova T&D India Limited,6,0,5,1,1,2,2.849518217104001,34.46659544929611,6.376611418047882,1.5812099416082106,87.94467190944333,63.202534057750384,0,1,1,4067,3518.1929625691614,3752.6518678512484,4344,-0.5727844409946476,-7.729238557874393,13.494148941009062,5
LUPIN,Lupin Limited,6,0,5,1,1,2,1.1597631827007193,12.85561753851148,1.8421938088828957,1.2876960194227847,86.03010984322896,57.50591830529212,0,1,1,2333.8,2158.6461276404566,2300.551152104365,2377.6,-0.18982650767425974,-1.4246656909604596,7.505093510992526,5
MARICO,Marico Limited,6,0,4,1,1,2,0.5427495620362865,3.8282810144904436,6.177012907191149,1.2290754067481615,77.44636982751172,53.38508124930287,0,1,1,763.25,725.2596903586734,753.6550939524624,813.5,-0.2525619332436317,-1.2571118306632978,4.977439848192149,4
POWERINDIA,Hitachi Energy India Limited,6,0,5,1,1,2,3.8442160524460744,39.64507797157232,0.2981410031567871,1.9056005043234043,94.94054556012436,72.06147276308663,0,1,1,28425,23793.41624128613,25384.437178186177,28510,-0.6564844727450523,-10.696790929863932,16.294050162581776,5
WAAREEENER,WAAREE Energies Limited,6,0,5,1,1,4,1.2355974819833393,5.863514011171874,15.099611901681756,1.094964711709867,94.11583561147843,68.23847862165302,0,1,1,3281.4,2957.106775596836,3061.113233952732,3865,-0.6792826660275999,-6.7131945525467165,9.882770293263972,5
NAM-INDIA,NAM-INDIA,6,,,,,,,,,,,,,,,,,,,,,,
