Symbol,Description,Recovery Score (Active Signals),Score Threshold (6),Signal (4=EARLY | 3=RS | 2=CB | 1=Watch | 0=None),Recovery Score (0-12),RFF Lite Score (0=None | 1=NI&gt;0 | 2=NI+OCF&gt;0),Market Recovery Regime (1=Yes 0=No),Weinstein Weekly Stage (1-4),Mansfield RS vs CNX500 (+ = Outperform),"Stretch vs SMA200 (%, negative = below)",Correction from 52W High (%),Relative Volume (× 50D avg),RSI(3) — Fear Gauge,RSI(14),CB: Climax Detected (1=Yes),RS: Positive Mansfield (1=Yes),EARLY: Near Golden Cross (1=Yes),Entry Price,Stop Loss Price,T1 Target Price,T2 Target Price,R/R Ratio to T1,T1 Upside (%),Stop Loss Distance (%)
AARTIIND,AARTI Industries Ltd,,6,0,5,1,1,2,1.05,5.60,14.39,0.58,76.45,51.71,0,1,1,423.75,,,,,,
ABCAPITAL,Aditya Birla Capital Ltd.,,6,0,4,1,1,2,0.53,8.92,7.42,0.64,81.93,58.86,0,1,1,341.9,,,,,,
ABFRL,Aditya Birla Fashion and Retail Ltd,,6,0,3,0,1,4,-1.24,-19.69,38.91,2.24,70.30,49.65,0,0,0,60.33,,,,,,
ACC,ACC Limited,,6,0,4,1,1,4,-1.14,-18.86,32.80,0.90,75.19,50.79,0,0,0,1424.6,,,,,,
ADANIENSOL,Adani Energy Solutions Ltd,,6,0,5,1,1,2,2.20,24.89,0.22,4.26,95.06,69.76,0,1,1,1157.9,,,,,,
ADANIENT,Adani Enterprises Limited,,6,0,3,1,1,4,-0.07,-8.10,20.17,0.88,89.03,59.15,0,0,0,2086.8,,,,,,
ADANIGREEN,Adani Green Energy Limited,,6,0,4,1,1,4,1.58,10.47,7.83,1.89,97.43,73.46,0,1,0,1085.35,,,,,,
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,,6,0,4,1,1,2,0.47,2.89,6.86,1.36,86.68,58.29,0,1,1,1475.3,,,,,,
AMBUJACEM,Ambuja Cements Limited,,6,0,4,1,1,4,-1.05,-18.34,28.76,1.26,67.94,50.40,0,0,0,445.2,,,,,,
ANGELONE,Angel One Limited,,6,0,5,1,1,2,1.56,11.57,14.46,1.45,92.88,70.37,0,1,1,280.99,,,,,,
