Slot,Ticker,Entry,Qty,SL,Sector
1,NSE:RELIANCE,1358.33,146,1285.0,NSE:CNXENERGY
2,NSE:LT,4001.75,26,3836.751308482,NSE:CNXINFRA
3,NSE:ICICIBANK,1389.1,89,1376.9,NSE:BANKNIFTY
4,NSE:NATIONALUM,352.5,354,307.5,NSE:CNXMETAL
5,NSE:FEDERALBNK,275.75,1160,244.0,NSE:BANKNIFTY
6,NSE:AIAENG,3973.55,25,3722.0,NSE:CNXINFRA
7,NSE:AXISBANK,1308.33,143,1282.9065408767,NSE:BANKNIFTY
8,NSE:BHARTIARTL,2062.25,60,1981.0,NSE:CNXINFRA
9,NSE:CUB,276.86,694,248.9,NSE:BANKNIFTY
10,NSE:COALINDIA,431.5,156,410.6,NSE:CNXENERGY
11,NSE:HINDCOPPER,564.57,372,482.2,NSE:CNXMETAL
12,NSE:HCLTECH,1632.6,76,1548.5,NSE:CNXIT
13,NSE:METALIETF,8.72,8600,11.1,NSE:CNXMETAL
14,NSE:GOLDIETF,142.65,1760,123.1,NSE:CNX500
15,NSE:SILVERIETF,340.15,737,219.5,NSE:CNX500
16,NSE:HDFCNIFTY,272.64,1102,276.5,NSE:NIFTY
17,NSE:HDFCSML250,161.49,2060,159.9,NSE:CNXSMALLCAP
18,NSE:HDFCMID150,20.82,24182,20.5,NSE:CNXMIDCAP
19,NSE:BANKBEES,607.53,575,590.7,NSE:BANKNIFTY
20,NSE:ITBEES,41.92,4176,38.2,NSE:CNXIT
21,NSE:AUTOBEES,256.34,972,234.0,NSE:CNXAUTO
