Symbol,Value_Score,CMP,Ext_ATR,Depth_%,Stage,RS,RRG,Vol_vs_50,Tight,Support,Sup_Src,BFF,BFF_Q,BFF_Why,Trigger>,SL,Risk_%,T1_2R,Dist_52WH_%,As_Of
DATAPATTNS,83.3,4590.8,0.08,8.2,2,10.1,WEAKENING,0.35,YES,4500.1,DZ·D,4,STRONG,Profit +26% · Sales +34% · OPM 40->40%,4644.0,4418.86,4.85,5094.28,8.2,2026-09-07
RADICO,80.9,4444.0,-0.81,6.4,2,19.3,LEADING,0.29,-,4410.8,DZ·D,5,STRONG,Profit +72% · Sales +19% · OPM 17->18%,4496.0,4361.75,2.99,4764.5,6.4,2026-09-07
AUBANK,80.7,1053.0,-1.08,8.0,2,2.6,LEADING,0.58,YES,1051.35,S/R,5,STRONG,Profit +31% · Sales +17% · ROCE 8%,1066.8,1040.19,2.49,1120.03,8.0,2026-09-07
HONASA,75.7,475.2,0.06,6.8,2,18.3,WEAKENING,0.71,-,461.3,DZ·D,5,STRONG,Profit +221% · Sales +19% · OPM 9->11%,483.0,453.33,6.14,542.34,6.8,2026-09-08
GABRIEL,75.5,1363.5,-0.54,10.3,2,18.7,LEADING,0.27,-,1335.1,DZ·W,4,STRONG,Profit +27% · Sales +20% · OPM 9->9%,1374.0,1305.73,4.97,1510.54,14.8,2026-09-07
NEULANDLAB,73.4,22870.0,0.38,4.2,2,21.2,LEADING,0.33,-,22637.0,DZ·D,5,STRONG,Profit +281% · Sales +78% · OPM 29->32%,22960.0,22319.68,2.79,24240.64,4.2,2026-09-07
VIJAYA,72.9,1497.5,0.55,4.8,2,12.8,WEAKENING,0.42,YES,1440.0,DZ·D,5,STRONG,Profit +32% · Sales +21% · OPM 42->43%,1527.5,1417.34,7.21,1747.81,4.8,2026-09-07
OFSS,72.4,11847.0,-0.12,5.5,2,19.8,WEAKENING,0.57,-,11355.0,DZ·D,4,STRONG,Profit +4% · Sales +32% · OPM 52->58%,12110.0,11178.14,7.69,13973.72,5.5,2026-09-07
OBEROIRLTY,67.3,1847.5,-0.37,5.8,2,7.1,LEADING,0.38,-,1828.9,DZ·D,5,STRONG,Profit +35% · Sales +30% · OPM 54->55%,1885.5,1806.19,4.21,2044.11,7.0,2026-09-07
NETWEB,66.5,5157.0,0.1,11.3,2,11.7,WEAKENING,0.64,-,5064.0,DZ·D,4,STRONG,Profit +102% · Sales +108% · OPM 13->13%,5306.5,4948.2,6.75,6023.11,11.3,2026-09-07
LAURUSLABS,65.5,1876.7,0.72,3.7,2,24.1,LEADING,0.42,-,1844.11,EMA20,5,STRONG,Profit +71% · Sales +16% · OPM 24->25%,1876.7,1821.5,2.94,1987.09,3.7,2026-09-07
TVSMOTOR,65.5,4132.0,-1.24,7.9,2,6.7,LEADING,0.32,-,4064.9,DZ·D,4,STRONG,Profit +44% · Sales +35% · OPM 13->13%,4159.9,4014.27,3.5,4451.16,7.9,2026-09-07
