category,index_name,dhan_symbol,bars,last,close,n_constituents,ok
Broad Market,Nifty 100,NIFTY 100,261,2026-08-10,25524.85,100,True
Broad Market,Nifty 200,NIFTY 200,261,2026-08-10,14162.2,200,True
Broad Market,Nifty 50,NIFTY,261,2026-08-10,24366.0,50,True
Broad Market,Nifty 500,NIFTY 500,261,2026-08-10,23594.9,500,True
Broad Market,Nifty Microcap 250,NIFTY MICROCAP250,237,2026-08-10,26154.9,252,True
Broad Market,Nifty Midcap 100,NIFTY MID100 FREE,261,2026-08-10,63782.15,100,True
Broad Market,Nifty Midcap 150,NIFTY MIDCAP 150,261,2026-08-10,23420.0,150,True
Broad Market,Nifty Midcap 50,NIFTYMCAP50,261,2026-08-10,18260.65,50,True
Broad Market,Nifty Next 50,NIFTYNXT50,261,2026-08-10,74486.55,50,True
Broad Market,Nifty Smallcap 100,NIFTY SMALLCAP 100,235,2026-08-10,19738.55,100,True
Broad Market,Nifty Smallcap 250,NIFTY SMALLCAP 250,261,2026-08-10,18278.8,250,True
Broad Market,Nifty Smallcap 50,NIFTY SMALLCAP 50,261,2026-08-10,9873.95,50,True
Broad Market,Nifty Total Market,NIFTY TOTAL MKT,235,2026-08-10,13324.85,752,True
Sectoral,Nifty Auto,NIFTY AUTO,261,2026-08-10,29207.9,15,True
Sectoral,Nifty Bank,NSEBANK,261,2026-08-10,57491.1,14,True
Sectoral,Nifty Consumer Durables,NIFTY CONSR DURBL,261,2026-08-10,40612.6,13,True
Sectoral,Nifty FMCG,NIFTY FMCG,261,2026-08-10,48615.05,15,True
Sectoral,Nifty Financial Services,CNXFIN,261,2026-08-10,26213.65,20,True
Sectoral,Nifty Healthcare,NIFTY HEALTHCARE,160,2026-08-10,16505.3,20,True
Sectoral,Nifty IT,NIFTYIT,261,2026-08-10,31357.75,10,True
Sectoral,Nifty Media,CNXMEDIA,261,2026-08-10,1590.1,10,True
Sectoral,Nifty Metal,CNXMETAL,261,2026-08-10,12941.7,15,True
Sectoral,Nifty Oil & Gas,NIFTY OIL AND GAS,261,2026-08-10,11200.05,15,True
Sectoral,Nifty PSU Bank,NIFTY PSU BANK,261,2026-08-10,8738.8,12,True
Sectoral,Nifty Pharma,CNXPHARMA,261,2026-08-10,26445.55,20,True
Sectoral,Nifty Private Bank,NIFTY PVT BANK,261,2026-08-10,27247.25,10,True
Sectoral,Nifty Realty,CNXREALTY,261,2026-08-10,895.65,10,True
Strategy,Nifty 100 Alpha 30,NIFTY100 ALPHA 30,61,2026-08-10,18379.05,30,True
Strategy,Nifty 100 Low Volatility 30,NIFTY100 LOW VOLATILITY 30,229,2026-08-10,20500.35,30,True
Strategy,Nifty 200 Alpha 30,NIFTY200 ALPHA 30,52,2026-08-10,26715.25,30,True
Strategy,Nifty Div Opp 50,NIFTY DIV OPPS 50,261,2026-08-10,5962.7,50,True
Strategy,Nifty Midcap 150 Quality 50,NIFTY M150 QLTY50,237,2026-08-10,24831.15,50,True
Strategy,Nifty Quality 30,NIFTY100 QUALTY30,235,2026-08-10,5772.6,30,True
Strategy,Nifty50 Value 20,NIFTY50 VALUE 20,261,2026-08-10,11949.85,20,True
Thematic,Nifty CPSE,NIFTYCPSE,261,2026-08-10,6450.25,11,True
Thematic,Nifty Commodities,NIFTY COMMODITIES,261,2026-08-10,9822.75,30,True
Thematic,Nifty Energy,NIFTY ENERGY,261,2026-08-10,38554.2,40,True
Thematic,Nifty Housing,NIFTY HOUSING,61,2026-08-10,11940.95,50,True
Thematic,Nifty India Consumption,NIFTY CONSUMPTION,261,2026-08-10,12142.85,30,True
Thematic,Nifty Infrastructure,NIFTYINFRA,261,2026-08-10,9419.1,30,True
Thematic,Nifty MNC,NIFTY MNC,261,2026-08-10,33626.45,30,True
Thematic,Nifty PSE,NIFTYPSE,261,2026-08-10,9844.95,20,True
Thematic,Nifty Services Sector,NIFTY SERV SECTOR,261,2026-08-10,31128.25,30,True
